KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525099558583783358;-0.0298995501781772 0.00245293684033335                   0; 2.86335636006023 -2.64128552310499 -5.37512343696334;
1525099558984086192;  -0.0299853608206204 -0.000937089353905914                    -0; 2.90792216897489 -2.64128554029057 -5.42712348608661;
1525099559384167794;  -0.0299853608206204 -0.000937089353905914                    -0; 2.89678071305972 -2.65803789864312 -5.39412425061546;
1525099559984337276;  -0.0299853608206204 -0.000937089353905914                    -0; 2.99705379863112 -2.57427621660366 -4.91712050037181;
1525099560384793983;  -0.0299853608206204 -0.000937089353905914                    -0; 3.18645854766179 -2.37324810592639 -4.03111145665146;
1525099560784576062;  -0.0299853608206204 -0.000937089353905914                    -0; 3.46499495534706 -2.18338812977568 -3.32410303680209;
1525099561384340996;  -0.0299853608206204 -0.000937089353905914                    -0; 3.73238992461164 -2.17780394009085  -2.8851030948791;
1525099561784519765;  -0.0299853608206204 -0.000937089353905914                    -0; 4.16690682927752 -2.35649560372188 -2.26611185437583;
1525099562184053959;  -0.0299853608206204 -0.000937089353905914                    -0; 4.55685787017728 -2.60219677703464 -1.97112368021305;
1525099562784349895;  -0.0299853608206204 -0.000937089353905914                    -0; 4.85767722036206 -2.85348213988418  -1.7931356844763;
1525099563184473958;  -0.0299853608206204 -0.000937089353905914                    -0; 4.83539435362776  -2.9539963023641 -1.52314030011586;
1525099563584518019;  -0.0299853608206204 -0.000937089353905914                    -0; 4.59028233571705   -2.970748673156 -1.22814076047489;
1525099563984520858;  -0.0299853608206204 -0.000937089353905914                    -0;  3.86608759481484  -2.89815510224544 -0.776136510774132;
1525099564584449545;  -0.0299853608206204 -0.000937089353905914                    -0; 2.82993188034679 -2.73621564522553 -0.39412788443015;
1525099564984827505;  -0.0299853608206204 -0.000937089353905914                    -0;  1.96089797134182  -2.55193979476564 -0.156118552293103;
1525099565385301633;  -0.0299853608206204 -0.000937089353905914                    -0;  0.880176244078786   -2.14429943817276 0.00190110924531961;
1525099565983914631;  -0.0299853608206204 -0.000937089353905914                    -0;0.0445665799794308  -1.61939286528312 0.0319258008087226;
1525099566384035551;  -0.0299853608206204 -0.000937089353905914                    -0;-0.467940762030284  -1.15591163046696 0.0299473635299989;
1525099566784644813;  -0.0299853608206204 -0.000937089353905914                    -0;  -0.456799338696345      -1.044229370524 -0.00404752998671842;
1525099567384489885;  -0.0299853608206204 -0.000937089353905914                    -0; -0.334243243922615   -1.06656578613921 -0.0750486281477354;
1525099567784028553;  -0.0299853608206204 -0.000937089353905914                    -0;-0.122555490009194  -1.04422926256544 -0.138047735511178;
1525099568184180538;  -0.0299853608206204 -0.000937089353905914                    -0; 0.167122432526742 -0.949299231063359 -0.142043566287739;
