KF_ArUco_Time;KF_ArUco_pos_NED;
1526459599961819740;-6.74624052064977 -2.43588283407949  15.7369832887409;
1526459600261856349;-6.62292291944237 -2.24357971801789   15.734495522006;
1526459600661882101;-6.33881069255161 -2.13373951184713  15.6835193137066;
1526459601861953041;-4.67429817583278 -1.54736219439553  15.4722080066545;
1526459602261829357;-4.07445009964477 -1.53962108293005  15.3303298093281;
1526459602561972808; -3.4235287799176 -1.45082026059139  15.2689509672025;
1526459602861762392;-2.77166642958139 -1.30835494132733   15.204976448074;
1526459603161868222;-2.57737289620422    -1.12675799095   15.025896460801;
1526459603463884213; -2.07357173318493 -0.839929715141274   14.9345208647242;
1526459603861878522; -2.07357173318493 -0.839929715141274   14.9345208647242;
1526459604161866219; -1.21479134014032 -0.774503141213274   14.9589269304424;
1526459604561779259;-0.920851422042063 -0.531859499134376   14.8803754305477;
1526459604861802223;-0.523293482106206 -0.509299159606004   14.8292357201386;
1526459605061832920;-0.398097134142805 -0.614100804276062   14.7779645511637;
1526459605461784673;-0.398097134142805 -0.614100804276062   14.7779645511637;
1526459605762782246;-0.268697403569226  -0.69109787502203   14.7254823028617;
1526459606061799092;-0.124271620575896 -0.568484187182891   14.6985653038409;
1526459606361847875;0.0838125386044823 -0.553567111730636   14.7359797032265;
1526459606661791056;  0.13715116575917 -0.460869003134925   14.7338894390916;
1526459606961798667; 0.138466351875914 -0.311671980486821   14.7349937365951;
1526459607261824163; 0.252036591803588 -0.227261109970867   14.6542996686896;
1526459607561922556; 0.201563875524557 -0.187082559031354   14.6006156507839;
1526459607861899382;  0.194517413744153 -0.0823780809686168    14.4990958928269;
1526459608161970132; 0.137067224949494 0.0233281256741882    14.475975278799;
1526459608461869542; 0.137067224949494 0.0233281256741882    14.475975278799;
1526459608761835915; 0.0885237410707876 -0.0569913467963703    14.2484966387463;
1526459609061796548;-0.0357581314766512 -0.0671856478344038    14.2690909011773;
1526459609361764918;-0.00664834454913055   -0.159339210188044      14.104412396953;
1526459609661980457;-0.0705555911308481  -0.229448983009196    13.9999789213767;
1526459609961926838;-0.138595183452912 -0.251951011169163   13.8412461828043;
1526459610361821287;-0.136780251609074 -0.307379034967046   13.7030753813965;
1526459610661784884;-0.158340206749339 -0.375201321651285   13.5176382706118;
1526459610862764261;-0.182877507792989 -0.321956222691793    13.382753279664;
1526459611261858857;-0.175809740550758  -0.27475994160965   13.2577679506171;
1526459611462473072;-0.185305430564329 -0.204352303700158   12.8980099673326;
1526459611764022832;-0.268637266472634  -0.12500694778727   12.8614536703086;
1526459612161959608;-0.268637266472634  -0.12500694778727   12.8614536703086;
1526459612461864419; -0.271121665153903 -0.0868373784104285    12.6495339360883;
1526459612761826052; -0.39441975018918 0.0735174504426076   12.4770198506409;
1526459613061979203;-0.316284451991543 0.0193155729631984   12.2794618311563;
1526459613461990850;-0.328699562585855 0.0554762280805557   12.0558187340591;
1526459613761873930;-0.19206453301463 0.137541796395784  11.9191732029797;
1526459614064627900;-0.225165208783222  0.157592216804989   11.7075176641817;
1526459614461940693; -0.2106794315222 0.106522747864883  11.5177141470902;
1526459614761956483;-0.176358450135324 0.0780032733752822   11.3368544389397;
1526459615061988272; -0.107446027117955 -0.0229655412280598    11.0593650639372;
1526459615461893575;-0.196513852071518 -0.208692548400416   11.0134437166262;
1526459615761871835;-0.254359241787273 -0.285221624328524   10.8467720363027;
1526459616061999422;-0.201213596042437  -0.39174872436643   10.6785610460312;
1526459616462744579;-0.203377433708958 -0.433315924628451   10.4656065033579;
1526459616861860875;-0.163759679930808  -0.53496801625788   10.1589672401714;
1526459617161800638;-0.163759679930808  -0.53496801625788   10.1589672401714;
1526459617461845597;-0.161246510117469 -0.474726612444881   9.84190545359083;
1526459617861768448;-0.14527571324408 -0.36343809953543  9.70930388412293;
1526459618161830128;-0.183804945746403 -0.258396355179846    9.5551822195646;
1526459618461890226;-0.135372784518726 -0.151201543387115   9.42455582092491;
1526459618861777018;-0.124153780587282 -0.129711393024258   9.28773042194448;
1526459619162767649;-0.105885221795774 -0.039628856589165   9.13417855857626;
1526459619561869408; -0.088584072310483 -0.0490528239715341    9.00043669728911;
1526459619861843467;-0.0968788169501469 -0.0489905041121406    8.82233300531868;
1526459620162018017;-0.0770686024559736 -0.0266430453518471    8.70298549579067;
1526459620561882495; -0.062521605066386 -0.0356664100492912    8.55269013842971;
1526459620961762072;-0.0827902691249839 -0.0410833694213269    8.47057119294091;
1526459621261854496;-0.0805396599495955 -0.0575893995373145    8.28483285834878;
1526459621561820886; -0.117976525033952 -0.0216228226032372     8.1367521905046;
1526459621861860652; -0.0981385829534879 -0.00204651899848893       7.997084927255;
1526459622261856429; -0.0692525881554064 -0.00941603265775079     7.80331723928937;
1526459622561775174;-0.0644338792165256 -0.0470255857622623    7.66122745745762;
1526459622961841637;-0.0547490769248104 -0.0800676451754359    7.49307605833169;
1526459623361788444;-0.0643057453879716  -0.098302619217182    7.34497554130479;
1526459623661785268;-0.0881212190066541   -0.13579850376733    7.18917656753114;
1526459623961912739;-0.0397992024406887   -0.14447276760631    7.03229186608045;
1526459624361906930;-0.0542773032457607  -0.156624606760709    6.85006024562595;
1526459624762697251;-0.0778896810268231  -0.158253076407595    6.69323628509715;
1526459625061930421;-0.0687035637686619   -0.11314284663978    6.54156320318983;
1526459625461938445;-0.0792762047054206 -0.0763716365197148    6.38433906088922;
1526459625862020984;-0.0920888914784138 -0.0679582317648841    6.18379649445512;
1526459626261851782;-0.0761505332992982 -0.0129124458150098    5.80730389354091;
1526459626661863371;-0.0723992012109007 -0.0633316642806165    5.61328318328658;
1526459626961893603; -0.106685601872894 -0.0904963205081803    5.46291195855637;
1526459627461871260;-0.0979811349886311 -0.0944602593008274    5.23946734851057;
1526459627761921520;-0.103392996268247 -0.107982386343369   5.27709269400426;
1526459628161871749;-0.107574098944989 -0.123031457192093   4.83464536126329;
1526459628561855918;-0.0805340179027617  -0.109520815104751    4.63388322515239;
