KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1526459590862460481; 0.00848140571598751 -0.00529771243847893                    0;-16929.2760616865  9916.92062073772  54.0160759463824;
1526459591362265086; 0.00848140571598751 -0.00529771243847893                    0;-16929.2760024161  9916.91496764804  54.0440668797028;
1526459591762781267; 0.00848140571598751 -0.00529771243847893                    0;-16929.2759626353  9916.91494438459  54.0590668084396;
1526459592262990998; 0.00848140571598751 -0.00529771243847893                    0;-16929.2758804226  9916.91489630675  54.0900666625157;
1526459592762916107; 0.00848140571598751 -0.00529771243847893                    0;-16929.2758671618  9916.91488855236  54.0950666387207;
1526459593163018550; 0.00848140571598751 -0.00529771243847893                    0;-16929.2758671618  9916.91488855236  54.0950666387207;
1526459593662978690; 0.00848140571598751 -0.00529771243847893                    0;-16929.2535602924   9916.9148745943  54.1040665727657;
1526459594162923354; 0.00848140571598751 -0.00529771243847893                    0;-16929.2313267531  9916.90928509127  54.1010576769786;
1526459594562300794; 0.00848140571598751 -0.00529771243847893                    0;-16929.209062695 9916.87576145208  54.094026502589;
1526459595062288669; 0.00848140571598751 -0.00529771243847893                    0;-16929.2091125385  9916.80313267592  54.0909848994454;
1526459595463074792; 0.00848140571598751 -0.00529771243847893                    0;-16929.2202902433   9916.7528623814  54.0829739548943;
1526459595962894126; 0.00848140571598751 -0.00529771243847893                    0;-16929.209166762 9916.71371977248 54.0819338281813;
1526459596463083833; 0.00848140571598751 -0.00529771243847893                    0;-16929.1980959402  9916.69697441657  54.0709244636601;
1526459596862878920; 0.00848140571598751 -0.00529771243847893                    0;-16929.1758610566  9916.69697261512   54.052894885028;
1526459597363104277; 0.00848140571598751 -0.00529771243847893                    0;-16929.1759512243  9916.73053012399  54.0188965903035;
1526459597862949803; 0.00848140571598751 -0.00529771243847893                    0;-16929.198320816 9916.75288298325 53.9918890926924;
1526459598262938310; 0.00848140571598751 -0.00529771243847893                    0;-16929.1984166686  9916.75849322834  53.9558598790935;
1526459599263063622; 0.00848140571598751 -0.00529771243847893                    0;-16928.6527809846  9917.29467530595  53.7548670982711;
1526459599663056427; 0.00848140571598751 -0.00529771243847893                    0;-16927.8952726076  9918.06528767311  53.6778634724722;
1526459600162938111; 0.00848140571598751 -0.00529771243847893                    0;-16927.1600509543  9918.78567952702  53.5938661066189;
1526459600563001549; 0.00848140571598751 -0.00529771243847893                    0;-16926.4805501629  9919.41673322008  53.4748646014008;
1526459601063083217; 0.00848140571598751 -0.00529771243847893                    0;-16926.0238488067  9919.81323115457    53.42287348699;
1526459601562888706; 0.00848140571598751 -0.00529771243847893                    0;-16925.7454175942  9920.05341118704  53.3528841935645;
1526459601963243277; 0.00848140571598751 -0.00529771243847893                    0;-16925.4558387032   9920.3214740019   53.290887412544;
1526459602463067397; 0.00848140571598751 -0.00529771243847893                    0;-16925.2330831669   9920.5281306325  53.2428965852411;
1526459602963047369; 0.00848140571598751 -0.00529771243847893                    0;-16924.9546549331  9920.64543158295  53.1418720151572;
1526459603462783380; 0.00848140571598751 -0.00529771243847893                    0;-16924.2973836091  9920.84650610399  53.0328801469925;
1526459603864075793; 0.00848140571598751 -0.00529771243847893                    0;-16923.3949596052   9921.1145673675  52.9488907096111;
1526459604362266467; 0.00848140571598751 -0.00529771243847893                    0;-16922.5259760535  9921.36588558906  52.8389004696842;
1526459604762216865; 0.00848140571598751 -0.00529771243847893                    0;-16921.7683810118  9921.62835656455  52.7589108053365;
1526459605262236977; 0.00848140571598751 -0.00529771243847893                    0;-16921.3449927999  9921.80700854785  52.7189092336057;
1526459605762211325; 0.00848140571598751 -0.00529771243847893                    0;-16920.8213321657   9922.0638735044  52.6529196415682;
1526459606162225862; 0.00848140571598751 -0.00529771243847893                    0;-16920.3421980329  9922.27601236201  52.6418983889079;
1526459606662710884; 0.00848140571598751 -0.00529771243847893                    0;-16919.8965012131  9922.47143631508  52.6659060696981;
1526459607062307476; 0.00848140571598751 -0.00529771243847893                    0;-16919.617933778 9922.51047381136 52.6328983753824;
