KF_ArUco_Time;KF_ArUco_pos_NED;
1525871989871284579;-0.187865594098442  0.216000213239123   2.02269332687489;
1525871990204592579;-0.20350422693288 0.127763914322542  3.03100296292525;
1525871990537900679;-0.249785687651772  0.118534268214233   4.11577938773264;
1525871990871208779;-0.436213039205218   0.10411523918732   4.79959531671873;
1525871991204516879;-0.619638717737712  0.235101015293543   5.53416588985021;
1525871991537824979;-0.574832558333234  0.391576034073698   6.62975685216061;
1525871991871132979;-0.451156222199281  0.284559812845958   6.91607281975342;
1525871992537749179; -1.01584489701351 0.0464844648955785   8.21472157567466;
1525871992871057279;-0.275343169756147  0.559507045987382   8.92503224876437;
1525871993204365379;0.0858339610548089    0.1505589650272   9.57668126774582;
1525871993537673380; -2.02542423513708 -0.469569483406168   10.1670856821036;
1525871993870981479; -3.56664199389155 -0.900803971764081   10.7450100074089;
1525871993870981479; -3.56664199389155 -0.900803971764081   10.7450100074089;
1525871994204289579;-4.08097773422212  -1.2800287470257  11.7176925373243;
1525871994537597679; -5.6883934133061 -2.43060956644517  12.4368580934763;
1525872023202092679; -5.53335214790859 0.0881867509156694    15.845856550119;
1525872023535400779;-4.00912566158743 0.927509713933053  15.7750044103478;
1525872023868708879;-2.27305194916936  1.73180871214106  15.6139386120466;
1525872024202016979;-0.621875754308546   3.09788293401154   15.4576585005112;
1525872024202016979;-0.621875754308546   3.09788293401154   15.4576585005112;
1525872026201865379;  1.54685558435621 -0.518388993395124   14.8843846776161;
1525872026535173479;  1.22429454516716 -0.274658180747803   14.7516745652548;
1525872027201789679;2.83524924258457 1.76672232809755 14.3405016510209;
1525872027535097779;2.63038664811313 1.39465253213215 14.2743004711977;
1525872027868405779; 1.27538517127894 0.944282865951294  14.2428720212991;
1525872028201713879; 1.56052258015583 0.826709966318872  14.1210081973923;
1525872028201713879; 1.56052258015583 0.826709966318872  14.1210081973923;
1525872028535021979;0.883641415818154 0.139529000111582  13.7926948621916;
1525872028868330079; 0.292273043816952 0.0371818769756893     13.71891627683;
1525872029201638179;-0.188675615713719 -0.266539235148852   13.4786965940821;
1525872029201638179;-0.188675615713719 -0.266539235148852   13.4786965940821;
1525872029534946179;-0.664611769562806 -0.335335526565821    13.235446618845;
1525872029868254279;  -0.69145505365172 -0.0847852854261453    13.0377475867181;
1525872030201562379;  -0.64886545795738 -0.0168481429450303    12.7900757881812;
1525872030534870479; -0.489294198213186 -0.0569119538273082    12.6544734571485;
1525872030868178579;-0.443206800905763 -0.113845548093556   12.4685647496927;
1525872031201486679; -0.110745001639835 -0.0711162327012151    12.2316620638618;
1525872031534794779; -0.21699322637105 -0.051856166005126   12.0688963497414;
1525872031868102779;-0.250544147307008 -0.428170153158684   11.8629590341534;
1525872032201410879;  0.16790507792278 -0.244766003031237   11.6772651048243;
1525872032534718979;-0.181840154475467 -0.623830226001385   11.4812965775675;
1525872032868027079;-0.281794722601515 -0.775511982981029   11.2560413706268;
1525872033201335179;-0.402796791007441 -0.776055970806425   11.0719995585817;
1525872033534643179;-0.321227287050233 -0.391170439453354    10.935947213092;
1525872033867951279; -0.263248526686609 -0.0688785284297036    10.7657948910543;
1525872034201259379;0.00126600830529588 -0.0849127540150081    10.6082094602022;
1525872034534567479;-0.0541940259921823  0.0558100974369526    10.4750038966463;
1525872034867875579;0.0479507502694029  0.100211221642755   10.3232181383137;
1525872035201183579;0.238144163404035 0.182547805231899  10.1695587571935;
1525872035534491679;0.0922748752098465  0.408698545752379   10.0590487062916;
1525872035867799779;0.383684971396638 0.254217347303625  9.97729774347374;
1525872036201107879;0.248119394875762 0.357818373677073  9.80709979579524;
1525872036534415979;0.340474916981548  0.34945167159612  9.66427848372783;
1525872036534415979;0.340474916981548  0.34945167159612  9.66427848372783;
1525872036867723979;0.607806736043014 0.414467239996779   9.5132796317394;
1525872037201032079; 0.389974459870295 0.0267320159258319   9.42672501958121;
1525872037534340179; 0.522517528013987 0.0322361574982468   9.29406369638496;
1525872037867648280; 0.391360621688648 -0.148249166237659   9.19601742033191;
1525872038200956379; 0.290145272208527 -0.418065335962871   9.02366980501229;
1525872038534264380; 0.256455529887201 -0.679751208732613   8.88382682106142;
1525872038867572579; 0.357976465304321 -0.424717219545041   8.71469887613821;
1525872039200880579;0.0673360254403561  -0.56591413964745   8.52722298104309;
1525872039534188679;-0.253805099096703 -0.368362576232219   8.36423067980497;
1525872039867496780;-0.266319506346729 -0.499947515670516   8.17560675767823;
1525872040200804879;-0.489746031100936 -0.512860762954551   7.95754075619854;
1525872040534112979;-0.345802768536516 -0.333867069869868   7.75441888994283;
1525872040867420979;-0.526801920295076 -0.212453414150011   7.56111051504503;
1525872041200729079;-0.713682265978311 -0.401894677209164   7.92781452808933;
1525872041534037179;-0.497120708868986 -0.339157611627593   7.13024791495226;
1525872041867345280;-0.555623416197827 -0.327863289219257   6.93905607181742;
1525872042200653379;-0.593301448767106 -0.150395653138203   6.80444323351171;
1525872042533961379;-0.657473716415383  -0.08277952904076   6.59858404924923;
1525872042867269479;-0.510333133030546 -0.220970359230694   6.37840708898553;
1525872043533885680;-0.0644550054257093  0.0972167923157496    6.05625832219492;
1525872043867193779;0.0944787463478042  0.260372342842652   5.90075474621644;
1525872044200501780; 0.36677646039244 0.178587192251587  5.72998312483355;
1525872044533809879;  0.335893939906979 -0.0366096145097452    5.59615412319046;
1525872044867117979; 0.491424166608836 -0.170724728970362   5.48559718488455;
1525872045200426079;  0.36701188011154 -0.206235972695879   5.39352295486846;
1525872045533734180;   0.3121208671803 -0.188220137350801   5.24053666451814;
1525872045867042179;  0.15001504030915 -0.137614910268484   5.06912002559981;
1525872046200350280;-0.0410702741098179  0.0941858575836593     4.9041395163031;
1525872046866966479;  -0.201260588016424 -0.00891269358048752      4.5598685956042;
1525872047200274579;  -0.27339725077542 -0.0783016182631144      4.399388510536;
1525872047533582680; -0.287478631851867 -0.0740413032941882    4.21389889409073;
1525872047866890779; -0.358471343590753 0.00256527290319269    4.02215453188775;
1525872048200198779;-0.273625890258105 -0.051158191726933   3.85194740855982;
1525872048533506879;-0.235626187759978  -0.13016811036597   3.70081946288994;
1525872048866814979;-0.255439418836988 -0.142500257215389   3.57082039617103;
1525872049533431179;-0.266814799702388 -0.124094266503339    3.3123351156666;
1525872049866739180; -0.240747429140761 -0.0573899145293799    3.19921936541876;
1525872050200047279;-0.234596501978876 -0.104591279756587   3.06816494967679;
1525872050533355379;-0.216278252507278 -0.138133587123333   2.97230393758218;
1525872050866663479;-0.263380158384106 -0.146026328837574   2.89982301956971;
1525872051199971580;-0.347338928059292 -0.251956602812629   2.81983247011475;
1525872051533279579;-0.316329409996295 -0.239394871514285   2.75484920933153;
1525872051866587680;-0.146347475130403  -0.14252540804531   2.67791872454505;
1525872052199895779;-0.0623152285388609  -0.244391343111914    2.68877537392757;
1525872052533203879;0.0736659986461124 -0.185851906708061   2.57963481808209;
1525872052866511979; 0.177757881466934 -0.240623210310733   2.50122693742951;
1525872053199819979; 0.236976253201819 -0.182131067018087   2.43063720901335;
1525872053533128080;0.271035928853912 -0.12862684207583  2.25750979551159;
1525872053866436179;  0.263164538008726 -0.0576820850701167    2.20933032251049;
1525872053866436179;  0.263164538008726 -0.0576820850701167    2.20933032251049;
1525872054199744279;   0.219497750821152 -0.00598084786523643     2.03826358065899;
1525872054533052379; 0.231286270459131 0.0459435115562287   1.92197425074797;
1525872054866360379;0.227560745805944 0.093320317290108  1.83632662954826;
1525872054866360379;0.227560745805944 0.093320317290108  1.83632662954826;
1525872055199668579;0.244585186477938  0.14122721607886  1.79238040754742;
1525872055199668579;0.244585186477938  0.14122721607886  1.79238040754742;
1525872055532976580;0.256651363913636 0.125794929628091  1.69800400384795;
1525872055866284679;0.277191763087619 0.117931916005981  1.62921819198956;
1525872055866284679;0.277191763087619 0.117931916005981  1.62921819198956;
1525872056532900879; 0.219353092493185 0.0172836287551959   1.43535783789718;
1525872056532900879; 0.219353092493185 0.0172836287551959   1.43535783789718;
1525872056866208980;  0.187813163881118 0.00195448617090275    1.33600767805716;
1525872056866208980;  0.187813163881118 0.00195448617090275    1.33600767805716;
1525872057199516979;  0.196884994806282 -0.0760022118769535    1.24278192495898;
1525872057199516979;  0.196884994806282 -0.0760022118769535    1.24278192495898;
1525872057532825080; 0.221580380304724 -0.127363336421294   1.14925453990582;
1525872057532825080; 0.221580380304724 -0.127363336421294   1.14925453990582;
1525872057866133179; 0.194659356995864 -0.111171204728744   1.06265631544467;
1525872058199441279; 0.162889218476092 -0.080668445650138  0.971311185606404;
1525872058199441279; 0.162889218476092 -0.080668445650138  0.971311185606404;
1525872058532749379;  0.114623112019987 -0.0570371022874531   0.883299588727472;
1525872058532749379;  0.114623112019987 -0.0570371022874531   0.883299588727472;
1525872058866057379; 0.0386558512080476 -0.0543252541478539   0.781997138760621;
1525872059199365479;-0.0743442085189325 -0.0237435432545495   0.674081502396935;
1525872059199365479;-0.0743442085189325 -0.0237435432545495   0.674081502396935;
1525872059532673579; -0.192825466016785 0.00036647907620229   0.558979369147865;
1525872059532673579; -0.192825466016785 0.00036647907620229   0.558979369147865;
