KF_Time;KF_States;KF_Covariance;
1525871988845288804;-0.00076020491764752   0.0014430590269789 0.000975719740270317                    0                    0                    0    -16937.9487662054     9918.56840544131     33.4746959891354;    4.27910019589336     4.27910019589336     17.0837007827543 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0101999997714302   0.0101999997714302   0.0299999993294477;
1525871988926014494;-0.00296220950445293    0.012164066829083   0.0375557990443003                    0                    0                    0    -16937.9487662054     9918.56840544131     33.4746959891354;    4.28320020243011     4.28320020243011      17.087800789291 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0102999997689039   0.0102999997689039   0.0399999991059303;
1525871989026675762;-0.00570800918544231    0.025532676494701   0.0831694960753719                    0                    0                    0    -16937.9487662054     9918.56840544131     33.4746959891354;    4.28730021258292     4.28730021258292     17.0919007994438 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0103999997663777   0.0103999997663777   0.0499999988824129;
1525871989127365167;-0.00661244689577199   0.0453283655635269    0.176353961026731                    0                    0                    0    -16937.9487662054     9918.56840544131     33.4746959891354;    4.29140022274139     4.29140022274139     17.0960008096023 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0104999997638515   0.0104999997638515   0.0599999986588955;
1525871989228052184;-0.0602808179386636  0.0690816608628687   0.342489413392638                   0                   0                   0   -16937.9487726959    9918.56840564058    33.4747462595459;    2.15188841179669     2.15188841179669     8.57151903631114 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0106999705217716   0.0106999705217716    0.079926876781386;
1525871989328907511;-0.0584039597925228   0.091688214291417   0.537691270484736                   0                   0                   0   -16937.9487726959    9918.56840564058    33.4747462595459;    2.15598842198861     2.15598842198861     8.57561904650306 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0107999705192454   0.0107999705192454   0.0899268765578685;
1525871989429784215;-0.0546770808319559   0.114215043041863   0.767904205554476                   0                   0                   0   -16937.9487726959    9918.56840564058    33.4747462595459;    2.16008843218483     2.16008843218483     8.57971905669928 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0108999705167191   0.0108999705167191   0.0999268763343511;
1525871989530441881;-0.0509582942066993   0.136692958303662   0.997617269208197                   0                   0                   0   -16937.9487726959    9918.56840564058    33.4747462595459;    2.16418844233692     2.16418844233692     8.58381906685137 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0109999705141929   0.0109999705141929    0.109926876110834;
1525871989621089792;-0.0477827834155292   0.153140999638903    1.21548008605052                   0                   0                   0   -16937.9487726959    9918.56840564058    33.4747462595459;    2.16828845057408     2.16828845057408     8.58791907508853 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0110999705116667   0.0110999705116667    0.119926875887316;
1525871989721919818;-0.117350123895273  0.166559299806212   1.50888826055586                  0                  0                  0  -16937.9488009108   9918.56840660135   33.4751394033731;    1.44926967681523     1.44926967681523     5.75270206373801 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0112998582663477   0.0112998582663477    0.139645996025607;
