KF_Time;KF_States;KF_Covariance;
1526460362170332782; 0.00392705150167459 0.000274775069680786    0.023837223903368                    0                    0                    0    -16933.9065091343     9919.15960979366     33.2649400334922;    4.68029973339507     4.68029973339507      18.688498932946 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0101999997714302   0.0101999997714302   0.0299999993294477;
1526460362251957015;  0.0224004759065662 -0.00525295801350028    0.132255132784362                    0                    0                    0    -16933.9065091343     9919.15960979366     33.2649400334922;    4.68439974007778     4.68439974007778     18.6925989396287 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0102999997689039   0.0102999997689039   0.0399999991059303;
1526460362351930736; 0.0450267930680825 -0.0120233455270976   0.265045780504239                   0                   0                   0   -16933.9065091343    9919.15960979366    33.2649400334922;    4.68849975009275     4.68849975009275     18.6966989496437 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0103999997663777   0.0103999997663777   0.0499999988824129;
1526460362453833954;   0.0262430917354269   -0.0269512526345027     0.173915223355577 -9.43569976551649e-13 -3.31173208609644e-13                     0     -16933.9065123568      9919.15960970894      33.2644590129459;    2.34734302749943     2.34734302749943     9.36629574815903 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0104999826497216   0.0104999826497216   0.0599572009737505;
1526460362552114765;0.0303154297134196 -0.047302240013704  0.337027872873505                  0                  0                  0  -16933.9065123568   9919.15960970894   33.2644590129459;     2.3514430375386      2.3514430375386      9.3703957581982 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0105999826471954   0.0105999826471954   0.0699572007502331;
1526460362652016090;0.0248171641511857 -0.068896654205983  0.521477450257923                  0                  0                  0  -16933.9065123568   9919.15960970894   33.2644590129459;    2.35554304753895     2.35554304753895     9.37449576819855 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0106999826446692   0.0106999826446692   0.0799572005267157;
1526460362751877793;  0.019320883611361 -0.0904832722313437   0.705860436361815                   0                   0                   0   -16933.9065123568    9919.15960970894    33.2644590129459;     2.3596430575321      2.3596430575321     9.37859577819169 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.010799982642143    0.010799982642143   0.0899572003031983;
1526460362852110246;-0.000657702330051125    -0.111649071457052     0.917029453357166                     0                     0                     0     -16933.9065123568      9919.15960970894      33.2644590129459;    2.36374306759807     2.36374306759807     9.38269578825766 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0108999826396168   0.0108999826396168   0.0999572000796809;
1526460362954119054;  -0.0474518615800355   -0.0993299060452185     0.711779001480243 -9.43569976551649e-13 -3.31173208609644e-13                     0     -16933.9065203368      9919.15961962286      33.2613475791171;    1.57659349672653     1.57659349672653     6.27571440902112 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0109999129512836   0.0109999129512836    0.109782856148069;
1526460363051987778;-0.0975098663092261  -0.127559059614784   0.961811707423078                   0                   0                   0   -16933.9065203368    9919.15961962286    33.2613475791171;     1.5806935067507      1.5806935067507     6.27981441904529 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0110999129487574   0.0110999129487574    0.119782855924551;
1526460363152021730;-0.154010459468876  -0.15984838796614    1.2173622136226                  0                  0                  0  -16933.9065203368   9919.15961962286   33.2613475791171;    1.58479351677765     1.58479351677765     6.28391442907224 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0111999129462312   0.0111999129462312    0.129782855701034;
1526460363251904579;-0.210425493650044 -0.192088820513131   1.47252573910142                  0                  0                  0  -16933.9065203368   9919.15961962286   33.2613475791171;    1.58889352677432     1.58889352677432     6.28801443906891 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.011299912943705    0.011299912943705    0.139782855477517;
1526460363352064051;-0.272143344580137 -0.229248266290731   1.73212697956013                  0                  0                  0  -16933.9065203368   9919.15961962286   33.2613475791171;    1.59299353682636     1.59299353682636     6.29211444912095 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0113999129411787   0.0113999129411787    0.149782855253999;
1526460363454060435;   -0.339599554352881    -0.211255460410299      1.46141893664334 -7.57677939906058e-11 -5.93644367242878e-12                     0     -16933.9065239344      9919.15965309467      33.2531482671726;    1.19458006480474     1.19458006480474     4.74185115483469 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0114997641048119   0.0114997641048119    0.159410226523331;
1526460363552013427;-0.416533903002673 -0.255773460367155      1.71116139012                  0                  0                  0  -16933.9065239344   9919.15965309467   33.2531482671726;    1.19868007484064     1.19868007484064     4.74595116487059 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0115997641022857   0.0115997641022857    0.169410226299813;
1526460363652009095;-0.493404194316703  -0.30025439360116   1.96069590222086                  0                  0                  0  -16933.9065239344   9919.15965309467   33.2531482671726;    1.20278008485986     1.20278008485986     4.75005117488982 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0116997640997594   0.0116997640997594    0.179410226076296;
1526460363751966198;-0.578433936732653  -0.34722578475293   2.20562254132435                  0                  0                  0  -16933.9065239344   9919.15965309467   33.2531482671726;    1.20688009487144     1.20688009487144     4.75415118490139 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0117997640972332   0.0117997640972332    0.189410225852779;
1526460363854142304;   -0.650990101211157    -0.328661355870867      1.94082900622117 -7.57677939906058e-11 -5.93644367242878e-12                     0     -16933.9065068526      9919.15971485496       33.241016683779;   0.965475173608512    0.965475173608512      3.8277683097675 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0118995503631272   0.0118995503631272     0.19887460153053;
1526460363951986204;-0.748856196271485 -0.376271100255419   2.17690879330374                  0                  0                  0  -16933.9065068526   9919.15971485496    33.241016683779;   0.969575183615168    0.969575183615168     3.83186831977416 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.011999550360601    0.011999550360601    0.208874601307013;
1526460364052020685;-0.846822813655173 -0.423929746585224   2.41323106774079                  0                  0                  0  -16933.9065068526   9919.15971485496    33.241016683779;   0.973675193642349    0.973675193642349     3.83596832980134 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0120995503580748   0.0120995503580748    0.218874601083495;
1526460364151980985;-0.952093629755733 -0.473164702051087   2.64410373992248                  0                  0                  0  -16933.9065068526   9919.15971485496    33.241016683779;   0.977775203654417    0.977775203654417     3.84006833981341 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0121995503555486   0.0121995503555486    0.228874600859978;
1526460364252057338; -1.06245728792579 -0.524454936790533   2.87204036533156                  0                  0                  0  -16933.9065068526   9919.15971485496    33.241016683779;    0.98187521368972     0.98187521368972     3.84416834984871 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0122995503530224   0.0122995503530224    0.238874600636461;
1526460364354062458;    -1.11914486773696    -0.503824982983343      2.59623903033298 -7.57677939906058e-11 -5.93644367242878e-12                     0     -16933.9064258465      9919.15982056172       33.222618442353;   0.817509741171721    0.817509741171721     3.22822555331779 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0123992076511424   0.0123992076511424    0.248014947378547;
1526460364452058223; -1.23572173687718 -0.560673013348693   2.80309948266384                  0                  0                  0  -16933.9064258465   9919.15982056172    33.222618442353;   0.821609751189994    0.821609751189994     3.23232556333607 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0124992076486162   0.0124992076486162     0.25801494715503;
1526460364552020839;  -1.3577433773768 -0.622282884426883   2.99822779861219                  0                  0                  0  -16933.9064258465   9919.15982056172    33.222618442353;   0.825709761202564    0.825709761202564     3.23642557334864 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07     0.01259920764609     0.01259920764609    0.268014946931513;
1526460364652048270; -1.48401810325129 -0.686460715905144   3.19167386278823                  0                  0                  0  -16933.9064258465   9919.15982056172    33.222618442353;   0.829809771228142    0.829809771228142     3.24052558337421 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0126992076435637   0.0126992076435637    0.278014946707995;
1526460364751930357; -1.61010970501413 -0.750545476435948   3.38483939070961                  0                  0                  0  -16933.9064258465   9919.15982056172    33.222618442353;   0.833909781224722    0.833909781224722     3.24462559337079 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0127992076410375   0.0127992076410375    0.288014946484478;
1526460364854168014;    -1.60583774237765    -0.733140231490297      3.16491393467104 -7.57677939906058e-11 -5.93644367242878e-12                     0     -16933.9061538259      9919.15998554069       33.200841509026;   0.713606897471298    0.713606897471298     2.80630168617284 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0128987121778036   0.0128987121778036    0.296770472432259;
1526460364952004570; -1.74165281530917 -0.797832088565102      3.35449230002                  0                  0                  0  -16933.9061538259   9919.15998554069    33.200841509026;   0.717706907479469    0.717706907479469     2.81040169618101 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0129987121752774   0.0129987121752774    0.306770472208741;
1526460365052038911; -1.88135223072969 -0.862513338491167   3.54342040232133                  0                  0                  0  -16933.9061538259   9919.15998554069    33.200841509026;   0.721806917506585    0.721806917506585     2.81450170620812 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0130987121727512   0.0130987121727512    0.316770471985224;
1526460365152054260;-2.02325903797787 -0.92645811242985  3.73228195952153                 0                 0                 0 -16933.9061538259  9919.15998554069   33.200841509026;   0.725906927529916    0.725906927529916     2.81860171623145 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.013198712170225    0.013198712170225    0.326770471761706;
1526460365251934042;  -2.1649709178857 -0.990315049957048   3.92088409096367                  0                  0                  0  -16933.9061538259   9919.15998554069    33.200841509026;   0.730006937525785    0.730006937525785     2.82270172622732 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0132987121676988   0.0132987121676988    0.336770471538189;
1526460365354108725;    -2.10678453676484    -0.963656636203013      3.75411001484059 -7.57677939906058e-11 -5.93644367242878e-12                     0     -16933.9056274226      9919.16022389876      33.1754677567797;   0.637241409848039    0.637241409848039     2.49547389948205 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0133980416496588   0.0133980416496588     0.34508365805281;
1526460365452059757;-2.25275232695507 -1.02957428688719  3.93910829712023                 0                 0                 0 -16933.9056274226  9919.16022389876  33.1754677567797;   0.641341419892224    0.641341419892224     2.49957390952623 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0134980416471326   0.0134980416471326    0.355083657829292;
