KF_ArUco_Time;KF_ArUco_pos_NED;
1526459921720308854;   -0.15970929949477 -0.00698500171946866    0.871587696114654;
1526459921920327317;   -0.15970929949477 -0.00698500171946866    0.871587696114654;
1526459922120302482; -0.195929229621421 -0.0366053186884821    1.39737204889468;
1526459922320365451;-0.158331979020737 -0.140752646670404   2.03324295846774;
1526459922522327847;-0.158331979020737 -0.140752646670404   2.03324295846774;
1526459923120367901;0.0441017311915025 -0.724481502673478   3.01243040688158;
1526459923420264267;0.0441017311915025 -0.724481502673478   3.01243040688158;
1526459927720294231; 1.16402556034138 -4.58426091961453  10.6176664837997;
1526459928020264126; 1.32016006798409 -5.14548140891595  10.9767432215313;
1526459928420251926; 1.35634422142764 -5.40474496597549  11.4506581334866;
1526459928820175045; 1.52884256921783 -5.67128951937329  11.9020566402462;
1526459929520200761; 1.94623092324404 -6.03309208528574  13.0597914414587;
1526459929820184284; 2.01911094654307 -6.07371793736033  13.1157222642474;
1526459930220245389;  1.9908787389577 -5.98406189732823  13.0508483052768;
1526459930520295849; 2.01448340830282 -5.91200650005123  13.0253595096214;
1526459930920184011; 2.09657273503307 -5.89126690184084  13.0068864789487;
1526459931220262851; 2.11760918865238 -5.79909706216752  12.8306668506663;
1526459931620198936;2.16666449116535 -5.8115122303726 12.8866560755849;
1526459931920223345;  2.2216922826161 -5.82412649147331  12.9451858010991;
1526459932320221494; 2.26543502000269 -5.77538725995569  12.9502566121718;
1526459932620155992; 2.26455565604001 -5.75715444417065  12.9018285457107;
1526459932920196687;  2.3031363157004 -5.74095111572055  13.0041108721516;
1526459933220261771; 2.29203310608499 -5.71661418076083  13.0318305653614;
1526459933620168700; 2.28647668261235 -5.68481565046436  12.9864310803059;
1526459933920243441; 2.28812757453337 -5.71894711431704  12.8489440642703;
1526459934320176489; 2.30032472511044 -5.70366059019737  12.9551297487277;
1526459934620126145; 2.36144857240807 -5.70275321677399  12.9128006498625;
1526459934920276345; 2.35405920221059 -5.62022731380092  12.9263692041478;
1526459935320275186; 2.39797223693927 -5.62952987724612  13.0104728614252;
1526459935620254178; 2.47110313108457 -5.61056655770859  12.9008456931034;
1526459935920300206; 2.52995659679756 -5.49824292735257  12.8998675544064;
1526459936220291041; 2.58461934648147 -5.60547580222986  13.1092931886449;
1526459936520223747; 2.61295663619007 -5.59826122241724  12.9833749556632;
1526459936921980084; 2.65359754853677 -5.62782970688414  13.0334195236629;
1526459937420220313; 2.69522479739921 -5.67493466235291  13.1044789528091;
1526459937920401536; 2.73106908429331 -5.46001717993157  12.9672039774511;
1526459938420172052; 2.82690854319641 -5.54535030608324  12.8965246040317;
1526459938820164219; 2.96438920831787 -5.61189019594519  13.0053277887207;
1526459939220185183; 2.87902405846412 -5.55501218837491  12.9893746366891;
1526459939720207122; 2.73755992289588 -5.50333088373968  13.0174135387258;
1526459940220227224; 2.86386547436406 -5.57195481698592  12.9898469461778;
1526459940520370627; 2.88698241233798 -5.65260733818384  13.0272135797524;
1526459940920417851; 2.90791866291702 -5.50178101733768  13.0337268625099;
1526459941220252749; 2.91357536576925 -5.55347384133836  13.0789571264887;
1526459941520256171; 2.90820686715928 -5.44541789529203  13.1664312246886;
1526459941820422334; 2.93773930877148 -5.44114911864769   13.100257416812;
1526459942220226058; 2.8655884870435 -5.3788446844388 13.1737593142433;
1526459942520247001;3.02633989523935 -5.3982160407973  13.299732384764;
1526459942820386476; 2.81915989423934 -5.30992209686029   13.343973171791;
1526459943120305151; 2.89995786253815 -5.34029463389696  13.2415544460871;
1526459943520217294; 2.78785957545977 -5.54705918849716  13.2650231273272;
1526459943720403199; 2.78785957545977 -5.54705918849716  13.2650231273272;
1526459944120312890; 2.90277694114238 -5.51698726487241  13.2460071869293;
1526459944420237015;  2.8372878312251 -5.42396554158306  13.1787712598053;
1526459944720258863; 2.89331544836757 -5.41441769880835  13.1046144756008;
1526459945120369477; 3.00845513629881 -5.43619413574953  12.9679558218627;
1526459945420158211; 3.19774878086656 -5.44220328492242  13.0801296100167;
