KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1526459920621357622; -0.0297336889898149 -0.00398845070885412                   -0;  4.76854582256326 -0.798529985478248  -7.55203986257144;
1526459921121421226; -0.0297336889898149 -0.00398845070885412                   -0;  4.77968729765004 -0.792945859568023  -7.57103960949421;
1526459921621224589; -0.0297336889898149 -0.00398845070885412                   -0; 4.72397999245552 -0.75385699280113 -7.59003779765886;
1526459922021344626; -0.0297336889898149 -0.00398845070885412                   -0;  4.71283856638026 -0.725936372133686  -7.64803651117401;
1526459922521183207; -0.0297336889898149 -0.00398845070885412                   -0;  4.72398009790417 -0.703599877023567  -7.74603548818643;
1526459923021380324; -0.0297336889898149 -0.00398845070885412                   -0; 4.73512165530328 -0.69243163342201 -7.86903496962474;
1526459923921239790; -0.0297336889898149 -0.00398845070885412                   -0;  4.5680000269352 -0.62542212294793 -7.18403169323842;
1526459924421241136; -0.0297336889898149 -0.00398845070885412                   -0;  4.52343420274325 -0.698015774574552  -6.21003497844648;
1526459924821226027; -0.0297336889898149 -0.00398845070885412                   -0;  4.60142432787901 -0.899044399593025  -5.34304430740858;
1526459925321461791; -0.0299686402278072 -0.00137135075609905                   -0; 4.77968749718852 -1.40161608514361 -4.39806765884191;
1526459925721273098; -0.0299686402278072 -0.00137135075609905                   -0; 4.94680915349962 -1.99911813150365 -3.66109544498194;
1526459926221235949; -0.0299686402278072 -0.00137135075609905                   -0; 5.18077925981011 -3.02101447387506 -2.63414305537903;
1526459926721259455; -0.0299686402278072 -0.00137135075609905                   -0; 5.44817342800921 -4.10992081595886 -1.75519401537113;
1526459927121375720; -0.0299686402278072 -0.00137135075609905                   -0;  5.71556768624489  -4.90845267664683 -0.840231596875584;
1526459927621286133; -0.0299686402278072 -0.00137135075609905                   -0; 5.82698218426987 -5.08714578140911 0.169759924452475;
1526459928121198933; -0.0299686402278072 -0.00137135075609905                   -0; 5.83812367489966 -5.10389868410054 0.884759134952401;
1526459928521431425; -0.0299686402278072 -0.00137135075609905                   -0; 5.91611395631401 -5.14857247497279  1.79975697540035;
