KF_Time;KF_States;KF_Covariance;
1526459920736236538;  -0.0025705062570083 -0.000196370671007021   0.00820234914780545                     0                     0                     0      4.76854582256326    -0.798529985478248     -7.55203986257144;    4.97360045657979     4.97360045657979     19.8617018259305 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0101999997714302   0.0101999997714302   0.0299999993294477;
1526459920820175525;  -0.0134101315771699 -0.000880326294186966    0.0507551735361669                     0                     0                     0      4.76854582256326    -0.798529985478248     -7.55203986257144;     4.9777004636459      4.9777004636459     19.8658018329966 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0102999997689039   0.0102999997689039   0.0399999991059303;
1526459920920268470; -0.033779424017062 0.00311605318138372   0.148575441036443                   0                   0                   0    4.76854582256326  -0.798529985478248   -7.55203986257144;    4.98180047368469     4.98180047368469     19.8699018430354 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0103999997663777   0.0103999997663777   0.0499999988824129;
1526459921020258660;-0.0607506835854776  0.0114501800732652   0.277082290471502                   0                   0                   0    4.76854582256326  -0.798529985478248   -7.55203986257144;    4.98590048370279     4.98590048370279     19.8740018530535 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0104999997638515   0.0104999997638515   0.0599999986588955;
1526459921122482414;   -0.038820037407644    0.0135133306691381     0.196049274262306 -2.97336889117712e-12 -3.98845069838541e-13                     0        4.768550859107    -0.798530784809265     -7.55258052357791;    2.49504017679258     2.49504017679258     9.95642044783477 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0105999746099175   0.0105999746099175   0.0699370985580018;
1526459921220288726;-0.0660316317484413  0.0204361556801823   0.324806869227576                   0                   0                   0      4.768550859107  -0.798530784809265   -7.55258052357791;    2.49914018679911     2.49914018679911      9.9605204578413 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0106999746073913   0.0106999746073913   0.0799370983344844;
1526459921320219507;-0.0932429665860711  0.0273589146718725   0.453563236298404                   0                   0                   0      4.768550859107  -0.798530784809265   -7.55258052357791;    2.50324019680545     2.50324019680545     9.96462046784764 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0107999746048651   0.0107999746048651    0.089937098110967;
1526459921420163286; -0.11650584635485 0.0282936610120362  0.581922762807422                  0                  0                  0     4.768550859107 -0.798530784809265  -7.55258052357791;    2.50734020681438     2.50734020681438     9.96872047785657 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0108999746023388   0.0108999746023388   0.0999370978874495;
1526459921520277323;-0.132462897511109 0.0205595442369673  0.728897041920346                  0                  0                  0     4.768550859107 -0.798530784809265  -7.55258052357791;    2.51144021685722     2.51144021685722      9.9728204878994 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0109999745998126   0.0109999745998126    0.109937097663932;
1526459921622287184;   -0.113550886156829    0.0235225701688563     0.571741986856882 -2.97336889117712e-12 -3.98845069838541e-13                     0      4.76856128189263    -0.798527588888871     -7.55487369606449;    1.67485837636496     1.67485837636496     6.67167414315873 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0110998993551667   0.0110998993551667    0.119748843299721;
1526459921721509442;  -0.157154450613681 -0.00600606149816648    0.868814333977882                    0                    0                    0     4.76878614227556   -0.798441429243715    -7.55624498729737;    0.11239534575174     0.11239534575174    0.138487598510644 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0111374332749007   0.0111374332749007    0.129031593201364;
1526459921820143997; -0.155977170430013 -0.0318938507960923    1.04617412222783                   0                   0                   0    4.76878614227556  -0.798441429243715   -7.55624498729737;   0.116495355739542    0.116495355739542    0.142587608498445 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0112374332723745   0.0112374332723745    0.139031592977847;
1526459921921624869; -0.151301995815941 -0.0389573001512834    1.04956197002459                   0                   0                   0    4.76883567735449  -0.798629807157393   -7.55441945468542;    0.06026365061262     0.06026365061262    0.072003178568796 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0113353436010881   0.0113353436010881    0.149024289138176;
1526459922022289937;   -0.134542046556292   -0.0834087121865498      1.22355412771525 -2.97336889117712e-12 -3.98845069838541e-13                     0      4.76901077730388    -0.798281809188175     -7.56484780164971;   0.063549844116316    0.063549844116316   0.0758200069542301 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0114109555511204   0.0114109555511204    0.157775602430749;
1526459922121313497; -0.14502761605434 -0.098148855122363   1.40064478333406                  0                  0                  0   4.76920293491863 -0.798514140902941  -7.56481756261034;  0.0446428910255695   0.0446428910255695   0.0510631926905816 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0115097210305965   0.0115097210305965    0.167767888168002;
1526459922220296894;-0.124485031184913 -0.153416933403202   1.56786129149454                  0                  0                  0   4.76920293491863 -0.798514140902941  -7.56481756261034;  0.0487429010451919   0.0487429010451919   0.0551632027102039 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0116097210280703   0.0116097210280703    0.177767887944484;
1526459922321400883;-0.115233656071516 -0.199691877440838   1.81779243724105                  0                  0                  0   4.76930131837153 -0.798648685466119  -7.56608947492053;  0.0386032197071371   0.0386032197071371   0.0417624731374275 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0117091756823975   0.0117091756823975     0.18776441447725;
1526459922420259746;-0.0876654260157703  -0.278032495065334     1.9732890971742                   0                   0                   0    4.76930131837153  -0.798648685466119   -7.56608947492053;  0.0427032297066313   0.0427032297066313   0.0458624831369217 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0118091756798713   0.0118091756798713    0.197764414253732;
1526459922523257726;  -0.0839971620961605    -0.300533808649054      2.09979788242561 -2.97336889117712e-12 -3.98845069838541e-13                     0      4.76951578712884     -0.79798582981682     -7.58937812272505;  0.0350315346931954   0.0350315346931954   0.0368530438517646 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0118813966210912   0.0118813966210912    0.205622076824868;
1526459922620190419;-0.053381427276245 -0.394946579743183   2.24963891904475                  0                  0                  0   4.76951578712884  -0.79798582981682  -7.58937812272505;  0.0391315447021073   0.0391315447021073   0.0409530538606765 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.011981396618565    0.011981396618565    0.215622076601351;
1526459922720270522;-0.020198242143247 -0.503514659150422   2.39461842712512                  0                  0                  0   4.76951578712884  -0.79798582981682  -7.58937812272505;  0.0432315547381544   0.0432315547381544   0.0450530638967235 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0120813966160387   0.0120813966160387    0.225622076377834;
1526459922820264029;0.0135425416857856 -0.628198482890234   2.54395425359039                  0                  0                  0   4.76951578712884  -0.79798582981682  -7.58937812272505;  0.0473315647569062   0.0473315647569062   0.0491530739154753 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0121813966135125   0.0121813966135125    0.235622076154316;
1526459922920319489;0.0479557019232114 -0.768710910143851   2.70025059292703                  0                  0                  0   4.76951578712884  -0.79798582981682  -7.58937812272505;   0.051431574788142    0.051431574788142   0.0532530839467112 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0122813966109863   0.0122813966109863    0.245622075930799;
1526459923022425138;   0.0810438428810357    -0.897897620163823       2.8475574248863 -2.97336889117712e-12 -3.98845069838541e-13                     0       4.7692343832921     -0.79553970936227      -7.6290372478559;    0.05492390171689     0.05492390171689   0.0571944276428407 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0123521786213526   0.0123521786213526    0.252399652013619;
1526459923121539099;0.0982431907445865 -0.964468430469033   3.01222081723939                  0                  0                  0   4.76936825677599 -0.796133115716241  -7.62903951012104;  0.0431153462089445   0.0431153462089445   0.0427610613831079 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0124514641851036   0.0124514641851036    0.262388157298068;
1526459923220215791; 0.135347425308919  -1.12678208383011   3.18105157508566                  0                  0                  0   4.76936825677599 -0.796133115716241  -7.62903951012104;  0.0472153561990697   0.0472153561990697   0.0468610713732331 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0125514641825773   0.0125514641825773    0.272388157074551;
