KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525867206198413373; 0.0395790135585829 0.00578806407441316                   0; 2.49568758584975 0.938131023415746  6.92404121948273;
1525867206664819241; 0.0395790135585829 0.00578806407441316                   0; 2.43998023282603 0.960467477503502  6.94704229965608;
1525867207128791333; 0.0395790135585829 0.00578806407441316                   0; 2.40655581548041 0.996544802602625  6.96843693110977;
1525867207589667321; 0.0395790135585829 0.00578806407441316                   0;2.37313141087119 1.06656571423783 7.06104725322385;
1525867208057651282; 0.0395790135585829 0.00578806407441316                   0;2.30628255448227 1.37369245792835 7.75406145807777;
1525867208533799411; 0.0395790135585829 0.00578806407441316                   0;2.13650561748972 1.65489445954026 8.67896728415999;
1525867208981945277; 0.0593685203378743 0.00868209611161974                   0;1.99432111915405 1.76458111822012 9.53907974493564;
1525867209442276240; 0.0593685203378743 0.00868209611161974                   0;1.93861368698811 1.80366999377159 10.1841388045521;
1525867209905156375; 0.0593685203378743 0.00868209611161974                   0;1.92747216276808 1.82600646566395 10.7680826467483;
1525867210376163245; 0.0593685203378743 0.00868209611161974                   0;1.94975504709487 1.83159058262125 11.4780828930001;
1525867210832051278; 0.0593685203378743 0.00868209611161974                   0; 1.9172589073043 1.77970455558281 12.0869981138067;
1525867211296317340; 0.0593685203378743 0.00868209611161974                   0;1.61338755814466 1.60716133620132 12.8750261583902;
1525867211765604259; 0.0593685203378743 0.00868209611161974                   0;1.06957763895298 1.32901902574956 13.5920605672557;
1525867213149426461; 0.0593685203378743 0.00868209611161974                   0; -2.60715399360955 -0.932731529998932   16.1325471605071;
1525867213622678281;0.0692632737275201  0.010129112130223                  0;-4.10007560048136 -1.65290196298495  16.9189246415245;
1525867214086988450;0.0692632737275201  0.010129112130223                  0;-5.64009553870872 -2.28421687709505  17.6754067968271;
1525867214540740252;0.0692632737275201  0.010129112130223                  0;-7.22309924354349 -2.91267195766156  18.3529941396105;
1525867215013369323;0.0692632737275201  0.010129112130223                  0;-8.66809157953797  -3.4454003607487   18.931839358217;
1525867215498431445;0.0692632737275201  0.010129112130223                  0; -10.049638173931 -3.89212800539835  19.4238173000575;
1525867215935723306;0.0692632737275201  0.010129112130223                  0;-11.0394729958551 -4.11196439453065  19.5768059783621;
1525867216400640250;0.0692632737275201  0.010129112130223                  0;-11.5983062500607 -4.07081741888018  19.6268072893241;
