KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525871333189431921;-0.0974022216761753 -0.0511156259136599                  -0;-16927.7927851076  9920.37804132073  33.3311024500917;
1525871334113411919;-0.0974022216761753 -0.0511156259136599                  -0;-16928.0498892474  9920.12515527947  35.2319187632147;
1525871334577510849;-0.0974022216761753 -0.0511156259136599                  -0;-16928.1930721328  9919.73715786571  36.6732308650335;
1525871335044552819;-0.0974022216761753 -0.0511156259136599                  -0;-16928.2534546454  9919.67259536789  37.7678672088532;
1525871335512702004;-0.0974022216761753 -0.0511156259136599                  -0;-16928.3404049862  9919.66180272182  38.6978565731642;
1525871335980525986;-0.0974022216761753 -0.0511156259136599                  -0;-16928.381486475 9919.77621116301 39.8339512403272;
1525871336472776905;-0.0974022216761753 -0.0511156259136599                  -0;-16928.548991292 9919.84876056205 41.1956447706316;
1525871336904673830;-0.0974022216761753 -0.0511156259136599                  -0;-16929.1102356606  9919.51270643357  42.4031315846269;
1525871337369283930;-0.0974022216761753 -0.0511156259136599                  -0;-16930.1917949146   9918.6569913597  43.5168000435792;
1525871337834484831; -0.0294537996573365 -0.00569856874535054                   -0;-16932.1470228363  9917.03865283081  44.7646835079249;
1525871338297320858; -0.0294537996573365 -0.00569856874535054                   -0;-16934.3922193639   9915.1892249576   45.918622715317;
1525871338762223975; -0.0294537996573365 -0.00569856874535054                   -0;-16937.0884610252  9912.95271369824  47.2122657430773;
1525871339221268908; -0.0294537996573365 -0.00569856874535054                   -0;-16939.5059831331  9911.01241927902   48.238547145771;
1525871339690366999; -0.0294537996573365 -0.00569856874535054                   -0;-16942.7926309494  9908.36556049971  49.5064346604128;
1525871340148671881; -0.0294537996573365 -0.00569856874535054                   -0;-16945.9335519549  9905.73561051917  50.6517294245905;
1525871340615633027; -0.0294537996573365 -0.00569856874535054                   -0;-16949.2110372427  9903.05847699397  51.8117950070919;
1525871341077438847; -0.0294537996573365 -0.00569856874535054                   -0;-16952.4858258577  9900.45844142092  52.9078580147954;
1525871341541260973; -0.0294537996573365 -0.00569856874535054                   -0;-16955.6571869549   9897.9420770599  53.8766935536787;
1525871342005139843; -0.0294537996573365 -0.00569856874535054                   -0;-16959.0105987019  9895.31257945736  54.6864677918848;
1525871342472605006;-0.00981793321911216 -0.00189952291511685                   -0;-16961.9786044827   9893.0093697182  54.8124031226101;
1525871342933265940;-0.00981793321911216 -0.00189952291511685                   -0;-16964.2293554156  9891.25586545351  54.6982526965044;
