KF_Time;KF_States;KF_Covariance;
1525871333365254013;-0.0072924731795428 0.00270100583922533  0.0385270312331543                   0                   0                   0   -16927.7927851076    9920.37804132073    33.3311024500917;    5.50619996301193     5.50619996301193      21.992099851211 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0101999997714302   0.0101999997714302   0.0299999993294477;
1525871333445828358;-0.0284223320410351  0.0175525557816653   0.191621252822133                   0                   0                   0   -16927.7927851076    9920.37804132073    33.3311024500917;    5.51029996952427     5.51029996952427     21.9961998577234 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0102999997689039   0.0102999997689039   0.0399999991059303;
1525871333546785580;-0.0555391246410567  0.0367814245471257   0.398168344272635                   0                   0                   0   -16927.7927851076    9920.37804132073    33.3311024500917;    5.51439997973675     5.51439997973675     22.0002998679359 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0103999997663777   0.0103999997663777   0.0499999988824129;
1525871333647692116;0.0279927528765489  0.105635402310777   0.81291523602508                  0                  0                  0  -16927.7929818869   9920.37794157208   33.3309225287563;   0.116191496251783    0.116191496251783    0.144618094295646 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0104818769520338   0.0104818769520338   0.0599819332168249;
1525871333748520045;0.00854900840736071   0.111805419535735    1.04604909967408                   0                   0                   0   -16927.7929818869    9920.37794157208    33.3309225287563;   0.120291506438171    0.120291506438171    0.148718104482034 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0105818769495076   0.0105818769495076   0.0699819329933075;
1525871333845129149;0.0132785237998935  0.107757481496578   1.03943993591104                  0                  0                  0  -16927.7930217552    9920.3779585706   33.3311200780446;  0.0627404437907055   0.0627404437907055   0.0765889978582967 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.010681697365248    0.010681697365248   0.0799818765278347;
1525871333946054138;-0.00116152245362233    0.105236034521893     1.29675873353945                    0                    0                    0    -16927.7930217552      9920.3779585706     33.3311200780446;  0.0668404539966754   0.0668404539966754   0.0806890080642667 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0107816973627218   0.0107816973627218   0.0899818763043173;
1525871334046881189;-0.0385314600374255   0.128706044548611    1.56501488189351                   0                   0                   0   -16927.7929788009    9920.37790858004    33.3311313790153;  0.0480647531641141   0.0480647531641141   0.0554760411507002 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.010881646072675    0.010881646072675   0.0999818586260037;
1525871334147534476;-0.0426692832971896   0.108743909221831    1.86678084671052                   0                   0                   0   -16927.7934051928    9920.37718041196    33.3318095385941;  0.0557761375377452   0.0557761375377452   0.0635159299459807 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0110601960716639   0.0110601960716639    0.119435847922394;
1525871334248532347;-0.0523744233695587   0.118935931216342    1.97949763015405                   0                   0                   0   -16927.7933665611    9920.37709455095    33.3328081819368;  0.0429903699951906   0.0429903699951906   0.0479305357581469 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.011160042498373    0.011160042498373     0.12943529903622;
1525871334349274779;-0.0495107459332815   0.101770900103974    2.27014091458874                   0                   0                   0   -16927.7933665611    9920.37709455095    33.3328081819368;  0.0470903801643448   0.0470903801643448    0.052030545927301 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0112600424958468   0.0112600424958468    0.139435298812702;
1525871334450017209;-0.0466470685538558  0.0846058693323762    2.56078419325341                   0                   0                   0   -16927.7933665611    9920.37709455095    33.3328081819368;  0.0511903903334985   0.0511903903334985   0.0561305560964548 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0113600424933206   0.0113600424933206    0.149435298589185;
1525871334550877815;-0.0792851005575609  0.0890565325135677    2.72353393890459                   0                   0                   0    -16927.793294578    9920.37704792011    33.3332795028994;  0.0419675199421415   0.0419675199421415   0.0442821540950007 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0114599725561046   0.0114599725561046    0.159435027325799;
1525871334641753119;-0.0869139944244297  0.0705008829701104    2.95827079362509                   0                   0                   0   -16927.7939541591     9920.3755484621    33.3374603808624;  0.0497865449102487   0.0497865449102487    0.052377368326838 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0116362522655692   0.0116362522655692    0.178143546384276;
1525871334742788275;-0.0959333488122811  0.0572627563081214    3.28704272037284                   0                   0                   0   -16927.7939426006    9920.37555534062    33.3365698012282;  0.0423066444285612   0.0423066444285612   0.0423215128804244 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0117360978183322   0.0117360978183322    0.188142077352493;
