KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525872836810428979; -0.0194967812759078 -0.00445819693143001                   -0;-16941.1507786959  9920.30806361903  36.8603665799656;
1525872837272789122; -0.0194967812759078 -0.00445819693143001                   -0;-16941.2718786008    9920.260450334  37.5388643870447;
1525872837736647965; -0.0194967812759078 -0.00445819693143001                   -0;-16941.4958956615  9920.20295774297  38.4072509878923;
1525872838664147975; -0.0194967812759078 -0.00445819693143001                   -0;-16941.8277297903  9920.20472108589  40.8082240556651;
1525872839128624083; -0.0194967812759078 -0.00445819693143001                   -0;-16942.7230467799  9920.04749628153  41.8453123821391;
1525872839589058997; -0.0194967812759078 -0.00445819693143001                   -0;-16943.9354660726   9919.8007178882  42.6829775559932;
1525872840060928942; -0.0194967812759078 -0.00445819693143001                   -0;-16945.8047023101  9919.40250840902  43.7239023213069;
1525872840522750022; -0.0194967812759078 -0.00445819693143001                   -0;-16947.7381153944  9918.98389631341  44.6304073359961;
1525872840981732966;0.000127405588358881  -0.0099991883578646                    0;-16949.6401919446  9918.56684925076  45.4079816119448;
1525872841494014146;0.000127405588358881  -0.0099991883578646                    0;-16952.1385056933   9918.0133958407  46.4759070441169;
1525872841920390965;0.000127405588358881  -0.0099991883578646                    0;-16953.9367712991  9917.69795451165  47.2002611948146;
1525872842373278977;0.000127405588358881  -0.0099991883578646                    0;-16955.9608755423  9917.34153121255  47.9829318876882;
1525872842841182114;0.000127405588358881  -0.0099991883578646                    0;-16957.8229008681  9916.97153894091  48.6554886883368;
1525872843308739068;0.000127405588358881  -0.0099991883578646                    0;-16959.6497444051  9916.57481413294  49.2346262259771;
1525872843765797021;0.000127405588358881  -0.0099991883578646                    0;-16960.9112394165  9916.28353410307  49.3635900505569;
1525872844232828976;0.000127405588358881  -0.0099991883578646                    0;-16961.8450215777  9916.03862040026  49.3178170234833;
1525872844695437075;0.000127405588358881  -0.0099991883578646                    0;-16962.2412929954  9915.88670729082  49.2436035851899;
1525872845157551171;0.000127405588358881  -0.0099991883578646                    0;-16962.3179274798  9915.78487765595  49.1661280910976;
1525872845626010062;0.000637027941794406   -0.049995941789323                    0;-16962.3473778996  9915.68534857168  49.1664305381173;
1525872846082389952;0.000637027941794406   -0.049995941789323                    0;-16962.3973404337  9915.61870915654   49.128590820088;
1525872846551596047;0.000637027941794406   -0.049995941789323                    0;-16962.4514209629  9915.56463787421  49.0641398412727;
1525872847017549159;0.000637027941794406   -0.049995941789323                    0;-16962.4865905543  9915.49338366448  49.0800111228518;
1525872847481649043;0.000637027941794406   -0.049995941789323                    0;-16962.5407818538  9915.40424145855  49.0284884035691;
1525872847944157006;0.000637027941794406   -0.049995941789323                    0;-16962.5869751149  9915.33187787128  48.9517258531591;
1525872848408866049;0.000637027941794406   -0.049995941789323                    0;-16962.5758557621  9915.32308261015  48.9277342084208;
1525872848876196982;0.000637027941794406   -0.049995941789323                    0;-16962.5869698895  9915.30243950786  48.8996884845856;
1525872849335672022;0.000637027941794406   -0.049995941789323                    0;-16962.5646801013   9915.3175517967  48.8637303248285;
1525872849800320031;0.000637027941794406   -0.049995941789323                    0;-16962.4892601329  9915.37632870095  48.8505148352851;
1525872850268568160;0.000382216765076644  -0.0299975650735938                    0;-16962.3707215252  9915.53941158398  48.9330403783952;
1525872850726457955;0.000382216765076644  -0.0299975650735938                    0;-16962.2860284649  9915.66927479977  48.9617435692853;
1525872851192894103;0.000382216765076644  -0.0299975650735938                    0;-16962.4068978649  9915.63117447988  48.9844938788201;
1525872851659715058;0.000382216765076644  -0.0299975650735938                    0;-16962.5422023659  9915.57449966349  49.0098572648279;
1525872852116674067;0.000382216765076644  -0.0299975650735938                    0;-16962.6495540363  9915.51923019392  49.0068841449192;
1525872852578413130;0.000382216765076644  -0.0299975650735938                    0;-16962.7315897713  9915.45730828881   49.031961405055;
1525872853052420975;0.000382216765076644  -0.0299975650735938                    0;-16962.7222908769   9915.4451683166  49.0989904305879;
1525872853518010022;0.000382216765076644  -0.0299975650735938                    0;-16962.698066875 9915.46844872527 49.1289915294118;
1525872853971948029;0.000382216765076644  -0.0299975650735938                    0;-16962.7017058628   9915.4815195218  49.1640217618242;
1525872854438310029;0.000382216765076644  -0.0299975650735938                    0;-16962.7091598354  9915.51584553262  49.1570530336039;
1525872854900089146;0.000637027941794406   -0.049995941789323                    0;-16962.7277133738  9915.53553221318  49.1260626395657;
1525872855368593098;0.000637027941794406   -0.049995941789323                    0;-16962.779255529 9915.52438578428 49.1120620658335;
1525872855837119939;0.000637027941794406   -0.049995941789323                    0;-16962.8094829138  9915.55079150052  49.1070719321688;
1525872856292358996;0.000637027941794406   -0.049995941789323                    0;-16962.7760814337  9915.58592652192  49.0770910985195;
1525872856760581137;0.000637027941794406   -0.049995941789323                    0;-16962.7315147254  9915.59716290309   49.096109128404;
1525872857227738024;0.000637027941794406   -0.049995941789323                    0;-16962.1555453449   9915.6928951175  49.1883883837463;
1525872857685274960;0.000637027941794406   -0.049995941789323                    0;-16961.0714575282  9915.87648480787  49.2591519150622;
1525872858152580144;0.000637027941794406   -0.049995941789323                    0;-16959.7082136321  9916.12629650542  49.3742183321083;
1525872858608259083;0.000637027941794406   -0.049995941789323                    0;-16958.575493312 9916.34168960594 49.4834145344785;
1525872859076341035;0.000637027941794406   -0.049995941789323                    0;-16957.5250147777  9916.48796744954  49.5340962643713;
1525872859545341136;0.00127405588358881  -0.099991883578646                   0;-16956.5318573695  9916.64457861057  49.6706344201266;
1525872860000516059;0.00127405588358881  -0.099991883578646                   0;-16955.5448736777  9916.86321243905  49.7738394310045;
1525872860487239958;0.00127405588358881  -0.099991883578646                   0;-16954.4880863563  9917.15473103023  49.9222764669757;
1525872860937224032;0.00127405588358881  -0.099991883578646                   0;-16953.6626145173  9917.42923886814  49.9993592961371;
1525872861392165066;0.00127405588358881  -0.099991883578646                   0;-16952.8066740468  9917.72689223791  50.1420261373332;
1525872861860811116;0.00127405588358881  -0.099991883578646                   0;-16951.9594300843  9918.00463597443  50.2436179842689;
1525872862324916960;0.00127405588358881  -0.099991883578646                   0;-16951.1214331282  9918.25978556157  50.3600948755047;
1525872862783854128;0.00127405588358881  -0.099991883578646                   0;-16950.2501411978  9918.46674186603  50.5141756465437;
1525872863252230050;0.00127405588358881  -0.099991883578646                   0;-16949.395172714  9918.6132197175  50.675682697346;
1525872863720206143;0.00127405588358881  -0.099991883578646                   0;-16948.5507480824  9918.70714059584  50.8129810595683;
1525872864176458956;0.000509622353435525  -0.0399967534314584                    0;-16947.7177594064  9918.84748231846  50.9849108009003;
1525872864644377114;0.000509622353435525  -0.0399967534314584                    0;-16946.860848642 9919.00062650789 51.0816277183294;
1525872865567870022;0.000509622353435525  -0.0399967534314584                    0;-16945.1507759405  9919.28785232005  51.3585258123139;
1525872866036265971;0.000509622353435525  -0.0399967534314584                    0;-16944.2649891291  9919.47064659696  51.4865814658033;
1525872866517619969;0.000509622353435525  -0.0399967534314584                    0;-16943.3453959142  9919.72415347517  51.6291881320428;
1525872866959909083;0.000509622353435525  -0.0399967534314584                    0;-16942.5131828606  9919.96805548835  51.7369293928487;
1525872867428232075;0.000509622353435525  -0.0399967534314584                    0;-16941.6715939794  9920.19502054986  51.8431815829026;
1525872867896787049;0.000509622353435525  -0.0399967534314584                    0;-16940.7951853556  9920.18772707581  51.8952416559878;
1525872868352726103;0.000509622353435525  -0.0399967534314584                    0;-16940.0055580266  9919.88755908834  51.9153279114562;
1525872868821969153;0.00114665029522993 -0.0899926952207814                   0;-16939.2556741168   9919.5157385067  51.9593062268677;
1525872869283902051;0.00114665029522993 -0.0899926952207814                   0;-16938.6059279082  9919.29418080465  51.9830865755921;
1525872869744933964;0.00114665029522993 -0.0899926952207814                   0;-16938.0342427771  9919.17228800158  52.0515252425466;
1525872870211928965;0.00114665029522993 -0.0899926952207814                   0;-16937.7148332327  9919.00049618784   52.069366525875;
1525872870680097939;0.00114665029522993 -0.0899926952207814                   0;-16937.6726939786  9918.71626330311  52.0518491866696;
1525872871139765145;0.00114665029522993 -0.0899926952207814                   0;-16937.9395219905  9918.47676528467  51.9661292483706;
1525872871603348138;0.00114665029522993 -0.0899926952207814                   0;-16938.364812093 9918.31700177155 51.8086647336854;
1525872872065630080;0.00114665029522993 -0.0899926952207814                   0;-16938.7654743119  9918.29639355951   51.588464547438;
1525872872533397080;0.00114665029522993 -0.0899926952207814                   0;-16938.9777519081  9918.38399693159  51.3434875617662;
1525872872997913005;0.00114665029522993 -0.0899926952207814                   0;-16939.0043561018  9918.49486463741  51.0645554796311;
1525872873481737973;-0.0647405820304786 -0.0625192533413098                  -0;-16938.8597017542  9918.51477771311  50.8295754283763;
1525872873927750947;-0.0647405820304786 -0.0625192533413098                  -0;-16938.7513447467  9918.48123167012  50.5839225674072;
1525872874390456082;-0.0647405820304786 -0.0625192533413098                  -0;-16938.7547880687  9918.47363443165   50.364452492658;
1525872874854001166;-0.0647405820304786 -0.0625192533413098                  -0;-16938.8035323008     9918.55047999  50.0935180430579;
1525872875311462046;-0.0647405820304786 -0.0625192533413098                  -0;-16938.7833719592  9918.63186891873   49.872940975205;
1525872875773393037;-0.0647405820304786 -0.0625192533413098                  -0;-16938.7325762858  9918.66370861537  49.6495049194776;
1525872876701180102;-0.0647405820304786 -0.0625192533413098                  -0;-16938.5654497682  9918.59124084365  49.2195780240946;
