KF_Time;KF_States;KF_Covariance;
1525872837027238905; -0.00300694195340277 -0.000742929038939561    0.0302923506250453                     0                     0                     0     -16941.1507786959      9920.30806361903      36.8603665799656;    4.27910019589355     4.27910019589355     17.0837007827545 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0101999997714302   0.0101999997714302   0.0299999993294477;
1525872837107853747;  -0.0193756717002678 -0.000569707859226392     0.161462979223982                     0                     0                     0     -16941.1507786959      9920.30806361903      36.8603665799656;    4.28320020241241     4.28320020241241     17.0878007892733 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0102999997689039   0.0102999997689039   0.0399999991059303;
1525872837208534160;  -0.0398186872829288 -0.000353370774377065     0.325282850765882                     0                     0                     0     -16941.1507786959      9920.30806361903      36.8603665799656;    4.28730021256908     4.28730021256908       17.09190079943 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0103999997663777   0.0103999997663777   0.0499999988824129;
1525872837309391592;-0.0957090106533995 -0.0219449427658255   0.616214466972787                   0                   0                   0   -16941.1507818356    9920.30806131595    36.8606548030558;    2.15084261591328     2.15084261591328     8.56799632314577 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0105999810404323   0.0105999810404323   0.0699531814122906;
1525872837410089383; -0.0544709939574552 -0.00245906396110172    0.450900275226518                    0                    0                    0    -16941.1510923799     9920.30799696406     36.8622452820983;   0.105804902698039    0.105804902698039    0.143225001618992 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.010652985147049    0.010652985147049   0.0797695988532636;
1525872837510956390;-0.0739459560895606 0.00774334056433573   0.641989286579947                   0                   0                   0   -16941.1510923799    9920.30799696406    36.8622452820983;   0.109904912892309    0.109904912892309    0.147325011813262 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0107529851445228   0.0107529851445228   0.0897695986297462;
1525872837601684934;-0.0914634279691521  0.0169202690310637   0.813871334933936                   0                   0                   0   -16941.1510923799    9920.30799696406    36.8622452820983;   0.114004921144094    0.114004921144094    0.151425020065047 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0108529851419966   0.0108529851419966   0.0997695984062287;
1525872837702357990;-0.152353167241903 0.0057620006694943   1.00885593414563                  0                  0                  0  -16941.1508886036   9920.30810876314   36.8623185365321;  0.0622030280137723   0.0622030280137723   0.0772261726717029 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0109519647832274   0.0109519647832274    0.109768158615609;
1525872837803200783;-0.164314502061476 0.0214975965163239   1.23377343382807                  0                  0                  0  -16941.1513568087   9920.30782005322   36.8655287406368;  0.0693980869895717   0.0693980869895717   0.0850459338864253 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.011125081525151    0.011125081525151    0.128941428938397;
1525872837903952756; -0.22758757950145 0.0300121563200043   1.52361730768427                  0                  0                  0  -16941.1509826714   9920.30790756913   36.8649754430201;  0.0494496413382768   0.0494496413382768   0.0572083919869029 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0112242314597753   0.0112242314597753     0.13893805392757;
