KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525084312508751626;  0.0499150693027705 -0.00291304934726789                    0; -8.93586247228894 -0.812370192406657   17.4411496038724;
1525084312907968460;  0.0499150693027705 -0.00291304934726789                    0; -8.80235011044647 -0.823602293667038   17.2497384978452;
1525084313308082075;  0.0499150693027705 -0.00291304934726789                    0; -8.61306947077789 -0.840446295390018   17.0073715069289;
1525084313907861029;  0.0499150693027705 -0.00291304934726789                    0; -8.45710293502121 -0.846110360569646   16.8122008997887;
1525084314307971770;  0.0499150693027705 -0.00291304934726789                    0;-8.37901726246906 -0.84056132864393  16.5122869112728;
1525084314708098525;  0.0499150693027705 -0.00291304934726789                    0; -8.33438391716321 -0.818220200621084   16.1774030406554;
1525084315307822499;  0.0499150693027705 -0.00291304934726789                    0; -8.22291308670725 -0.851747857713942   15.9704474939532;
1525084315708017945;  0.0499150693027705 -0.00291304934726789                    0; -7.85529572523469 -0.929935465231658   15.7113433855307;
1525084316108041981;  0.0499150693027705 -0.00291304934726789                    0;-7.17573576088715  -1.0416573756263  15.4661526726411;
1525084316707976228;  0.0499150693027705 -0.00291304934726789                    0;-6.46268457875942 -1.14774339896028  15.2611633114061;
1525084317107993447;  0.0499150693027705 -0.00291304934726789                    0;-5.98355852668881 -1.22034042712095  15.1472196596688;
1525084317509047516;  0.0499150693027705 -0.00291304934726789                    0;-5.40427554513462 -1.31527806097283  14.9790831565257;
1525084318107808297;  0.0499150693027705 -0.00291304934726789                    0;-4.96997748458626 -1.39887254906286  14.7820399671629;
1525084318508013111;  0.0499150693027705 -0.00291304934726789                    0;-4.49092634008192 -1.30952198007236  14.5930003709313;
1525084318908066865;   0.0099830138605541 -0.000582609869453579                     0;-4.05652499843889 -1.12524723085021   14.456821540434;
1525084319507901125;   0.0099830138605541 -0.000582609869453579                     0; -3.52171062590596 -0.991195208923483   14.3389247269005;
1525084319908200213;   0.0099830138605541 -0.000582609869453579                     0; -3.00928313038775 -0.940889066464731   14.3188888290334;
1525084320307965153;   0.0099830138605541 -0.000582609869453579                     0;-2.68623851803456 -0.91847486219241  14.2619403450723;
1525084320907918551;   0.0099830138605541 -0.000582609869453579                     0; -2.29623409621326 -0.868146801902763    14.191156082131;
1525084321307947607;   0.0099830138605541 -0.000582609869453579                     0; -1.90616170603651 -0.862585147583296   14.1553047138977;
1525084321708056821;   0.0099830138605541 -0.000582609869453579                     0; -1.28206903136407 -0.873827130830604   14.1224350321216;
1525084322109196604;   0.0099830138605541 -0.000582609869453579                     0;-0.635726597117163 -0.924150323257583    14.051525018282;
1525084322707955603;   0.0099830138605541 -0.000582609869453579                     0;-0.0563297619665235      -0.93527838933    13.9446601367254;
1525084323108067527;   0.0099830138605541 -0.000582609869453579                     0; 0.099652745212941 -0.935244192503751   13.8367257986859;
1525084323509186885;  0.0399320554422164 -0.00233043947781431                    0;  0.17768288864235 -0.957666336548829   13.6296300148601;
