KF_ArUco_Time;KF_ArUco_pos_NED;
1525084316506982516;-7.47461868434701 0.831247395144731  17.6605331381945;
1525084316709075531;-7.27762797049736 0.860371992573728  17.6671971562584;
1525084316906961046;-7.17524545267948 0.835585223247141  17.7119747946719;
1525084317109178805;-7.17524545267948 0.835585223247141  17.7119747946719;
1525084317306978403;-6.59706686831745 0.723069496487202  17.2405409051279;
1525084317506978756;-6.41897029856085  0.67084296242287  17.3843228770855;
1525084317706989580;-6.06717390385402 0.578042290318282  16.9733628286059;
1525084317907026456;-5.97363638395571 0.449132782216811  16.9064443903231;
1525084318109023814;-5.97363638395571 0.449132782216811  16.9064443903231;
1525084318306948236;-5.83936776834376 0.435025282456224   17.118718229707;
1525084318509183220;-5.64348629157275 0.562490963535274  17.1350013774377;
1525084318707038042;-5.48927291891493 0.782802556272462  17.1101744690389;
1525084318909128304;-5.13108362610515 0.839268412441077  16.6099090483439;
1525084319107009494;-5.13108362610515 0.839268412441077  16.6099090483439;
1525084319306967301; -4.7616392012088 0.965856834311314  16.7788364700482;
1525084319509189473;-4.58339462744662 0.988612464197645  16.5366179160905;
1525084319707070703;-4.30227847730035 0.974648927914516  16.6675706102679;
1525084319909343794;-4.22361560706036  1.00950508166793  16.9089308643966;
1525084320106924513;-4.22361560706036  1.00950508166793  16.9089308643966;
1525084320309121674;-3.98135684600604  1.05587523614653  16.9371417654265;
1525084320506976272;-4.02701496763774  1.15959430387403  16.8477598141603;
1525084320707055736;-3.73335028507788  1.13153468190517  16.8690011639172;
1525084320909250839;-3.65759325842153  1.19405368763583  16.8797819709961;
1525084321106834524;-3.65759325842153  1.19405368763583  16.8797819709961;
1525084321309166404;-3.65759325842153  1.19405368763583  16.8797819709961;
1525084321507009530;-2.97690932388295  1.15366851436159  16.7248977471434;
1525084321709199851;-2.6880337603081 1.14163588340712 16.7466539384785;
1525084321906975031;-2.39219684193669  1.05099577008796  16.4622641835594;
1525084322106951374;-2.39219684193669  1.05099577008796  16.4622641835594;
1525084322306962775;-2.01035735154777  1.07444463136125  16.6456819713413;
1525084322506944211;-1.42680228504214  0.97297808384396  16.5143165273358;
1525084322709120484;-1.42680228504214  0.97297808384396  16.5143165273358;
1525084322906931221;-1.34732113628564  0.93234910967243  16.5116308100484;
1525084323109112412;-1.34732113628564  0.93234910967243  16.5116308100484;
1525084323306964608;-1.33136192860942 0.973970070697699  16.1430738693302;
1525084323506999864;-1.20207528020173 0.950308830748982  15.9544846041336;
1525084323706947341;-1.09377021897763  0.92789781735228  15.8405260397881;
1525084323906965952; -1.1400332857902 0.849651102159568   15.760655915567;
1525084324109131236; -1.1400332857902 0.849651102159568   15.760655915567;
1525084324306963339;-1.18266720019687 0.972624854198296  15.8094026394398;
1525084324509117958;-1.23459106413593 0.938720059010868  15.5830667897055;
1525084324706945441;-1.14645328736633 0.955449083314268  15.4712349643691;
1525084324906964209;-1.14492016384403 0.980903361503811  15.2555077048833;
1525084325106924590;-1.14492016384403 0.980903361503811  15.2555077048833;
1525084325306969020;-1.04446762688887 0.940897926284231  14.0759425661607;
1525084325509163163;-1.09989522530319 0.894695324291224  14.5912163005947;
1525084325706922970;-1.10345512981967 0.929748687482157  14.6887355968057;
1525084325909091722;-1.16875499553357  1.10768272953796  14.4983297308927;
1525084326106963002;-1.16875499553357  1.10768272953796  14.4983297308927;
1525084326306969191;-1.0418941756575 1.24714479508283 14.3406861573419;
