KF_Time;KF_States;KF_Covariance;
1525084311933868997; 0  4 17  0  0  0  0  0  0;0.300000011920929 0.300000011920929               0.5 0.349999994039536 0.349999994039536 0.379999995231628                 2                 2                 2;
1525084312106884960; 0  4 17  0  0  0  0  0  0;0.300000011920929 0.300000011920929               0.5 0.349999994039536 0.349999994039536 0.379999995231628                 2                 2                 2;
1525084312306967568; 0  4 17  0  0  0  0  0  0;0.300000011920929 0.300000011920929               0.5 0.349999994039536 0.349999994039536 0.379999995231628                 2                 2                 2;
1525084312509979785;    -8.93586247228894    -0.812370192406657      17.4411496038724  4.99150691717556e-12 -2.91304933962185e-13                     0                     0                     0                     0;   0.476415731118814    0.476415731118814    0.700523376322793 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07     1.28224066432891     1.28224066432891     1.73944949809987;
1525084312706963142;    -8.93586247228894    -0.812370192406657      17.4411496038724  4.99150691717556e-12 -2.91304933962185e-13                     0                     0                     0                     0;   0.476415731118814    0.476415731118814    0.700523376322793 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07     1.28224066432891     1.28224066432891     1.73944949809987;
1525084312909017020;    -8.82825182102983    -0.828756466517593       17.240962771031  4.99150691717556e-12 -2.91304933962185e-13                     0   0.00684154315829968   0.00136139641777435    0.0010466884318976;    0.54323433469521     0.54323433469521    0.766688958277459 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07     1.01822952719089     1.01822952719089     1.56211680417119;
1525084313106972016;    -8.82825182102983    -0.828756466517593       17.240962771031  4.99150691717556e-12 -2.91304933962185e-13                     0   0.00684154315829968   0.00136139641777435    0.0010466884318976;    0.54323433469521     0.54323433469521    0.766688958277459 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07     1.01822952719089     1.01822952719089     1.56211680417119;
1525084313309081672;    -8.69904963968134    -0.839580974064763      17.0329338723785  4.99150691717556e-12 -2.91304933962185e-13                     0    0.0222386630227394  0.000928168778667906  -0.00168355478835385;   0.611814437611944    0.611814437611944     0.83352276070716 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07    0.887622039459429    0.887622039459429     1.43604731942002;
1525084313506886703;    -8.69904963968134    -0.839580974064763      17.0329338723785  4.99150691717556e-12 -2.91304933962185e-13                     0    0.0222386630227394  0.000928168778667906  -0.00168355478835385;   0.611814437611944    0.611814437611944     0.83352276070716 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07    0.887622039459429    0.887622039459429     1.43604731942002;
1525084313706966064;    -8.69904963968134    -0.839580974064763      17.0329338723785  4.99150691717556e-12 -2.91304933962185e-13                     0    0.0222386630227394  0.000928168778667906  -0.00168355478835385;   0.611814437611944    0.611814437611944     0.83352276070716 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07    0.887622039459429    0.887622039459429     1.43604731942002;
1525084313908989155;    -8.50141937629756    -0.848877980593745      16.6687166787535  4.99150691717556e-12 -2.91304933962185e-13                     0    0.0255691052813057   0.00120565078297037     0.011330820259916;   0.678057197046726    0.678057197046726    0.899934189526838 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07    0.813625233866845    0.813625233866845      1.3437164414419;
