KF_Time;KF_States;KF_Covariance;
1527255783007122216;              -18  1.79999995231628                12                 0                 0                 0 -2.40000009536743 0.600000023841858                38;   0.140000000596046    0.140000000596046    0.409999996423721 0.000600000028498471 0.000600000028498471   0.0007999999797903   0.0280000008642673   0.0280000008642673    0.600000023841858;
1527255783087870757;              -18  1.79999995231628                12                 0                 0                 0 -2.40000009536743 0.600000023841858                38;   0.144103912812473    0.144103912812473    0.414105212705205 0.000700000025972258 0.000700000025972258 0.000899999977264088   0.0281000008617411   0.0281000008617411     0.61000002361834;
1527255783188901690;              -18  1.79999995231628                12                 0                 0                 0 -2.40000009536743 0.600000023841858                38;   0.148220847628438    0.148220847628438    0.418227452209937 0.000800000023446046 0.000800000023446046 0.000999999974737875   0.0282000008592149   0.0282000008592149    0.620000023394823;
1527255783289864393;-18.0035121492267  1.79873232341762  12.0031299131351                 0                 0                 0 -2.40000009536743 0.600000023841858                38;   0.152353066031377    0.152353066031377    0.422369050482888 0.000900000020919833 0.000900000020919833  0.00109999997221166   0.0283000008566887   0.0283000008566887    0.630000023171306;
1527255783390840814;   -17.8955554696205      1.7652021105886     12.0143142237757 -0.00322624448950413  0.00627867126410682 -0.00115402479194432    -2.37912904377162     0.59387187001302     38.0141394874098;   0.147227503297857     0.14722751083788    0.409999214908993 0.000627873275216391 0.000627839957184227  0.00094108006220589   0.0280812847673963   0.0280812851376216    0.603282545333721;
1527255783481977500;  -17.8453131918427    1.74805150932654    12.0212709419736 -0.0043470236762072 0.00739649617987208 -0.0020435883950127   -2.36972698120771   0.591123986420343    38.0202714722572;   0.146968943382893    0.146968953368613    0.406887971687999 0.000603950076379874 0.000603913429772639 0.000931574290694555   0.0280375499725979   0.0280375504907098    0.596930981837221;
1527255783582969996;    -17.750182779212     1.71697034221132     12.0283112363038 -0.00604894786785314  0.00761544306775383 -0.00364093999641792    -2.35273205458745    0.586199102989644     38.0309486138032;   0.142741269444764    0.142741285427756    0.398121583442283 0.000509993753823281 0.000509956767767845 0.000838927546064272   0.0278770926909011   0.0278770934458449    0.577445635657367;
1527255783684162482;   -17.7048361976577     1.70056671975048     12.0311444047115 -0.00674545121688712  0.00774137256372375  -0.0043160298639364     -2.3450402678104    0.583995947933078     38.0356804264832;   0.142874733798889    0.142874750649862     0.39649691367837 0.000525087309272786 0.000525050811075779 0.000850790414389362   0.0278588124419676   0.0278588132909911    0.574053099570699;
1527255783785356842;   -17.6611285050517     1.68427923134778     12.0338635944675 -0.00713190796266888  0.00653125362779628  -0.0045803356708177    -2.33782932452824    0.581966440065171     38.0400814508511;    0.14303986583466    0.143039883208745    0.395215591831998 0.000535521666573399  0.00053548521864781 0.000860276773332322   0.0278473815452082   0.0278473824748838    0.571264001463143;
1527255783886327633;    -17.577662222954     1.65702961039552     12.0397433491433 -0.00682818444095538  0.00435249649285789  -0.0046386589605132     -2.3247430750197     0.57834846101843     38.0479822177307;   0.139543873026297    0.139543894761323    0.389486412827039 0.000477266744831075  0.00047723163896623 0.000793344661909305   0.0277440154844399   0.0277440165407249    0.557716235328984;
1527255783987420188;   -17.5378579339423     1.64206992669045     12.0429161293405 -0.00676530855224059  0.00340294666220774  -0.0043506756510075    -2.31880441053262    0.576736934276754     38.0515184220874;   0.139997168166267    0.139997189715805    0.389145153707405 0.000502104201984447 0.000502069617209643  0.00081407115811806   0.0277510352286614   0.0277510363337983    0.556812044837716;
1527255784088766305;   -17.4998219056222     1.62679670991351     12.0469603564973  -0.0065079701906164  0.00224469396911485 -0.00373330564176706      -2.313226086897    0.575254058007449     38.0548228932188;   0.140458052758348     0.14045807395338    0.389019642551888 0.000519591071584235 0.000519556395278532 0.000830818239521865   0.0277630433524903   0.0277630444983834    0.556263563877707;
1527255784189954419;   -17.4323470212213     1.60349055343584     12.0524708409867 -0.00542523172197233 0.000385281859818291 -0.00233784627235755    -2.30306337681207    0.572616052098308     38.0607579327436;   0.137473870965472    0.137473894817652    0.385254253646534 0.000468598995334852 0.000468565283076002 0.000773503362838087   0.0277013712098013   0.0277013723989209    0.546515871702229;
1527255784291180870;   -17.4005743590705     1.59032576882565     12.0556210824661 -0.00454069182213101 0.000342305225700712 -0.00162543885403054     -2.2984218800173    0.571436585997035     38.0634481888502;   0.138148679237508     0.13814870165103    0.385757889451175 0.000495139745700842 0.000495106420795403 0.000797338186260844   0.0277269789975691   0.0277269801927464    0.547228712158026;
1527255784382150134;    -17.3718457694168      1.58027642887606      12.0577579844965  -0.00486731637189309   0.00130298536998612 -0.000890042429839342      -2.2940718044907     0.570374226467634      38.0659830151445;   0.138811333563641    0.138811355003244    0.386394312596275 0.000513845260423358 0.000513811719623655 0.000816651192033984   0.0277563196654149   0.0277563208633353    0.548155058990433;
1527255784483388371;   -17.3156973361023     1.56569408433403     12.0612166043932 -0.00411099614778661  0.00311914291801197  0.00067434475274055    -2.28612330589571    0.568466330018299     38.0706461308548;   0.136209773790004    0.136209797705371    0.383988971320219 0.000466331009620613 0.000466297874785039 0.000764622062517772   0.0277262652103079   0.0277262664238427    0.541009165681595;
1527255784584541942;   -17.2919397487688      1.5563029553761     12.0623005637698 -0.00357378025547142  0.00434728319515533  0.00133078764019921    -2.28247728565483    0.567594955399154     38.0728251325068;   0.137056669999957    0.137056692728093     0.38509288483492 0.000494286106369506 0.000494253100617075 0.000790661795610962   0.0277662012427617   0.0277662024591125    0.542860807283624;
1527255784685621967;   -17.2704709303669     1.54543539802463     12.0640482521418 -0.00306795475235177  0.00562655393967403  0.00189146172339537    -2.27901628532251    0.566779091374335     38.0749455066435;   0.137883277856309    0.137883299377207    0.386292542563246  0.00051408715941299 0.000514053717565942 0.000811837534931265   0.0278089577289592   0.0278089589452492    0.544835467217621;
1527255784786935648;  -17.2252438888474    1.52997942434091    12.0672574050641 -0.0022900738389487 0.00820992873392343 0.00286100199915784    -2.2726214593491   0.565296520272691    38.0789074814895;   0.135552105346446    0.135552129060749    0.384851526089639 0.000466453679023402 0.000466420588379003 0.000761429282102442   0.0278029548982257   0.0278029561070165    0.539497528701988;
1527255784888055214;  -17.2078240837819    1.51877146510624    12.0693902607104 -0.0019264405594696 0.00903216510041831 0.00307080265519732   -2.26966343250321   0.564623376515884    38.0807814508134;   0.136518707875511    0.136518730235665    0.386384782821041 0.000494373675227244 0.000494340698892165 0.000788055259770645   0.0278538074580871    0.027853808660067    0.542143205171022;
1527255784990053236;   -17.1902639526418     1.50697665922378     12.0723385661381 -0.00174863037855029  0.00964397151682286  0.00307601862518359    -2.26683475649102    0.563996885949425     38.0825970394728;   0.137457133199469    0.137457154165079    0.387985005144124 0.000514148504062104 0.000514115081185406 0.000809723641728075   0.0279068328538914   0.0279068340472775    0.544854109929798;
