KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1527255780406893015;-0.00745916884202995   0.0166045805512912 -0.00198770471707987;-18.5511208014707  1.85629643779563  50.2457138983999;
1527255780506898880;-0.0085649540976608  0.0138862847190432 -0.0078553892734213;-18.5509369922137  1.85568379697158  50.2452175400866;
1527255780556905985;-0.00914006572201121   0.0120106405240997 -0.00882005826843306;-18.5507867737949  1.85574910475806  50.2448273032513;
1527255780646908998;-0.0105076754571419 0.00795522945440962 -0.0097393643499764;-18.5503946706384   1.8563234247607  50.2439903747099;
1527255780686913967;-0.00926812724084932  0.00834104094018896 -0.00983985073608689;-18.5501889473177  1.85687307664889  50.2435891351985;
1527255780766919851; -0.010474150579936 0.00844098374856035 -0.0100891945425001;-18.5499471003387  1.85826173746221  50.2428077857625;
1527255780866927862;-0.00925871835149445 0.000716997139604968 -0.00682391739636506;-18.5498007965133  1.86059316475497  50.2419428096489;
1527255780926934004; -0.0069015818571297 0.000748550821629082 -0.00573593422432225;-18.5499051467297  1.86232663769927   50.241540095145;
1527255781016940832;-0.00579261201926302 -0.00229645610875763 -0.00407247436772682;-18.5500966138508  1.86516095356978   50.241126047034;
1527255781066938877;-0.00665961129200128 -0.00161400393396838 -0.00177912213019445;-18.5504079253827  1.86681808146228   50.241004519826;
1527255781156947851; -0.0054280506032995 -0.00358395393996417  0.00166366153814045;-18.5509400579859  1.86973288339362   50.241009081716;
1527255781206955910;-0.00349853580915857 -0.00502699460497722  0.00242114481766602;-18.5512833626154  1.87117764002417  50.2411179852799;
1527255781296963930;-0.00250989276267097 -0.00317827245766363  0.00479825809936995;-18.5538160380835  1.87500593282215  50.2409123213156;
1527255781346961021;1.25047870671212e-05 0.000163174441661523   0.0048767999432546;-18.5542690385615  1.87634987070846  50.2411563372341;
1527255781426972866;-0.00673047255915668  0.00624203203377193  0.00562164465806414;-18.5656800659963  1.88682060478364  50.2412360004511;
1527255781506973028;-0.00295833443456207  0.00665732717608356  0.00649583065611508;-18.5669407614466  1.88878356009915  50.2418023067711;
1527255781596981049;-0.00188697601010615  0.00869160968501839  0.00849278891537703;-18.568359076068 1.89016623062459 50.2425180767545;
1527255781656991959;-0.000813316802434497    0.0111109507119326   0.00744236989319966;-18.5692210334315  1.89049198353735  50.2430421271045;
1527255781746994972;-0.000634400585833696    0.0122731271766075   0.00693610735083103;-18.5704431336258   1.8903230570285  50.2437611216062;
1527255781796998024;-0.000915763621462029    0.0149328424706792   0.00740931566028869;-18.5709929781915  1.88987101183088  50.2441448775833;
1527255781897006035;-0.000148248235266737    0.0143907272018136   0.00680386378890505;-18.5719876578682  1.88816820168016  50.2448499071188;
1527255781957008839;-0.000100759433289849    0.0135677713655714   0.00502066848924302;-18.5723574100063  1.88682913069678  50.2451891755555;
1527255782047016859;-0.000993664854359619    0.0128381010316937   0.00310584798321048;-18.5726371300602  1.88448276661181  50.2455802921442;
1527255782117027998;-0.00391358386871068   0.0144385036948667  0.00353808419064449;-18.5727434714176  1.88257090197205  50.2457834733518;
1527255782207034826;-0.00473980841008496   0.0123727331897232  0.00198557041867881;-18.5727277230164  1.88030673064915    50.24594273909;
1527255782287034035; -0.00400418190868714   0.00938540988055822 -0.000269167448172729;-18.5742743798629  1.87985389983463  50.2459131653038;
1527255782367043018;-0.00706099814126394  0.00818337184200675 -0.00282046029074676;-18.5740160880844  1.87893536602947   50.245716770668;
1527255782437047958; -0.0110541683294118   0.0161981642060769 -0.00638064523733351;-18.5832723992403  1.88908488758265  50.2431001266276;
1527255782517058849; -0.0126173594297413   0.0133276810327135 -0.00849425487441761;-18.583320751541 1.89002894131539 50.2425220597501;
1527255782617061853; -0.0089931162944156   0.0126499285216799 -0.00836146756788517;-18.5831890934995  1.89248309886121   50.241663366254;
1527255782687065840;-0.00742619396775673  0.00838681328005016 -0.00948408671113537;-18.582935181124 1.89477972302374 50.2410033377289;
