KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525182677830043519; -0.104639922097787 -0.0339188252062046                  -0; 4.69055509343145 0.563995620209447 -5.72497703251873;
1525182678329392215; -0.104639922097787 -0.0339188252062046                  -0; 4.54571621595671 0.569579749484618 -5.59797667812466;
1525182678729278366; -0.104639922097787 -0.0339188252062046                  -0; 4.41201874786239 0.597500359012421 -5.17497533490891;
1525182679230114568; -0.115801979336677 -0.0314627014369037                  -0; 4.38973581216361 0.681262154295467 -4.44697151509824;
1525182679729290284; -0.115801979336677 -0.0314627014369037                  -0; 4.22261393318787 0.737103370689291 -3.85596885095941;
1525182680129404654; -0.115801979336677 -0.0314627014369037                  -0; 4.08891647004125 0.765023987783384 -3.26796745197284;
1525182680630013506; -0.115801979336677 -0.0314627014369037                  -0; 4.05549210123334   0.7873604745923 -2.79596637854526;
1525182681030052189; -0.115801979336677 -0.0314627014369037                  -0; 4.15576515760181 0.742687513957862 -2.24896851018798;
1525182681529379899; -0.115801979336677 -0.0314627014369037                  -0; 4.21147237286559 0.675678068586168  -1.6619716450722;
1525182682030708248; -0.115801979336677 -0.0314627014369037                  -0; 4.20033085785006 0.664509839408194 -1.28297216497967;
1525182682431257110; -0.115801979336677 -0.0314627014369037                  -0;   4.1223405880895  0.608668631275969 -0.810974680623087;
1525182682929367157; -0.115801979336677 -0.0314627014369037                  -0;  3.97750158023162  0.513738567156436 -0.386978941981168;
1525182683429865287; -0.115801979336677 -0.0314627014369037                  -0;    3.67668210048706    0.407640268214555 -0.00398357577750907;
1525182683830611471;  0.0399320554422164 -0.00233043947781431                    0; 3.29787236422148 0.312710225286337 0.424012354178681;
1525182684329344374;  0.0399320554422164 -0.00233043947781431                    0; 2.91906258799808 0.251284901705377 0.856009817280236;
1525182684829844362;  0.0399320554422164 -0.00233043947781431                    0; 2.62938450666698 0.228948431901572  1.16700899516343;
1525182685229721918;  0.0399320554422164 -0.00233043947781431                    0;  2.1948673404807 0.256869056864041  1.67901058949412;
1525182685729279313;  0.0399320554422164 -0.00233043947781431                    0; 1.87176484284984 0.268037331092991  1.95801131103715;
1525182686230143690;  0.0399320554422164 -0.00233043947781431                    0; 1.49295494701802 0.279205601507408     2.35701206812;
1525182686631045878;  0.0399320554422164 -0.00233043947781431                    0; 1.13642791355864 0.295957986823427  2.79801305504657;
1525182687129147384;  0.0399320554422164 -0.00233043947781431                    0;0.768759336708253 0.374135693032218  3.29701686857025;
1525182687529160180;  0.0399320554422164 -0.00233043947781431                    0;0.557071317579046 0.396472184250841  3.63701801160733;
1525182688031160691;  0.0399320554422164 -0.00233043947781431                    0;0.378807612158369 0.374135709936341  4.09801707234526;
1525182688529310243;  0.0299490415816623 -0.00174782960836074                    0;0.233968256603144 0.335046866962218  4.61001534347342;
1525182688929330273;  0.0299490415816623 -0.00174782960836074                    0;0.155977729189511 0.295958021300827   5.0370135773418;
1525182689430922939;  0.0299490415816623 -0.00174782960836074                    0;0.122553107401577 0.228948554803499  5.36601050539499;
1525182689929314875;  0.0299490415816623 -0.00174782960836074                    0;0.155977216946502 0.139602582893474  5.82500636886611;
1525182690329211238;  0.0299490415816623 -0.00174782960836074                    0;0.245108752211387  0.07259310104197  6.18400323554333;
1525182690831026567;  0.0299490415816623 -0.00174782960836074                    0; 0.367664636961692 0.0111677305666554   6.65000034601539;
1525182691329166712;  0.0299490415816623 -0.00174782960836074                    0;  0.434513211957513 -0.0781782469938035    7.07599619296231;
1525182691729343701;  0.0299490415816623 -0.00174782960836074                    0; 0.412230001345455 -0.150771853528866   7.55099285422571;
1525182692231343991;  0.0299490415816623 -0.00174782960836074                    0; 0.311956519677997 -0.223365450770194   7.92498955185646;
1525182692631149315;  0.0299490415816623 -0.00174782960836074                    0; 0.144834091847687 -0.256870179115973   8.45198808293941;
1525182693129344227;  0.0299490415816623 -0.00174782960836074                    0;-0.0557128235230095  -0.223365417372941    9.04998971934015;
1525182693631072069;  0.0299490415816623 -0.00174782960836074                    0;-0.233976716099969 -0.189860659847657    9.5019913387325;
1525182694031690118;  0.0299490415816623 -0.00174782960836074                    0;-0.456806600908998 -0.145187649254904   10.0179934839148;
1525182694529300230;  0.0299490415816623 -0.00174782960836074                    0;-0.779909870429024 -0.100514638865197   10.6139956534432;
1525182695030680345;  0.0299490415816623 -0.00174782960836074                    0;  -1.18100360067002 -0.0167527671842349    11.2409996286342;
1525182695431182763;  0.0299490415816623 -0.00174782960836074                    0; -1.60438038576054 0.0614249705546263   11.8840033211732;
1525182695929369581;  0.0299490415816623 -0.00174782960836074                    0; -1.74922017156321 0.0725932002121259   12.4660038592491;
1525182696429959221;  0.0299490415816623 -0.00174782960836074                    0;-1.72693779191701  0.08376141008878  13.1190043664544;
1525182696831088909;  0.0299490415816623 -0.00174782960836074                    0; -1.70465523374323 0.0893455283454399   13.5870046206903;
1525182697329326590;  0.0299490415816623 -0.00174782960836074                    0; -1.69351430670772 0.0893455371735844   14.2280046179343;
1525182697729217046;  0.0199660277211082 -0.00116521973890716                    0; -1.71579773125606 0.0893455535794953   14.8030046283268;
1525182698232247719;  0.0199660277211082 -0.00116521973890716                    0; -1.69351521126219 0.0837614321814291   15.3900043723831;
1525182698729611825;  0.0199660277211082 -0.00116521973890716                    0; -1.66009109047314 0.0781773254399741   15.8560041140291;
