KF_Time;KF_States;KF_Covariance;
1525182677937306748; -0.00163779283200176 -0.000415435299391893  0.000471340829737008                     0                     0                     0      4.69055509343145     0.563995620209447     -5.72497703251873;    5.23510041296753     5.23510041296753     20.7970016487085 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0101999997714302   0.0101999997714302   0.0299999993294477;
1525182678028936147;-0.00735948422100631   0.0010548265911297   0.0435026469823946                    0                    0                    0     4.69055509343145    0.563995620209447    -5.72497703251873;    5.27610042249633     5.27610042249633     20.8380016582373 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0102999997689039   0.0102999997689039   0.0399999991059303;
1525182678128828217;-0.00865129663550914  0.00543683773390385    0.139915020032104                    0                    0                    0     4.69055509343145    0.563995620209447    -5.72497703251873;    5.31710043360703     5.31710043360703      20.879001669348 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0103999997663777   0.0103999997663777   0.0499999988824129;
1525182678228823001;-0.00994447272699291  0.00982347466263464    0.236429168952931                    0                    0                    0     4.69055509343145    0.563995620209447    -5.72497703251873;    5.35810044473881     5.35810044473881     20.9200016804797 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0104999997638515   0.0104999997638515   0.0599999986588955;
1525182678329995132;  -0.0793302811476052   0.00981384000910753     0.229592382800929 -1.04639921823133e-11 -3.39188251171759e-12                     0      4.69054877569691     0.563995212290623     -5.72522381404954;    2.65248641779903     2.65248641779903     10.4516068926308 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0105999761173127   0.0105999761173127   0.0699400851972302;
1525182678428937920;-0.0747712308003425   0.020572421956216   0.345942304190038                   0                   0                   0    4.69054877569691   0.563995212290623   -5.72522381404954;    2.69348642895387     2.69348642895387     10.4926069037856 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0106999761147865   0.0106999761147865   0.0799400849737128;
1525182678528816533;-0.0667387341929186  0.0347307899643682   0.445740661116337                   0                   0                   0    4.69054877569691   0.563995212290623   -5.72522381404954;    2.73448644006182     2.73448644006182     10.5336069148935 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0107999761122603   0.0107999761122603   0.0899400847501953;
1525182678628975922;-0.0578456913255276  0.0486689338799552   0.538341255123985                   0                   0                   0    4.69054877569691   0.563995212290623   -5.72522381404954;    2.77548645122654     2.77548645122654     10.5746069260583 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0108999761097341   0.0108999761097341   0.0999400845266779;
1525182678729763725;   -0.129592621531932    0.0523575581202621     0.603550362129995 -1.04639921823133e-11 -3.39188251171759e-12                     0      4.69053024296468     0.563992866428014     -5.72538998413913;    1.83105356484924     1.83105356484924     7.05389468474744 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0109999240212745   0.0109999240212745     0.10980603969953;
1525182678828935446;-0.117327144058919 0.0710176024430579  0.737157007051898                  0                  0                  0   4.69053024296468  0.563992866428014  -5.72538998413913;    1.87205357600728     1.87205357600728     7.09489469590549 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0110999240187483   0.0110999240187483    0.119806039476012;
1525182678928846565;-0.105398015404855   0.09336673403813  0.885072434834091                  0                  0                  0   4.69053024296468  0.563992866428014  -5.72538998413913;    1.91305358712183     1.91305358712183     7.13589470702003 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0111999240162221   0.0111999240162221    0.129806039252495;
1525182679028896948;-0.0934519481688936   0.115747599937259    1.03319789284229                   0                   0                   0    4.69053024296468   0.563992866428014   -5.72538998413913;    1.95405359826474     1.95405359826474     7.17689471816294 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0112999240136959   0.0112999240136959    0.139806039028978;
1525182679128813681;-0.0846169628759904   0.140918289862612    1.18850618479855                   0                   0                   0    4.69053024296468   0.563992866428014   -5.72538998413913;    1.99505360938018     1.99505360938018     7.21789472927838 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0113999240111697   0.0113999240111697     0.14980603880546;
1525182679231067284;   -0.141817860085899     0.150895993398125       1.3266612077049 -1.15801979032725e-11 -3.14627013543217e-12                     0      4.69050207948041     0.563986909291136     -5.72560506871012;    1.46707786650595     1.46707786650595     5.41297529698448 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0114998069963119   0.0114998069963119    0.159498283651489;
1525182679328804751;-0.141604544237719  0.171597185301052    1.4775179670549                  0                  0                  0   4.69050207948041  0.563986909291136  -5.72560506871012;    1.50807787759005     1.50807787759005     5.45397530806857 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0115998069937857   0.0115998069937857    0.169498283427971;
1525182679428907578;-0.149177057442074  0.189157188320843   1.62342942311979                  0                  0                  0   4.69050207948041  0.563986909291136  -5.72560506871012;    1.54907788874336     1.54907788874336     5.49497531922188 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0116998069912595   0.0116998069912595    0.179498283204454;
