KF_Time;KF_States;KF_Covariance;
1527254978350243305;     -2.0150868185 -0.804023163580879                 14               -1.5 -0.400000005960464                  0                 -7                 -1                 38;   0.144100061312724    0.144100061312724     0.41410007737258 0.000700000025972258 0.000700000025972258 0.000899999977264088   0.0281000008617411   0.0281000008617411     0.61000002361834;
1527254978410849924;      -2.105996747 -0.828265811542122                 14               -1.5 -0.400000005960464                  0                 -7                 -1                 38;   0.148203364035406    0.148203364035406    0.418204358557093 0.000800000023446046 0.000800000023446046 0.000999999974737875   0.0282000008592149   0.0282000008592149    0.620000023394823;
1527254978511798298;      -2.257419308 -0.868645161743821                 14               -1.5 -0.400000005960464                  0                 -7                 -1                 38;   0.152321300302843    0.152321300302843    0.422327186324651 0.000900000020919833 0.000900000020919833  0.00109999997221166   0.0283000008566887   0.0283000008566887    0.630000023171306;
1527254978613018354;   -2.12171835602697   -0.793935534043022     14.1054930421068    -1.10924929027571   -0.300768060870898 0.000670696199064317    -6.96434655353466   -0.983108363271719      38.157126635276;   0.151742919673028    0.151742921958906    0.417979981188178 0.000766870953747339 0.000766857486745502    0.001055544275237   0.0282377816564765   0.0282377817622234    0.621125018121042;
1527254978714047931;   -1.50816961505654   -0.264629184377036     13.4857381668117   -0.851965462998946   -0.234906267220141 0.000592088534284565    -6.93620510205242   -0.972728550236806     38.3414987992594;   0.100657391326483    0.100657392728314    0.109280948496035 0.000690831344866748 0.000690812780527314  0.00102174392124901   0.0281792030675635   0.0281792032736012    0.612405942286993;
1527254978815427261;   -1.41733250691869   -0.240120253149231     13.4655553641613   -0.670009206603633    -0.18846322992401 0.000591826626274459    -6.90629987147787   -0.959914780053159     38.5002592341286;   0.102750110031022    0.102750111519812    0.112900163061133  0.00064467278947227 0.000644652265986686 0.000995935498158655   0.0281292765059976    0.028129276800625    0.604643187659746;
1527254978906456593;    -1.01772833197705    0.0121624437538955      13.2968708376378    -0.443668572544205    -0.131111127222207 -0.000849506602532723     -6.85526549891782    -0.940675903395329      38.8181859469427;  0.0770075742197201   0.0770075755310853   0.0665893523197471  0.00052951563615501 0.000529495353852976 0.000881779057705585   0.0279300707807216   0.0279300712509542    0.580580736403102;
1527254979007713043;  -0.950608515579241   0.0270753480854443     13.2755075852412   -0.366954941272447    -0.11181682398044 -0.00184179212521082    -6.82943743927656   -0.929975024238893     38.9606070325044;  0.0799695202735644   0.0799695210652971   0.0705595767078703 0.000539183372256788  0.00053916357918195 0.000886469830687793   0.0278919108859791   0.0278919114294916    0.574692593689912;
1527254979109779244;  -0.796094234800788   0.0905492407074464     13.1479128255802   -0.302262919899647  -0.0954435139403106 -0.00327844434035295    -6.80744995140146   -0.921266730606333      39.115421164806;  0.0654607023235329   0.0654607020741969   0.0511269117744851 0.000545776687737219 0.000545757142555363  0.00089000644252685   0.0278359577910095   0.0278359584290903    0.568570777212672;
1527254979210716847;  -0.663466307850224    0.133365944056425     13.1518176165428   -0.209555551287953  -0.0720727352556921 -0.00537625516360158    -6.75982714940226   -0.901424700173947     39.3792251172527;  0.0679503394208265   0.0679503391043546   0.0550813280992168  0.00048254189363937 0.000482523420535887 0.000814455951901926    0.027669430035371   0.0276694307969448    0.548853795345739;
1527254979311741483;  -0.601840875798275    0.153429459487158     13.1639397987837   -0.176097121939025  -0.0620815644737572 -0.00628496567799221    -6.73733583933999   -0.891944969263204       39.50255647048;  0.0711967847078805   0.0711967835451288   0.0591273022907582  0.00050636932162803 0.000506351445885376 0.000832462322720933   0.0276424584752554   0.0276424592930834    0.544735239640463;
