KF_ArUco_Time;KF_ArUco_pos_NED;
1527254977975865889;-0.573876747391797  0.660763682406725   13.2989842866543;
1527254978309173888;-0.543512362520458  0.514464879682056   13.1154717480684;
1527254978642481989;-0.495099372340748  0.273207087371148   12.9711479652284;
1527254978642481989;-0.495099372340748  0.273207087371148   12.9711479652284;
1527254978975790088;-0.414965817198523  0.077001860626823   12.8179899542699;
1527254979309098188;-0.452463464481381  0.395520972195229   12.8849195119116;
1527254979642406288;-0.452854982247543   0.25490081220453   12.8280496090134;
1527254979642406288;-0.452854982247543   0.25490081220453   12.8280496090134;
1527254979975714288;-0.36073975256765 0.225695300343887   12.884643050971;
1527254980309022388;-0.408473980448393   0.26933465028475   12.9504357473111;
1527254980309022388;-0.408473980448393   0.26933465028475   12.9504357473111;
1527254980642330488;-0.320257816476564  0.250384722967057   12.9758173999726;
1527254980975638588; -0.380079709651086 -0.0295854726911815    13.0345668221366;
1527254981642254688; -0.39697950847657 0.0652391321182582   13.1172996266187;
1527254981975562788;-0.359203245754056  0.213081996590404   13.2501649739814;
1527254981975562788;-0.359203245754056  0.213081996590404   13.2501649739814;
1527254985975259788;  -1.07836838421163 -0.0047195277013472    10.4495075912187;
1527254986641875988;-0.810594733786739  0.117386274222778   8.79460429222587;
1527254986641875988;-0.810594733786739  0.117386274222778   8.79460429222587;
1527254986975184088;-0.85876835500677 0.106932344945652  7.85272728100446;
1527254987308492088; -0.861835701987266 -0.0561018016032407    7.15418957762229;
1527254987641800188;-0.779053054992044  0.023016933436131   6.52934806153642;
1527254987641800188;-0.779053054992044  0.023016933436131   6.52934806153642;
1527254987975108288;-0.683381810387403 -0.117581302884027   5.96740619408498;
1527254988308416388;-0.655530780302008  -0.21241553955388   5.40092828025865;
1527254988641724488;-0.641736719097213 -0.205951779216149   4.83985766741684;
1527254988975032488; -0.64390244590412 -0.272602107770171   4.49365242408846;
1527254988975032488; -0.64390244590412 -0.272602107770171   4.49365242408846;
1527254989308340589;-0.668175442669973 -0.295151083438779   4.07880924490563;
1527254989641648688;-0.695643542560372 -0.273868792830583   3.58014804887958;
