KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1527254975764096975;0.00804827707787965 -0.0171525272954798 0.00483743781976731;-2.98140140808171  1.09243116748548  57.2445849661072;
1527254975844110012; 0.0095200304242474  -0.015772799980387 0.00228257964481487;-2.98131410430224  1.09227784902551  57.2448369768289;
1527254975894109964; 0.00751105844604798  -0.0156380412003679 0.000320787395244716;-2.98134863709247  1.09199400459987  57.2448858006489;
1527254975984120846;0.00651831155571654 -0.0174600475572325 -0.0036536899399047;-2.9818954759657 1.09148999816437 57.2447351557022;
1527254976054122925; 0.00768651414078859  -0.0173873985050221 -0.00685522555031381;-2.98250979126871  1.09084450760656  57.2443932624064;
1527254976134129047;0.00546700334089267 -0.0182427962094329 -0.0103645383782973;-2.98344590333019  1.08967492174452   57.243759952535;
1527254976224135876;0.00531937711837231 -0.0179209415361195  -0.012716174039277;-2.98592867499694  1.08969481993359  57.2423218559633;
1527254976304145813;0.00664858839741663 -0.0171244363938708 -0.0143271567178828;-2.98689696264642  1.08746264605115  57.2412722097678;
1527254976354142904;0.00760891157308403 -0.0179601768521673 -0.0143255138995195;-2.98740044413777  1.08580524763272  57.2405586726485;
1527254976444149971; 0.00178179514918299 -0.00904248933021357  -0.0148835813434274;-2.99898450700913  1.09299053120353  57.2366525459397;
1527254976524158955; 0.00172238564108209 -0.00911512705599422  -0.0137625205603309;-2.99962699563831  1.09031566549887  57.2355261469171;
1527254976594163895;0.00436167212617603  -0.011327441550986 -0.0112629137857335;-2.99981500028228   1.0879576117593  57.2346619404915;
1527254976694173813; 0.00765040121783956  -0.0111051740871387 -0.00708838161808715;-2.99920977368558  1.08465916653547  57.2337630602036;
1527254976744179010; 0.00708581242571838 -0.00930814122516331 -0.00368044549248551;-2.99851108217622  1.08320667444103  57.2334777723465;
1527254976834182978; 0.00922085661413157 -0.00971217094715872  0.00197060226384372;-2.9966876337431 1.08085574780719 57.2333109870999;
1527254976884186983; 0.0113169519963129 -0.0113500392507999 0.00419002237290711;-2.99536510759588  1.07984458441348  57.2334305321166;
1527254976954196930; 0.0121544509966321 -0.0150523494599647 0.00704250214267361;-2.99323528050301  1.07894323258267  57.2338331110047;
1527254977104207039; 0.0155893913899291 -0.0141751513152284  0.0141563907770103;-2.98782750237632  1.07837861902504  57.2355043468926;
1527254977184212923; 0.0185025582970759 -0.0155905907850235  0.0165510013862133;-2.98469556030983  1.07886422886069  57.2367291838349;
1527254977264215946; 0.0182904649195933 -0.0148096645603265  0.0179877264113258;-2.98332578454718  1.08124890738215  57.2375445534664;
1527254977354223013; 0.0195857591402517 -0.0153124144649069   0.017476975178891;-2.9802080430178 1.08254022673423 57.2390879442082;
1527254977434229851;    0.00920997854141 -0.00478472267118362   0.0160233234546973;-2.98534664023994  1.09496853853021  57.2421566843922;
1527254977514237881;  0.0115168170528304 -0.00682530112834641   0.0134072905793959;-2.98391641668211  1.09660306179047  57.2433001251459;
1527254977584239960; 0.00873282769099388 -0.00952350188435409   0.0106316924426519;-2.98302386488692  1.09766000810595   57.244134216101;
1527254977674250841;0.00872761774763833 -0.0109801247920212 0.00697790779048124;-2.98241060729365  1.09845892972329   57.244955355419;
