KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1527252614849958897;  -1.43083707664623  -0.384704820891772 0.00320030772737598; -5.7495397653995 -1.11535538588405  56.9714561840511;
1527252614929970980;  -1.43154155652841  -0.386405008099943 0.00235950581900562;-5.86363934033947 -1.14698458239864  56.9716309079368;
1527252614999974012;  -1.43407941070484   -0.38713143033753 0.00125869528440222;-5.96380825770355 -1.17452791292189  56.9717226218438;
1527252615079977036;  -1.43486674554087  -0.384890298216771 0.00142988087107051;-6.07846844723476 -1.20580699394305  56.9717444903741;
1527252615179991007;   -1.43828394841949   -0.388279265256277 -0.00102695573197341;-6.22217477539192 -1.24483252151186  56.9717134991492;
1527252615249989033;   -1.43753619599462   -0.388968945624814 -0.00186189130339571;-6.32489093602431 -1.27251309780522  56.9714102715011;
1527252615329998970;  -1.44039457173624  -0.391775115201298 -0.0011796339685439;-6.44019830239398 -1.30352271534497  56.9713802259935;
1527252615400001049;    -1.45051778742967    -0.383466376825426 -0.000716751919270547;-6.55602679168747 -1.32507281415755  56.9701463121682;
1527252615490008831;      -1.452325182844    -0.384208733256282 -0.000790207776103877;-6.68691470406599 -1.35903933612264  56.9700842391202;
1527252615550014973;    -1.45381071274303     -0.38780976177995 -0.000828074103426092;-6.77422501607686 -1.38163551371643  56.9700416845196;
1527252615610016823;    -1.45329462859629    -0.388999950904129 -0.000918079022670399;-6.86170713344191 -1.40421699433036   56.969994006137;
1527252615710029840;   -1.45433694215033   -0.388213214613181 -0.00209206626386931;  -7.007555348362 -1.44206385607707  56.9698835058351;
1527252615760032892;    -1.45715140363712    -0.388637947547991 -0.000654592901909144; -7.0805476223086 -1.46106918833382  56.9698334083782;
1527252615850042820;   -1.45896429142603   -0.390946225210986 0.000747019227633202;-7.21195335899652 -1.49566085706518  56.9698149629912;
1527252615930047035;  -1.45865151167768  -0.392539313466627 0.00275609570343353;-7.32877899317134 -1.52661522944214  56.9699079880886;
1527252615980048895;   -1.46036747151687   -0.390957208226868 0.000947823420623536;-7.40182715578445 -1.54607847565379  56.9700016891716;
1527252616070056915;  -1.46204908822136  -0.393662254162125 0.00338755778187779;-7.53331616490815 -1.58138802439136  56.9702373388539;
1527252616120062828;  -1.46495908546569   -0.39272058958139 0.00446312611197971; -7.6064811094996 -1.60095416362141  56.9703985780913;
1527252616210063934;  -1.46602662125803   -0.39395212097719 0.00188606057831336; -7.7381191288082 -1.63650529022666  56.9706556319427;
1527252616260073900;  -1.46389992073573  -0.395298425335864 0.00176181262802302; -7.8137833577825 -1.65573434721271  56.9705438405619;
1527252616350080013;  -1.46586035826905    -0.3956409643748 0.00205965503075626;-7.94568268656317 -1.69167925401337   56.970704541559;
1527252616430081844;   -1.47762072207713   -0.392388636378043 0.000797283687389835;-8.08173551242857 -1.71896747875302  56.9702415452751;
1527252616480088949;  -1.47795052004792  -0.393567648190666 -0.0010388071465072;-8.15556960505029 -1.73878147803966  56.9702454762676;
1527252616570097923;    -1.47948227519774    -0.394051970235606 -3.49690692562077e-05;-8.28855452521367 -1.77462748027971  56.9702244594366;
1527252616620096922;    -1.47983077683985     -0.39181995510555 -0.000447639771741809;-8.36251457417986  -1.7945867886112  56.9701955995432;
1527252616710108995;   -1.48134432622445   -0.394171212394728 -0.00265658310219762;-8.49573992586941 -1.83063135890971  56.9700635157873;
1527252616760113001;   -1.48312957295858   -0.396653297581591 -0.00231019616043705;-8.56990162696599 -1.85069989029573  56.9699459758768;
1527252616840113878;   -1.48318460638637   -0.397942564720416 -0.00275924676107135;-8.68857429886906 -1.88274699766601  56.9697579986162;
1527252616930122852;   -1.48478336763938   -0.397704569894908 -0.00103974097151959;-8.82216932101535 -1.91878379996572  56.9695817221402;
1527252617000128031;    -1.48737145913573    -0.399599536285072 -0.000698182046070989;-8.92614217204272 -1.94678268544401  56.9694811452563;
1527252617070132971;   -1.48707574017209   -0.401667880239611 -0.00114429440448361;-9.03023259938399 -1.97480908347389  56.9694066997143;
1527252617160140038;   -1.48946301289984   -0.402676728301332 0.000596344539523216; -9.1639192602449 -2.01079627081106  56.9693385160038;
1527252617240146875;  -1.48998635273115  -0.405967883745441 0.00162615151860006;-9.28619195589085 -2.04239839064667  56.9694040101785;
1527252617330155849;    -1.491960847003  -0.404702740570057 0.00441730377228836;-9.24173748051675 -2.03299107530324  56.9896755027611;
1527252617380156040;  -1.49039403879972  -0.407376925238929 0.00642406492372375;-9.31609625280896 -2.05297392937039  56.9899340994298;
1527252617460165024;  -1.50146326650181  -0.401884518465956 0.00515078649689944;-9.31078767446452 -2.03017019160197  56.9899278620766;
1527252617510170937;  -1.50155360171439  -0.400748828125313 0.00401301322038951;-9.38576413007952 -2.04990832609861  56.9901857288725;
1527252617600177050;  -1.50173631488965  -0.402073227521732 0.00508897730844129;-9.37605312264055 -2.05157243450564  57.0006701351115;
1527252617650177002;    -1.503333370051  -0.401718723248314 0.00637718743277024;-9.31757339564942 -2.03166650162467  57.0209595548938;
1527252617740188837;  -1.50461567181628  -0.403793859365738 0.00665185302413081; -9.4529810064099 -2.06764230685128    57.02153559378;
1527252617820194006;  -1.50604849326525  -0.404203436203312 0.00586849629131102;-9.39525433294046 -2.04881646263804  57.0419981974969;
1527252617910197020;  -1.50631985199428  -0.405682053829302 0.00540336976296573;-9.53110772893675 -2.08534776934318  57.0425165478436;
1527252617970202923;  -1.50738919057727  -0.408455210671301 0.00393016380439801;-9.44350495209786 -2.05869522654675  57.0528021465777;
1527252618030206919;  -1.50775862729391  -0.408575589617034 0.00422204664163982;-9.38944577403779  -2.0434512475627  57.0630646351736;
1527252618110213041;  -1.50718545417362  -0.410738249706266 0.00196950000936034; -9.5105540577845 -2.07605152607888  57.0633386161413;
1527252618190217972;  -1.51035390006187  -0.412774832926457 0.00160194488755291;-9.46473081442352  -2.0633536734144  57.0635022926478;
1527252618280226946;   -1.51235807095983    -0.41409501617082 -0.00166777813071267;-9.39065333832189 -2.04784601630064  57.0735025439572;
1527252618330235958;   -1.51081620171344   -0.414679089154287 -0.00211849435542549;-9.46654886367141 -2.06842413161863  57.0734490331888;
1527252618420238018;   -1.52076378342484   -0.408720607331322 -0.00297751144612418;-9.61087765720251 -2.09568050050082  57.0714639024335;
