KF_ArUco_Time;KF_ArUco_pos_NED;
1527252617024736759; -3.02773485000691 -0.642072169372719   14.7261371431421;
1527252620357817559; -3.33749133219378 -0.539211881874316   15.2788321505425;
1527252621024433760; -3.54206471876628 -0.497369977534764   15.5413307305707;
1527252621024433760; -3.54206471876628 -0.497369977534764   15.5413307305707;
1527252625357438760; -4.20266830506106 -0.816125688947873   14.7707874286679;
1527252625690746859;-4.22430072896755 -0.88155883436084  14.8864881487644;
1527252625690746859;-4.22430072896755 -0.88155883436084  14.8864881487644;
1527252628023903459; -3.29211452229034 -0.657201563388961   15.0163100952071;
1527252628357211559; -3.47330160429497 -0.668114425190449   15.1296266676723;
1527252628357211559; -3.47330160429497 -0.668114425190449   15.1296266676723;
1527252630690368059; -3.05723416393356 -0.587056241087865    14.965603904175;
1527252633023524659; -3.56032513235252 -0.646633701662939   15.1642536043952;
1527252633356832759; -3.79036192470557 -0.796902081878411   14.9490073247417;
1527252639356378159; -4.38258482320733 -0.756127394224356   15.1595091132783;
1527252641689534759;   -3.741367463208 -0.762363625384433    15.214782739018;
1527252645022615559; -3.97799233934213 -0.825440014522074   15.1583487695365;
1527252645022615559; -3.97799233934213 -0.825440014522074   15.1583487695365;
1527252647689080259;  -2.8469156806482 -0.483500023510079   15.0898964651231;
1527252650022236859;-3.1391855214438 -0.6112925348917 14.4248252148124;
1527252650022236859;-3.1391855214438 -0.6112925348917 14.4248252148124;
1527252654688549959;   -3.489489774508 -0.750456927448579   12.2220011910582;
1527252655021858059; -3.75460660427969 -0.697359176708704   12.1634683508171;
1527252655355166159; -3.52980142821562 -0.752952464673696   12.0529334593924;
1527252660021479259;-3.47303974621007 -0.75492558603479  10.0723343903447;
1527252660354787359;  -3.4747409024437 -0.737857729008124   9.97388255306049;
1527252660354787359;  -3.4747409024437 -0.737857729008124   9.97388255306049;
1527252662354635859; -2.03220264366304 -0.196952334786148   9.27794366439758;
1527252662354635859; -2.03220264366304 -0.196952334786148   9.27794366439758;
1527252662687943960; -2.05551280576601 -0.212386206517926   9.09329521748583;
1527252664354484360;  -2.1491091370085 -0.266371573222839   8.36261873817208;
1527252664687792359; -2.54996899943046 -0.329989607129357   8.91523907708677;
1527252664687792359; -2.54996899943046 -0.329989607129357   8.91523907708677;
1527252666687640960; -2.11352573409568 -0.268783837254922   7.42921489864281;
1527252667020948959; -2.50751973445616 -0.220270297737431   7.08763888291227;
1527252667020948959; -2.50751973445616 -0.220270297737431   7.08763888291227;
1527252669354105559; -1.71002387053261 -0.261126800435699   6.17038461810263;
1527252672020570159;  -2.0267115335806 -0.248991813923143   5.17702073855443;
1527252672353878259; -2.11245329670967 -0.208999380875401   4.95244817382354;
1527252674687034860;  -1.6429859311101 -0.249718083380762   4.29556668725196;
1527252716017236959;-0.160895079620036  0.024203921989888   1.08365687897264;
1527252716017236959;-0.160895079620036  0.024203921989888   1.08365687897264;
