KF_ArUco_Time;KF_ArUco_pos_NED;
1524643670868320735;-4.5826397796338 1.38228308564871 12.6754317347591;
1524643671068230486;-4.5826397796338 1.38228308564871 12.6754317347591;
1524643671268276784;-4.5826397796338 1.38228308564871 12.6754317347591;
1524643671468327425;-3.51397579507059  1.71834180229239  11.2688494444894;
1524643671668185615;-3.51397579507059  1.71834180229239  11.2688494444894;
1524643671868272991;-3.32655086496552  2.38789544054714  12.6373969836841;
1524643672069978626;-3.32655086496552  2.38789544054714  12.6373969836841;
1524643672268188984;-3.32655086496552  2.38789544054714  12.6373969836841;
1524643672468267599;-2.68813570619918  2.74511100765995  12.5998074244972;
1524643672668228770;-2.68813570619918  2.74511100765995  12.5998074244972;
1524643673868184202;0.0786402006142034   2.16570313610659   11.0515845174848;
1524643674068312688;0.0786402006142034   2.16570313610659   11.0515845174848;
1524643674268249703;0.0786402006142034   2.16570313610659   11.0515845174848;
1524643674468182057;0.989818559254517  1.85246260057091  10.9610339272652;
1524643674668220332;0.989818559254517  1.85246260057091  10.9610339272652;
1524643675468233820;2.45984764620772 1.56680269965296 10.9620017104198;
1524643675668210326;2.45984764620772 1.56680269965296 10.9620017104198;
1524643680468310544;-1.95119677401553  4.36688764402451  13.3996261280467;
1524643680668223107;-1.95119677401553  4.36688764402451  13.3996261280467;
1524643682868187801;-3.00759649552744  4.36476075797227   12.572929867629;
1524643683068283286;-3.00759649552744  4.36476075797227   12.572929867629;
1524643683268318415;-3.00759649552744  4.36476075797227   12.572929867629;
1524643684468176071;-3.5256010432448 3.03917022872218 11.8645871106372;
1524643684668350119;-3.5256010432448 3.03917022872218 11.8645871106372;
1524643684868292519;-2.94634771528404  2.66210932602446  10.7978253134206;
1524643685068261201;-2.94634771528404  2.66210932602446  10.7978253134206;
1524643685268315862;-2.94634771528404  2.66210932602446  10.7978253134206;
1524643685468199001;-3.53980375494615  3.25528970737704  12.5996130849015;
1524643685668191030;-3.53980375494615  3.25528970737704  12.5996130849015;
1524643685868243211;-3.5162582872087 3.96585226396556 11.6952983652986;
1524643686068151259;-3.5162582872087 3.96585226396556 11.6952983652986;
1524643686268177924;-3.5162582872087 3.96585226396556 11.6952983652986;
1524643704468169402;-3.4513309142392  5.8690323591122 16.5699108347766;
1524643704668197850;-3.4513309142392  5.8690323591122 16.5699108347766;
1524643704868195656;-2.95037580702044  4.63058959037431  16.6956640413138;
1524643705068215388;-2.95037580702044  4.63058959037431  16.6956640413138;
1524643705268170782;-2.95037580702044  4.63058959037431  16.6956640413138;
1524643705868209002;-1.55091198148893  2.43756384410892  16.4923139639481;
1524643706068253696;-1.55091198148893  2.43756384410892  16.4923139639481;
1524643706268164489;-1.55091198148893  2.43756384410892  16.4923139639481;
1524643706468213105;-0.768432784543218   1.40574227470636   16.1779820505204;
1524643706668178469;-0.768432784543218   1.40574227470636   16.1779820505204;
1524643706869156696;-0.0160887324435877  0.0738858207069463    16.7366591032738;
1524643707068175447;-0.0160887324435877  0.0738858207069463    16.7366591032738;
1524643707268202678;-0.0160887324435877  0.0738858207069463    16.7366591032738;
1524643707468322910;0.676240381506279 -1.30683404680299  15.6459927304049;
1524643707668222338;0.676240381506279 -1.30683404680299  15.6459927304049;
