aruco_time; aruco_pos; aruco_orient; lp_pose_time; lp_pos; lp_orient; lp_pose_covariance;lp_vel_time; lp_linear_vel; lp_angular_vel; lp_covariance; uav_pos_time; uav_position; uav_pos_covariance;uav_orient_time; uav_orientation; uav_orient_covariance; uav_velocity_time; uav_velocity_linear; uav_velocity_angular 
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;0;1.35441148522826e-306 1.67982319586024e-322 6.90703884110412e-310;1.81246203540536e-316 6.90704111041666e-310 1.48219693752374e-322;6.90704120508951e-310 6.90704120508951e-310 6.90703908479336e-310 6.90703879065829e-310 6.90704120562706e-310 6.90704120562706e-310 6.90703878373347e-310 6.95257158376059e-310 6.95257158376059e-310 1.27963002272883e-321 6.90703994801062e-310 6.95257158377007e-310 6.90703879065829e-310 6.95257158376039e-310 1.49474706756672e-314  6.9070412052243e-310 6.90703995067265e-310 6.95257158376987e-310 6.90704111053103e-310 6.90704111044991e-310 2.33554227917741e-316 6.90704111042713e-310 6.90704111053103e-310 6.90704111044991e-310  2.5622244393327e-320  6.9525715838092e-310 6.90688410001375e-310  6.9070393022688e-310 4.02663501360616e-321 6.90704120562706e-310 6.90703879065829e-310 6.90703908525397e-310 6.90704111042713e-310 4.02663501360616e-321 6.90703995067265e-310 2.20291766872289e-317;0;6.95257158377007e-310 3.58627966408011e-315 5.60356162773527e-317;6.90688410001509e-310 6.95257158378074e-310 6.90703995067265e-310;6.95257158376987e-310 1.57104098004879e-314                     0 4.94065645841247e-324  6.9525715837841e-310 3.58627966408011e-315 6.95257158377995e-310                     0 6.90704121995101e-310                     0                     0 2.20291766872289e-317 6.90704120411087e-310 1.58101006669199e-322 6.95257158378984e-310 4.94065645841247e-324  6.9070412199933e-310 2.12199579047121e-314 6.90688410001286e-310  6.9070412199933e-310  6.9070411105921e-310 6.90704121995101e-310 6.95257158378074e-310 6.95257158379497e-310 1.58101006669199e-322 6.95257158378786e-310 3.95252516672997e-323 6.90704120562706e-310 2.12409749879238e-314 6.90703994897702e-310 6.95257158378153e-310 6.90704120413063e-310 6.90704120413063e-310  6.9525715837843e-310 6.95257158377995e-310 6.90704120562706e-310;1521210023296322848; 0.0445660162289059  0.0335047338347217 -0.0699985022120418;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210023347811469;   0.01279086602072 -0.0380345411360696  -0.954317195260887  -0.296088598659933;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210023302602023;0.0214784219861031 0.0410758815705776   0.00726163899526;-0.0225882716476917  0.0489326678216457 -0.0504305101931095;
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;1521210022497836401;-17.0241397716153 0.887875497205148  29.1060811292592;  2.77907119389192   3.06139510590002 -0.435086171111289;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210022497836401;-0.00989850775563046  0.00142110668555307                    0;-0.00270932307466865 0.000116494484245777  0.00323875481262803;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210023525204122; 0.0445660166679384  0.0390888562596366 -0.0699982448770253;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210023513379793; 0.0103736258322985 -0.0378845464277626    -0.9543170558286  -0.296202812248105;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210023531737304;  0.0270642098039389 -0.00639444403350354   0.0122561194002628;-0.0135825518518686   0.086328536272049 -0.0251537617295981;
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;1521210022497836401;-17.0241397716153 0.887875497205148  29.1060811292592;  2.77907119389192   3.06139510590002 -0.435086171111289;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210022497836401;-0.00989850775563046  0.00142110668555307                    0;-0.00270932307466865 0.000116494484245777  0.00323875481262803;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210023637726329;  0.055707519512697  0.0390888559411338 -0.0599982547173844;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210023601873330;0.00901482954627747 -0.0369472807058538  -0.954246471988821   -0.29659282188479;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210023644664522; 0.0232821255922318 0.00783925410360097  0.0241783130913973;-0.00479801930487156  -0.0859531238675117 -0.00684316409751772;
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;1521210022497836401;-17.0241397716153 0.887875497205148  29.1060811292592;  2.77907119389192   3.06139510590002 -0.435086171111289;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210022497836401;-0.00989850775563046  0.00142110668555307                    0;-0.00270932307466865 0.000116494484245777  0.00323875481262803;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210023893947809; 0.0557075194282766  0.0446729782188297 -0.0499979976292737;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210023856613770; 0.0122647430624779 -0.0381464925268542  -0.954133432805404  -0.296688074563986;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210023900186983; 0.0251284968107939 -0.0319336242973805  0.0214856993407011;0.0393210239708424  0.131495237350464 0.0219547618180513;
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;1521210022955871393;-17.0129982686458 0.904627859940212  29.1240818617366;  2.77908285602164   3.06160212822638 -0.435082726986422;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210022955871393;-0.00989850775563046  0.00142110668555307                    0; 0.00168392388150096 0.000284229405224323 -0.00450565991923213;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024008134619; 0.0445660160600652  0.0446729783901136 -0.0499979880358205;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210024124474932; 0.0155282965655239 -0.0394401213825549  -0.954112712334097  -0.296432590977401;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210024015907836;0.00126251811161636 -0.0217588543891907  0.0362557731568813;0.00739423418417573  0.0468291938304901  0.0541073977947235;
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;1521210022955871393;-17.0129982686458 0.904627859940212  29.1240818617366;  2.77908285602164   3.06160212822638 -0.435082726986422;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210022955871393;-0.00989850775563046  0.00142110668555307                    0; 0.00168392388150096 0.000284229405224323 -0.00450565991923213;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024272637744; 0.0445660159734099  0.0335047337187772 -0.0499985022484993;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210024260850416; 0.0132881176423806 -0.0400954943067803  -0.953825224386305  -0.297377232804113;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210024279932948;-0.0247744731605053 -0.0256594512611628  0.0309101734310389;-0.0614891909062862  0.0237555615603924   -0.04506815969944;
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;1521210023421203424;-17.0018564687179 0.887875470919953  29.2560810475646;  2.77930356886695   3.06178518172602 -0.434982922149284;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210023421203424;-0.00989850775563046  0.00142110668555307                    0;-0.000486081960843876  -0.00174377299845219  0.000665579922497272;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024501408431; 0.0557075195352569  0.0223364891609564 -0.0399990269127091;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210024522797027;0.00769246238670594 -0.0426811952759448   -0.95403202823238  -0.296550216150752;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210024507238594;-0.00743226381018759   -0.027958583086729   0.0230920054018497;0.0291422940790653  -0.17724221944809 0.0437227413058281;
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;1521210023421203424;-17.0018564687179 0.887875470919953  29.2560810475646;  2.77930356886695   3.06178518172602 -0.434982922149284;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210023421203424;-0.00989850775563046  0.00142110668555307                    0;-0.000486081960843876  -0.00174377299845219  0.000665579922497272;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024593116003;  0.055707519033579  0.0111682445146305 -0.0399995413652288;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210024607830413;0.00833889758915968 -0.0442677005382368  -0.953961808948386  -0.296526053735549;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210024593508014;-0.00831195805221797 -0.00143271929118782   0.0424285046756268;0.0399168133735657 0.0984038040041924 0.0273622050881386;
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;1521210023891785433;-16.9795731772754 0.843202466783348  29.4050789004429;  2.77953967912865   3.06202537904717 -0.434821166820545;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210023891785433;-0.00989850775563046  0.00142110668555307                    0; -0.00182882370427251 -0.000393575988709927   0.00183538673445582;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024864769135;   0.0668490224294094 -2.44435634927376e-11   -0.0400000683322838;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210024887382765;0.00760424143314464 -0.0433774226224846  -0.954144592828151  -0.296088957402432;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210024871090311;0.0081635732203722 0.0125879533588886 0.0533255152404308;-0.00301414076238871   -0.020988654345274   0.0414811708033085;
0; 6.9525715837341e-310  6.9525715837341e-310 6.90703884403818e-310;1.97626258336499e-323 2.61854792295861e-322 6.95257158373094e-310;1521210023891785433;-16.9795731772754 0.843202466783348  29.4050789004429;  2.77953967912865   3.06202537904717 -0.434821166820545;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210023891785433;-0.00989850775563046  0.00142110668555307                    0; -0.00182882370427251 -0.000393575988709927   0.00183538673445582;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210025092130174; 0.0779905275452473 -0.0223364889011906 -0.0600011075034895;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210025114878807;0.00638795124815163  -0.039894472531126  -0.954131623699771   -0.29664873132436;                     0  6.95257158369063e-310  6.95257158370407e-310  6.95257158373252e-310  6.95257158374833e-310  6.95257158373252e-310  6.95257158369379e-310 -7.88621379204044e-153  6.95257158370327e-310;1521210025098383348;0.00775342294946313  0.0464201867580414  0.0495182685554028;-0.0275510866194963 -0.0357776917517185 -0.0373183004558086;
