pose_time;vehicle_id;position;orientation;
1518005385793901999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005385961539999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005386129101999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005386380530000;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005386548110999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005386715687999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005386967191999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005387134776999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005387386199999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005387553793999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005387721454999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005387972802999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005388140492999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005388391872999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005388559447999;0;-0.653882,0.0843485,8.34196;-0.00363356,0.999423,-0.0300773,0.0153879
1518005388727052999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005388978514999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005389146050999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005389313755999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005389565126000;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005389732744000;0;-0.652055,0.0819401,8.31184;0.0184795,0.999049,0.0373154,0.0129641
1518005389984144999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005390151754999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005390319376999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005390570732000;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
1518005390738400999;0;-0.652807,0.0825389,8.31156;0.00344087,0.999705,0.0198695,0.013517
