SM_Time;Status;
1455210250803238893;0;
1455210250904069982;0;
1455210251005182785;0;
1455210251106217867;0;
1455210251207170362;0;
1455210251308201562;0;
1455210251409219416;0;
1455210251510179676;0;
1455210251611205144;0;
1455210251712248232;0;
1455210251803315642;0;
1455210251904255588;0;
1455210252005382651;0;
1455210252106524007;0;
1455210252207477451;0;
1455210252308479360;0;
1455210252409435623;0;
1455210252510540080;0;
1455210252611740435;0;
1455210252702613117;0;
1455210252803673254;0;
1455210252904709163;0;
1455210253005632552;0;
1455210253106598115;0;
1455210253207615771;0;
1455210253308684572;0;
1455210253409734142;0;
1455210253510708585;0;
1455210253611720167;0;
1455210253702649967;0;
1455210253803642949;0;
1455210253904826239;0;
1455210254005816751;0;
1455210254107259382;0;
1455210254208323249;0;
1455210254309378726;0;
1455210254410204297;0;
1455210254511160154;0;
1455210254612284926;0;
1455210254709531735;0;
1455210254810440398;0;
1455210254911347813;0;
1455210255012478458;0;
1455210255103529237;0;
1455210255204506766;0;
1455210255305543296;0;
1455210255406793928;0;
1455210255507650854;0;
1455210255608634983;0;
1455210255709810461;0;
1455210255810741277;0;
1455210255911916009;0;
1455210256002904111;0;
1455210256103827209;0;
1455210256204765456;0;
1455210256305707351;0;
1455210256406771135;0;
1455210256507770782;0;
1455210256608593683;0;
1455210256709730383;0;
1455210256810650645;0;
1455210256911888830;0;
1455210257002859660;0;
1455210257103863741;0;
1455210257205054947;0;
1455210257306020335;0;
1455210257407124291;0;
1455210257508259889;0;
1455210257609338266;0;
1455210257710476176;0;
1455210257811668577;0;
1455210257912594122;0;
1455210258003685406;0;
1455210258104778047;0;
1455210258205780458;0;
1455210258306938051;0;
1455210258407992421;0;
1455210258509028527;0;
1455210258609947963;0;
1455210258711085307;0;
1455210258812088444;0;
1455210258903073991;0;
1455210259004092947;0;
1455210259105161905;0;
1455210259206353854;0;
1455210259307462467;0;
1455210259408416835;0;
1455210259509448349;0;
1455210259610565493;0;
1455210259711467088;0;
1455210259812434630;0;
1455210259903534182;0;
1455210260004500297;0;
1455210260105581666;0;
1455210260206500708;0;
1455210260307509920;0;
1455210260408532581;0;
1455210260509648826;0;
1455210260610747356;0;
1455210260711766146;0;
1455210260802858854;0;
1455210260903768712;0;
1455210261004599692;0;
1455210261105711711;0;
1455210261206674514;0;
1455210261307712390;0;
1455210261408638950;0;
1455210261525369214;0;
1455210261606153733;0;
1455210261707326699;0;
1455210261808628106;0;
1455210261909657358;0;
1455210262010905717;0;
1455210262111994475;0;
1455210262203029153;0;
1455210262304081590;0;
1455210262405152695;0;
1455210262505924008;0;
1455210262606943398;0;
1455210262708079552;0;
1455210262808996470;0;
1455210262910031321;0;
1455210263011014010;0;
1455210263112087844;0;
1455210263203116197;0;
1455210263304059657;0;
1455210263405101644;0;
1455210263505998680;0;
1455210263606938440;0;
1455210263708066915;0;
1455210263809014699;0;
1455210263910073518;0;
1455210264011084924;0;
1455210264112216130;0;
1455210264203169830;0;
1455210264304226047;0;
1455210264405223488;0;
1455210264506096079;0;
1455210264607142771;0;
1455210264708112099;0;
1455210264809259325;0;
1455210264910118717;0;
1455210265011217244;0;
1455210265112221079;0;
1455210265203357574;0;
1455210265304506669;0;
1455210265405593125;0;
1455210265506531653;0;
1455210265607565806;0;
1455210265708526366;0;
1455210265809557392;0;
1455210265910628941;0;
1455210266011580612;0;
1455210266102657703;0;
1455210266203575659;0;
1455210266304758735;0;
1455210266405878696;0;
1455210266506673016;0;
1455210266607714010;0;
1455210266708796299;0;
1455210266809796237;0;
1455210266910697143;0;
1455210267011793054;0;
1455210267102851013;0;
1455210267203865322;0;
1455210267304962054;0;
1455210267405996888;0;
1455210267506830129;0;
1455210267607795793;0;
1455210267708798056;0;
1455210267809902774;0;
1455210267910827073;0;
1455210268010188662;0;
1455210268110867389;0;
1455210268216544830;0;
1455210268307479733;0;
1455210268408733883;0;
1455210268509663149;0;
1455210268610640135;0;
1455210268711716250;0;
1455210268802587065;0;
1455210268903609151;0;
1455210269004563876;0;
1455210269105884025;0;
1455210269207116151;0;
1455210269308045166;1;
1455210269409085385;1;
1455210269510095713;1;
1455210269611135461;1;
1455210269712410071;1;
1455210269803322205;1;
1455210269904373462;1;
1455210270005508023;1;
1455210270106577090;1;
1455210270207725029;1;
1455210270308781939;1;
1455210270409769952;1;
1455210270510748580;1;
1455210270611612211;1;
1455210270702592699;1;
1455210270803569280;1;
1455210270904520008;1;
1455210271005435277;1;
1455210271106405941;1;
1455210271207353524;1;
1455210271308170956;1;
1455210271409133727;1;
1455210271510083336;1;
1455210271611135809;1;
1455210271712161164;1;
1455210271803284904;1;
1455210271904252318;1;
1455210272005372301;1;
1455210272106539319;1;
1455210272207599229;1;
1455210272308828342;1;
1455210272409834057;1;
1455210272510804892;1;
1455210272611876580;1;
1455210272702928370;1;
1455210272803918428;1;
1455210272904874036;1;
1455210273006055919;1;
1455210273107231227;1;
1455210273208185584;1;
1455210273309206887;1;
1455210273410187673;1;
1455210273511135134;1;
1455210273612374869;1;
1455210273703171638;1;
1455210273804394308;1;
1455210273905520079;1;
1455210274006514852;1;
1455210274107518373;1;
1455210274208597979;1;
1455210274309590753;1;
1455210274410581922;1;
1455210274509287233;1;
1455210274610315990;1;
1455210274711202155;1;
1455210274812210745;1;
1455210274903148192;1;
1455210275004093746;1;
1455210275105243000;1;
1455210275206252302;1;
1455210275307430927;1;
1455210275408509763;1;
1455210275509375687;1;
1455210275610512528;1;
1455210275711582032;1;
1455210275812468210;1;
1455210275903356324;1;
1455210276004352024;1;
1455210276105276949;1;
1455210276206293270;1;
1455210276307305262;1;
1455210276408317767;1;
1455210276509203852;1;
1455210276610202979;1;
1455210276711424233;1;
1455210276812450351;1;
1455210276903404076;1;
1455210277004354841;2;
1455210277105268477;3;
1455210277206207556;3;
1455210277307274123;3;
1455210277408451597;3;
1455210277509412725;3;
1455210277610481871;3;
1455210277711564225;3;
1455210277802524758;3;
1455210277903511985;3;
1455210278004667923;3;
1455210278105571120;3;
1455210278206726154;3;
1455210278307538054;3;
1455210278408660279;3;
1455210278509871069;3;
1455210278610923017;3;
1455210278712084382;3;
1455210278803094189;3;
1455210278904176028;3;
1455210279005413098;3;
1455210279106223788;3;
1455210279207401591;3;
1455210279308486031;3;
1455210279409212473;3;
1455210279510228170;3;
1455210279611284132;3;
1455210279712464706;3;
1455210279803509573;3;
1455210279904596055;3;
1455210280005657522;3;
1455210280106519219;3;
1455210280207608884;3;
1455210280308351807;3;
1455210280409171702;3;
1455210280510166610;3;
1455210280611276154;3;
1455210280712276600;3;
1455210280806623250;3;
1455210280907611430;3;
1455210281008572059;3;
1455210281109827191;3;
1455210281208784461;3;
1455210281306716656;3;
1455210281407808077;3;
1455210281508794622;3;
1455210281609918322;3;
1455210281711095242;3;
1455210281812133987;3;
1455210281903302514;3;
1455210282004245708;3;
1455210282105372226;3;
1455210282206236426;3;
1455210282307152379;3;
1455210282408142099;3;
1455210282508982023;3;
1455210282610057997;3;
1455210282711236639;3;
1455210282812395917;3;
1455210282903445278;3;
1455210283004441393;3;
1455210283105367068;3;
1455210283206480539;3;
1455210283307299015;3;
1455210283408264696;3;
1455210283509108605;3;
1455210283610123882;3;
1455210283711145013;3;
1455210283811849163;3;
1455210283902775373;3;
1455210284003634998;3;
1455210284104718743;3;
1455210284205681677;3;
1455210284306857943;3;
1455210284407902958;3;
1455210284508859087;3;
1455210284609714189;3;
1455210284710909828;3;
1455210284811879074;3;
1455210284902841065;3;
1455210285003749978;3;
1455210285104649200;3;
1455210285206027810;3;
1455210285306927061;3;
1455210285408087128;3;
1455210285508995010;3;
1455210285610102891;3;
1455210285710931168;3;
1455210285811906912;3;
1455210285902784169;3;
1455210286003928899;3;
1455210286105148188;3;
1455210286206147774;3;
1455210286307956860;3;
1455210286408890507;3;
1455210286509842119;3;
1455210286611035561;3;
1455210286712107696;3;
1455210286803120247;3;
1455210286904046641;3;
1455210287005192704;3;
1455210287106146227;3;
1455210287207189232;3;
1455210287308205063;3;
1455210287409430286;3;
1455210287510368128;3;
1455210287611344805;3;
1455210287706180050;3;
1455210287807134068;3;
1455210287909082572;3;
1455210288009751024;3;
1455210288110769081;3;
1455210288211809098;3;
1455210288302775120;3;
1455210288410019453;3;
1455210288510886912;3;
1455210288611820839;3;
1455210288702768062;3;
1455210288803625292;3;
1455210288904719550;3;
1455210289005667504;3;
1455210289106673200;3;
1455210289207784623;3;
1455210289308800536;3;
1455210289409863634;3;
1455210289510709940;3;
1455210289611805843;3;
1455210289702636268;3;
1455210289803837115;3;
1455210289904926988;3;
1455210290005998801;3;
1455210290107028792;3;
1455210290208183699;3;
1455210290309225718;3;
1455210290410287531;3;
1455210290511268665;3;
1455210290612466052;3;
1455210290703292603;3;
1455210290804218843;3;
1455210290905136760;3;
1455210291006233894;3;
1455210291107200171;3;
1455210291208162733;3;
1455210291309015646;3;
1455210291410174301;3;
1455210291511025088;3;
1455210291611920145;3;
1455210291703070399;3;
1455210291804095216;3;
1455210291905305081;3;
1455210292006721954;3;
1455210292107624445;3;
1455210292208710392;3;
1455210292309892791;3;
1455210292410916064;3;
1455210292512090202;3;
1455210292602938974;3;
1455210292703985332;3;
1455210292805030287;3;
1455210292906076967;3;
1455210293007038012;3;
1455210293108072188;3;
1455210293209154376;3;
1455210293310390983;3;
1455210293411208260;3;
1455210293512258445;3;
1455210293603272769;3;
1455210293704368812;3;
1455210293805585538;3;
1455210293906596546;3;
1455210294007741333;3;
1455210294113464830;3;
1455210294208862055;3;
1455210294309851554;3;
1455210294410769144;3;
1455210294511834229;3;
1455210294602749092;3;
1455210294703751501;3;
1455210294804853884;3;
1455210294905819794;3;
1455210295006802328;3;
1455210295107812171;3;
1455210295208736141;3;
1455210295309792406;3;
1455210295411030938;3;
1455210295512132028;3;
1455210295603129824;3;
1455210295704196430;3;
1455210295805316202;3;
1455210295906437509;3;
1455210296007317137;4;
1455210296108438542;4;
1455210296209604600;4;
1455210296310596468;4;
1455210296411733910;4;
1455210296512579992;4;
1455210296603418784;4;
1455210296704298150;4;
1455210296805474157;4;
1455210296906582541;4;
1455210297007540073;4;
1455210297108716381;4;
1455210297209949706;4;
1455210297310961059;4;
1455210297411945897;4;
1455210297502871119;4;
1455210297603975244;4;
1455210297705117926;4;
1455210297806125650;4;
1455210297907404778;4;
1455210298008403946;4;
1455210298109459211;4;
1455210298210530642;4;
1455210298311512293;4;
1455210298402651329;4;
1455210298503494291;4;
1455210298604582551;4;
1455210298705588916;4;
1455210298806638621;4;
1455210298907900665;4;
1455210299008999466;4;
1455210299109956277;4;
1455210299210950720;4;
1455210299311997610;4;
1455210299403080061;4;
1455210299504231467;4;
1455210299606484292;4;
1455210299707556570;4;
1455210299808658220;4;
1455210299909585315;4;
1455210300010632480;4;
1455210300111672715;4;
1455210300202623010;4;
1455210300303611913;4;
1455210300404645143;4;
1455210300505801718;4;
1455210300606845963;4;
1455210300708061722;4;
1455210300809059849;4;
1455210300909575907;4;
1455210301010557660;4;
1455210301111611051;4;
1455210301212629234;4;
