KF_Time;KF_States;KF_Covariance;
1455210253106598115;-0.590396388603293 -0.421464983448869   2.55209116763299                  0                  0                  0  0.178263323377425   1.16148899201306   4.50496498289466;     2.6205190438786      2.6205190438786     10.3942090796901 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0114999215517642   0.0114999215517642    0.159804414669119;
1455210253207615771;-0.685332533975485 -0.497446508601048    2.8688440332416                  0                  0                  0  0.178258981746777   1.16147407083214   4.50637248582479;    1.74995791979735     1.74995791979735     6.96705500582245 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0116997802095013   0.0116997802095013    0.179450640947792;
1455210253308684572;-0.767391668505818 -0.532610265321944   3.03627225888439                  0                  0                  0  0.178258981746777   1.16147407083214   4.50637248582479;    1.75405792927111     1.75405792927111     6.97115501529621 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0117997802069751   0.0117997802069751    0.189450640724275;
1455210253409734142;-0.864875553580119 -0.555844017329348   3.20541517216728                  0                  0                  0  0.178258981746777   1.16147407083214   4.50637248582479;    1.75815793936154     1.75815793936154     6.97525502538664 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0118997802044488   0.0118997802044488    0.199450640500757;
1455210253510708585;-0.976326723123688 -0.564048261648017   3.36821914832458                  0                  0                  0  0.178258981746777   1.16147407083214   4.50637248582479;    1.76225794934727     1.76225794934727     6.97935503537237 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0119997802019226   0.0119997802019226     0.20945064027724;
1455210253611720167; -1.10243143266253 -0.556369440305194   3.53284192627061                  0                  0                  0  0.178258981746777   1.16147407083214   4.50637248582479;    1.76635795942165     1.76635795942165     6.98345504544675 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0120997801993964   0.0120997801993964    0.219450640053723;
1455210253702649967; -1.23781377582811 -0.581884848355592   3.79247100179816                  0                  0                  0  0.178264008398593    1.1614450590315   4.50805747009334;    1.32498609385369     1.32498609385369     5.27365705027806 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0121995734903143   0.0121995734903143    0.228932856039065;
1455210253803642949; -1.37258121323486 -0.565766367805977   3.94604772056613                  0                  0                  0  0.178264008398593    1.1614450590315   4.50805747009334;    1.32908610327075     1.32908610327075     5.27775705969512 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0122995734877881   0.0122995734877881    0.238932855815547;
1455210253904826239; -1.53018886163246 -0.550990697338989   4.10346553505753                  0                  0                  0  0.178264008398593    1.1614450590315   4.50805747009334;    1.33318611329265     1.33318611329265     5.28185706971702 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0123995734852619   0.0123995734852619     0.24893285559203;
1455210254005816751;  -1.7058521613258 -0.548108493017998   4.25824349392956                  0                  0                  0  0.178264008398593    1.1614450590315   4.50805747009334;    1.33728612332636     1.33728612332636     5.28595707975073 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0124995734827357   0.0124995734827357    0.258932855368513;
1455210254107259382; -1.87438370251971 -0.594261717917521   4.48545928529304                  0                  0                  0  0.178281519126841   1.16139975299223   4.50990391984018;     1.0729630783596      1.0729630783596     4.26769305780993 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0126992749755505   0.0126992749755505     0.27818449147108;
1455210254208323249;-2.06547840903932 -0.62044715190126    4.633421713091                 0                 0                 0 0.178281519126841  1.16139975299223  4.50990391984018;    1.07706308779121     1.07706308779121     4.27179306724154 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0127992749730243   0.0127992749730243    0.288184491247563;
1455210254309378726; -2.26241764905618 -0.647433453940665   4.78590949578417                  0                  0                  0  0.178281519126841   1.16139975299223   4.50990391984018;    1.08116309780732     1.08116309780732     4.27589307725764 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0128992749704981   0.0128992749704981    0.298184491024046;
1455210254410204297; -2.46530329809289 -0.683232296130343   4.93956407270272                  0                  0                  0  0.178281519126841   1.16139975299223   4.50990391984018;    1.08526310784903     1.08526310784903     4.27999308729936 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0129992749679719   0.0129992749679719    0.308184490800528;
