KF_ArUco_Time;KF_ArUco_pos_NED;
1527163646037556552;-5.71536109523402 -1.31417076408118  16.3544503035532;
1527163646370864552;-4.96725157884785 -1.07693855751406  16.4638414338136;
1527163646704172652; -3.98433306049573 -0.403627077557138   16.6023951484299;
1527163647037480752;-4.77784799320063  1.36924573861095  16.3081505243398;
1527163647037480752;-4.77784799320063  1.36924573861095  16.3081505243398;
1527163647370788852;-2.59081456145863  1.45877684777095  16.4259813822817;
1527163647704096952;-2.10698501219592 0.806140558186388  16.3305783821878;
1527163648037404953;-0.97291296583969   1.0858733688093  16.1591923149254;
1527163648370713052;-0.238772435339711  0.717658568811103   16.1023687907605;
1527163648370713052;-0.238772435339711  0.717658568811103   16.1023687907605;
1527163648704021153; 0.64653336656895 0.155211229068383  15.9148500483946;
1527163649037329252;   1.0840773730401 -0.139450736144394   15.7882567791931;
1527163649370637353;  1.07249811438751 -0.280466325028237    15.599349112627;
1527163649703945352;  0.866807323181602 -0.0239134244944701    15.4979581189655;
1527163650037253553; 0.864416143062253 -0.282803842503074     15.25313117392;
1527163650037253553; 0.864416143062253 -0.282803842503074     15.25313117392;
1527163650370561552; 0.506950619068338 -0.024938202547494   14.9638432011893;
1527163650703869652;-0.203370256692664  0.106337655121407   15.0574871020441;
1527163651037177752;0.274662392095644  0.22826740697133  14.9781699018106;
1527163651370485852;-1.10429684573342 0.768406044667779  14.7910947215445;
1527163651703793952;-0.0424944017995137  -0.615596668490094    14.7239170544532;
1527163652037101952;-0.13163996545079  0.18744963478661  14.6404340214769;
1527163652037101952;-0.13163996545079  0.18744963478661  14.6404340214769;
1527163652370410052;-1.20069110650531 0.696366394899514  14.4893259934431;
1527163652703718152;-0.641430481033742  0.169592159127222   14.3331234815769;
1527163653037026252;-0.877687874246481  0.626317891906202   14.1722691974433;
1527163653370334352;-0.922417735747847  0.974868003813764   14.0841861062638;
1527163653703642352;-0.506366477579063  0.742654173442664   14.0714046927734;
1527163654036950452;-0.376049579980084  0.494335097100135   13.9608354397113;
1527163654036950452;-0.376049579980084  0.494335097100135   13.9608354397113;
1527163654370258552;-0.271470706604338  0.495127901821861   13.8529752470001;
1527163654703566652;0.193003386252628 0.561101850018854  13.7435713161613;
1527163655036874752;0.187631533100064 0.443374397995607  13.6285240731923;
1527163655370182752;  0.463670737798674 -0.0403442052647855    13.5638024355504;
1527163655703490852;0.133495727869083 0.466573183304421  13.3933174880906;
1527163656036798952;0.204666076469989 0.259743467316253  13.2080393632787;
1527163656370107052;0.380707958585336 0.224146737736649   13.142435292055;
1527163656703415152;0.0611477726457813  0.427147114947971   13.0354839160392;
1527163657036723152; 0.115304800517028 0.0498852796873661   12.7958451293834;
1527163657036723152; 0.115304800517028 0.0498852796873661   12.7958451293834;
1527163657370031252;0.269930519870238 -0.63010118828203   12.622714001111;
1527163657703339352; 0.060380443616104 -0.129117999962629   12.5071781916024;
1527163658036647452;-0.0438182595902108  -0.149935758968935     12.381920934961;
1527163658369955552;0.206513524048711 0.318623673996681  12.2690515199148;
1527163658703263652;  0.16387423437606 -0.139646431566428   12.1135938646153;
1527163659036571752;0.0706512721013642 -0.328272379696496   12.0182260444137;
1527163659369879752;0.0678941214863045  0.143429139288742   11.8473225108006;
1527163659703187852;0.0535431397748413 -0.124731349789212   11.7307670093325;
1527163660036495952;0.203521404595375 0.296046424686738  11.5932102945581;
1527163660369804052; 0.33324933494149 0.401622934810148  11.4410789607361;
1527163660703112152;0.135439360164574 0.351520726040011  11.3458351593859;
1527163661036420152;0.132388274370761 0.013411371298179  11.2679149212896;
1527163661036420152;0.132388274370761 0.013411371298179  11.2679149212896;
1527163661369728252;  0.164246955062972 -0.0989990148724471    11.1440885244388;
1527163661703036353; 0.127040195374547 -0.136089898114152   11.0424731296433;
1527163662036344452;0.231997975752678 0.104787678146133  10.9250666797727;
1527163662369652552; 0.127425073761162 -0.333652040695967   10.7877036189043;
1527163662702960552;0.0101681167814713 -0.195840545177817   10.6352622441605;
1527163663036268652;   0.14086214559609 -0.0560536353496751    10.5498219712662;
1527163663369576752;0.0224275394186977 -0.114579683437435   10.3726308768307;
1527163663702884853; 0.331996234257329 -0.272940339631601   10.2669792433691;
1527163664036192952;0.0400368406099902 -0.101668402782367    10.060733995968;
1527163664369500953;-0.211612527115864 0.0916155238301517   9.95221627616622;
1527163664369500953;-0.211612527115864 0.0916155238301517   9.95221627616622;
1527163664702809052;0.080211330041056 0.201918806980093  9.79267771453723;
1527163665036117152;-0.0773787349949292   0.190736283012077    9.60733736951961;
1527163665369425252;-0.300984362888446  0.315712148941912   9.46968570627773;
1527163665702733353;-0.251661159825146  0.520095150620684   9.31150046007584;
1527163666036041353;-0.330539475337785  0.538842151496765   9.17955603416418;
1527163666369349552;-0.303979684586735   0.45559500934093   9.03478805975605;
1527163666702657552;-0.330009240942126  0.435400335779757   8.92143197286522;
1527163667035965652;-0.138255828885784  0.554090522217395   8.80146422591381;
1527163667369273753;-0.0713947272690222   0.474626779254776    8.59580302556784;
1527163667702581852;  -0.104106702637183 -0.00969840561662513     8.50916101840495;
1527163668035889952; 0.108971348272162 0.0835598513378996   8.41712565826361;
1527163668369197952;-0.0082582361938191   0.433152314850839    8.92783016298371;
1527163668702506052;0.324645976877948  0.25430575876881  8.17222252551377;
1527163669035814152; 0.17196088475074 0.302313372659569  8.08529376480586;
1527163669369122253;-0.0263991472602844   0.336551864612948    7.93702797963358;
1527163669702430352;-0.0534168153647103    0.10917879249676    7.75869049438189;
1527163670035738353; -0.19024515446309 0.0996961535960146   7.62343246994571;
1527163670369046452;-0.233575296231951 -0.125758882885398   7.47491205765479;
1527163670702354552;-0.377252131633069 -0.279627504971087   7.36033856119955;
1527163671035662652;-0.411316349142952 -0.185419828240811   7.20051266751695;
1527163672035586852;-0.315141673091478 -0.112304303255837   6.75459053564178;
1527163672368894952; 0.101022634079378 -0.177563744500372   6.58247742364231;
1527163672702203052; 0.273042105337607 -0.117906860448273   6.39348065311919;
1527163673035511153;-0.165563268524729 -0.102348706468909   6.24824731988795;
1527163673368819152;  0.353425622793665 -0.0472076817091609    6.47481808113518;
1527163673702127253;0.263588669284557 -0.21832800443432  5.95725038173693;
1527163674702051552;-0.251390888603058  0.305606367042307   5.49121503579005;
1527163675035359653;-0.284277450334256  0.342524802287075   5.32823383561968;
1527163675368667752;-0.341431019886726  0.422267271210343    5.1663311028368;
1527163675701975753;-0.38512633963533 0.180744682495259  4.99339693816095;
1527163676368591952;0.0400178109375222  0.347070065669183   4.77008732526326;
1527163676701900052;0.356315759800396 0.379141458581845  4.66784916699754;
1527163677035208153;0.470865684338245 0.135202261086281  4.57851228254192;
1527163677701824252; 0.372010010939885 -0.147749075477535   4.55500503422492;
1527163678035132352; 0.319584673595204 -0.152050975066834   4.24803428557594;
1527163678368440452; 0.317245933121076 -0.229905538415631   4.29454907803957;
1527163678701748553; 0.301666177496254 -0.194957147317371   4.20411012237653;
1527163679035056552; 0.214894397189707 -0.162713282995872   3.97490972223197;
1527163679701672752;  0.248167571501626 -0.0822086194904476    3.65679390167643;
1527163680034980852;  0.132467184548712 -0.0475882350907112    3.49539638359808;
1527163680368288952;-0.151859024399229  0.116595873133583   3.36984994077777;
1527163680701596952; -0.21772881175079 0.0029419581510174   3.21107857309706;
1527163681034905052;-0.355462955245912  0.173317582036346   3.12075552100518;
1527163681368213153;-0.450263823435398  0.214211653166446   3.04341641401333;
1527163681701521252;-0.255359589077393  0.109038105076265   2.96178470873755;
1527163682034829352;-0.139568366912858  0.141183614729052   2.83016992479315;
1527163682368137352;0.00414424867645453  0.0248299817255488    2.82527612848127;
1527163682701445553;  0.183700405412568 -0.0698108851746423    2.66999161773178;
1527163683034753552; 0.289497402876507 -0.164905022867462   2.58850271081202;
1527163683368061652; 0.307472895416276 -0.154666052183123    2.5158504825136;
1527163683701369752;  0.326097591912203 -0.0682931949038735    2.40340124900585;
1527163684034677852; 0.288291079452551 0.0190912473234475   2.26494830463964;
1527163684367985952; 0.220314026479393 0.0839224976493369   2.17426670856582;
1527163684701293952;0.188161746979029 0.180124605548966  2.10369792052795;
1527163685034602053;0.122423891365805 0.268741679928772  2.02717737294193;
1527163685367910152;0.165504241104208 0.245999591521828  1.91922048805526;
1527163685701218252;0.204427551154631 0.146833593000145  1.79150759555337;
1527163685701218252;0.204427551154631 0.146833593000145  1.79150759555337;
1527163686034526352; 0.241686224233872 0.0216637069389743   1.67285785261661;
1527163686367834352;  0.164597493466445 -0.0850995986222755     1.5591525761413;
1527163686367834352;  0.164597493466445 -0.0850995986222755     1.5591525761413;
1527163687034450553;0.0184554315881244 -0.126834007299921   1.42327229516009;
1527163687034450553;0.0184554315881244 -0.126834007299921   1.42327229516009;
1527163687367758652;0.00787035046099333 -0.0440462880870446    1.33552051478888;
1527163687367758652;0.00787035046099333 -0.0440462880870446    1.33552051478888;
1527163687701066752;-0.0261616252893854  -0.034470167967461     1.3508188112528;
1527163687701066752;-0.0261616252893854  -0.034470167967461     1.3508188112528;
1527163688034374752;-0.0605938499703107 -0.0372674439752514    1.12813355475067;
1527163688367682852;-0.0786791484042516  0.0153486631398454    1.03384608058305;
1527163688367682852;-0.0786791484042516  0.0153486631398454    1.03384608058305;
1527163688700990952;-0.0774816329452638   0.024491155114797   0.994947822299907;
1527163688700990952;-0.0774816329452638   0.024491155114797   0.994947822299907;
1527163689034299052;-0.0836813934215749   0.031273226635611    0.82189302100563;
1527163689367607152;-0.0924012721594099  0.0565937325051833   0.729589750642556;
1527163689367607152;-0.0924012721594099  0.0565937325051833   0.729589750642556;
1527163689700915152;-0.0795408721894796   0.121805481249088   0.643609888585992;
1527163689700915152;-0.0795408721894796   0.121805481249088   0.643609888585992;
