KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525870879010089798; 0  0 -0;-16921.8670241982  9920.33083301917  33.2468499379338;
1525870879466921969; 0  0 -0;-16921.8682244314  9920.38307629721  33.8852836793985;
1525870879935777827; 0  0 -0;-16921.9570735065  9920.43727824061  35.0322577227616;
1525870880437706871; 0  0 -0;-16922.2268425507  9920.35804824297  36.5349710002647;
1525870880856517954; 0  0 -0;-16922.7146300877  9920.13874606283  37.7590387377631;
1525870881321018858; 0  0 -0;-16923.2810492495   9919.7393115952  38.9689883826669;
1525870881783837958; 0  0 -0;-16923.9021652806  9919.20531964774  40.0928215603872;
1525870882255551977; 0  0 -0;-16924.5848182391  9918.59480189614  41.0999211037758;
1525870882712157889; 0  0 -0;-16925.3774824661  9917.87502545596  42.1668689072449;
1525870883177361889; -0.0192009970877186 -0.00559658028061984                   -0;-16926.1195225865   9917.2040188892  43.0527573032996;
1525870883643701001; -0.0192009970877186 -0.00559658028061984                   -0;-16926.7666898734  9916.62203604913  43.3978064169769;
1525870884110943003; -0.0192009970877186 -0.00559658028061984                   -0;-16927.1163247281  9916.30111065955   43.286408395019;
1525870884567356987; -0.0192009970877186 -0.00559658028061984                   -0;-16927.0923396936  9916.33339938081  43.2215393434074;
1525870885038471861; -0.0192009970877186 -0.00559658028061984                   -0;-16927.006214793 9916.43090796027 43.4168636396362;
1525870885495243950; -0.0192009970877186 -0.00559658028061984                   -0;-16927.0478387637  9916.33893129004  43.6174507964343;
1525870885962903900; -0.0192009970877186 -0.00559658028061984                   -0;-16927.2523825303  9915.95624444999  43.9297149390068;
1525870886467219992; -0.0192009970877186 -0.00559658028061984                   -0;-16927.5512992492  9915.39541787105  44.2824625771191;
1525870886892539902; -0.0192009970877186 -0.00559658028061984                   -0;-16927.8126581139  9914.86137004952  44.6389331019391;
1525870887351552887; -0.0192009970877186 -0.00559658028061984                   -0;-16928.139086084 9914.20311308045 45.0737280767135;
1525870887819092913; -0.0288014956315779 -0.00839487042092976                   -0;-16928.5225464067  9913.47397899154  45.4863289905597;
1525870888287577792; -0.0288014956315779 -0.00839487042092976                   -0;-16928.8738729556  9912.79925160056  45.8247998303041;
1525870888743433876; -0.0288014956315779 -0.00839487042092976                   -0;-16929.2477852572   9912.0399942154  46.3871859468509;
1525870889210515900; -0.0288014956315779 -0.00839487042092976                   -0;-16929.636534045 9911.19690666994 47.0549769749523;
1525870889680102988; -0.0288014956315779 -0.00839487042092976                   -0;-16930.0326650936  9910.14734830882  47.7029643275227;
1525870890134542866; -0.0288014956315779 -0.00839487042092976                   -0;-16930.470579866 9909.18486856791 47.9897521730009;
1525870890602864905; -0.0288014956315779 -0.00839487042092976                   -0;-16931.041406067 9908.09827241993 48.3877381418597;
1525870891071120901; -0.0288014956315779 -0.00839487042092976                   -0;-16931.6010444588  9907.10390257753  48.7314295638716;
1525870891526668949; -0.0288014956315779 -0.00839487042092976                   -0;-16931.9948855111  9906.42104962767  48.8066765599986;
1525870891994836970; -0.0288014956315779 -0.00839487042092976                   -0; -16932.18879945 9906.20097200164 48.8196361753116;
1525870892466959877;-0.0384019941754372 -0.0111931605612397                  -0;-16932.2177470272   9906.1738334722   48.771555731043;
1525870892918657942;-0.0384019941754372 -0.0111931605612397                  -0;-16932.2288899953  9906.13183850166  48.7538928314871;
1525870893387399836;-0.0384019941754372 -0.0111931605612397                  -0;-16932.2957749035  9906.10823348042  48.7501447461791;
1525870893854433937;-0.0384019941754372 -0.0111931605612397                  -0;-16932.3849010558  9906.05244008906  48.7377669788763;
1525870894310735865;-0.0384019941754372 -0.0111931605612397                  -0;-16932.4959957375  9905.93835710161  48.7438242620919;
1525870894778795882;-0.0384019941754372 -0.0111931605612397                  -0;-16932.6183567959  9905.82401943146  48.7728779130748;
1525870895246489926;-0.0384019941754372 -0.0111931605612397                  -0;-16932.6253844826  9905.73515659152  48.7456550168117;
1525870895702734871;-0.0384019941754372 -0.0111931605612397                  -0;-16932.5758426665  9905.72216900565  48.7438729178202;
1525870896170861884;-0.0384019941754372 -0.0111931605612397                  -0;-16932.5072164997  9905.74261094185  48.7308233386311;
1525870896638191862;-0.0384019941754372 -0.0111931605612397                  -0;-16932.4516122399  9905.82346997736  48.7298149264716;
1525870897094546957;-0.0480024927192964 -0.0139914507015496                  -0;-16932.4070091346  9905.91969471462  48.7437898918251;
1525870897561842842;-0.0480024927192964 -0.0139914507015496                  -0;-16932.340137208  9906.0244378913 48.7567739976085;
1525870898030124827;-0.0480024927192964 -0.0139914507015496                  -0;-16932.2435711098  9906.16386731231  48.7999828769707;
1525870898490064783;-0.0480024927192964 -0.0139914507015496                  -0;-16932.271745439 9906.25671701048  48.856084663078;
1525870898954556866;-0.0480024927192964 -0.0139914507015496                  -0;-16932.3248600294  9906.36268387477  48.8987655214314;
1525870899432094975;-0.0480024927192964 -0.0139914507015496                  -0;-16932.3288122436  9906.43593437519  48.8907162928472;
1525870899886285944;-0.0480024927192964 -0.0139914507015496                  -0;-16932.3064940208  9906.38375019345  48.9072567173844;
1525870900348380967;-0.0480024927192964 -0.0139914507015496                  -0;-16932.2619330729  9906.29918274466  48.9185809869077;
1525870900809571905;-0.0480024927192964 -0.0139914507015496                  -0;-16932.2507561099  9906.21412751598  48.9365558756158;
1525870901271068974;-0.0480024927192964 -0.0139914507015496                  -0;-16932.2213162437  9906.18619901991  48.9379663080417;
1525870901737053795; -0.0192009970877186 -0.00559658028061984                   -0;-16932.1905169573  9906.18958228028  48.9315719901729;
1525870902209156914; -0.0192009970877186 -0.00559658028061984                   -0;-16932.172675803 9906.16950448184 48.9435796895628;
1525870902661222859; -0.0192009970877186 -0.00559658028061984                   -0;-16932.189743207  9906.1695137893 48.9675797079935;
1525870903130207939; -0.0192009970877186 -0.00559658028061984                   -0;-16932.2105038988  9906.16954232105  48.9404600780899;
1525870903597489996; -0.0192009970877186 -0.00559658028061984                   -0;-16932.2173328046  9906.18635335191  48.9225474285455;
1525870904053237839; -0.0192009970877186 -0.00559658028061984                   -0;-16932.1839382962  9906.16427056575  48.9109567827873;
1525870904521382971; -0.0192009970877186 -0.00559658028061984                   -0;-16932.1727784671  9906.11304100245   48.935548464864;
1525870904989641829; -0.0192009970877186 -0.00559658028061984                   -0;-16932.172757495 9906.05314039206 48.9464817142443;
1525870905467177792; -0.0192009970877186 -0.00559658028061984                   -0;-16932.1393515818  9906.04669511779  48.9394814546893;
1525870905909998818; -0.0192009970877186 -0.00559658028061984                   -0;-16932.1460543953   9906.0254391902   48.946459460899;
1525870906377324982;-0.00960049854385929 -0.00279829014030992                   -0; -16932.15045753 9905.97966908412 48.9474571962373;
1525870906845296784;-0.00960049854385929 -0.00279829014030992                   -0;-16931.8969532729  9906.30351653958  48.8774741087918;
1525870907301862879;-0.00960049854385929 -0.00279829014030992                   -0;-16931.4261731742  9906.91784104364  48.8485916071324;
1525870907769844933;-0.00960049854385929 -0.00279829014030992                   -0;-16930.7372002057  9907.73758152278  48.7997765768241;
1525870908236904784;-0.00960049854385929 -0.00279829014030992                   -0;-16929.9979160054  9908.67665761907  48.7249570336044;
1525870908694814844;-0.00960049854385929 -0.00279829014030992                   -0;-16929.3537602005  9909.56471310703  48.6618201560209;
1525870909161286993;-0.00960049854385929 -0.00279829014030992                   -0;-16928.7474795901  9910.39373467562  48.5999283972251;
1525870909629568978;-0.00960049854385929 -0.00279829014030992                   -0;-16928.1175072236  9911.31741335781  48.5074636449544;
1525870910086105986;-0.00960049854385929 -0.00279829014030992                   -0;-16927.5879128741  9912.21186403185  48.4278196716123;
1525870910557123824;-0.00960049854385929 -0.00279829014030992                   -0;-16927.1032468348  9913.10306433317  48.3379894227883;
1525870911025049849;-0.0864044868947336 -0.0251846112627893                  -0;-16926.5674073296  9913.99109023315  48.2549934305052;
1525870911476866885;-0.0864044868947336 -0.0251846112627893                  -0;-16926.0362850465   9914.7582835858  48.1832123071281;
1525870911944756909;-0.0864044868947336 -0.0251846112627893                  -0;-16925.4989050092  9915.49509271322  48.1272465785963;
1525870912432245894;-0.0864044868947336 -0.0251846112627893                  -0;-16924.9084498032  9916.28806590137  48.0202834095201;
1525870912869048996;-0.0864044868947336 -0.0251846112627893                  -0;-16924.399481259 9916.97722985187 47.9613932514749;
1525870913336647911;-0.0864044868947336 -0.0251846112627893                  -0;-16923.8689877323  9917.63564695587  47.9806452013436;
1525870913804685994;-0.0864044868947336 -0.0251846112627893                  -0;-16923.3364008938  9918.23156201664  48.0043518054335;
1525870914261068983;-0.0864044868947336 -0.0251846112627893                  -0;-16922.7531552575  9918.78914745713   48.044893773982;
1525870914726617976;-0.0864044868947336 -0.0251846112627893                  -0;-16922.2444011498  9919.26089217917  48.1294873355519;
1525870915196819945;-0.0864044868947336 -0.0251846112627893                  -0;-16921.9223515889  9919.63288729839  48.2133104033003;
1525870915659270926; -0.105605483982452 -0.0307811915434091                  -0;-16921.7254315895  9919.87486123119  48.2664494807341;
1525870916114583893; -0.105605483982452 -0.0307811915434091                  -0;-16921.7106108046  9919.94003127372  48.3294462720782;
1525870916587218924; -0.105605483982452 -0.0307811915434091                  -0;-16921.8574499866  9919.91525759488  48.3763510953795;
1525870917050292893; -0.105605483982452 -0.0307811915434091                  -0;-16922.0653501408  9919.80021451375  48.4228514011247;
1525870917507073803; -0.105605483982452 -0.0307811915434091                  -0;-16922.251852828 9919.64610528221 48.4068694137668;
1525870917974065943; -0.105605483982452 -0.0307811915434091                  -0;-16922.4627363128  9919.52987659932  48.3685275272665;
1525870918466802998; -0.105605483982452 -0.0307811915434091                  -0;-16922.6598762189  9919.45514332389  48.2371119174941;
1525870918899025841; -0.105605483982452 -0.0307811915434091                  -0;-16922.7534558781   9919.4224882705  48.0867023366627;
1525870919369733973; -0.105605483982452 -0.0307811915434091                  -0;-16922.7468031241  9919.46455522471  47.8792072311089;
1525870919828321858; -0.105605483982452 -0.0307811915434091                  -0;-16922.6590420895  9919.56435824928  47.6546880025562;
1525870920296530886;-0.0864044868947336 -0.0251846112627893                  -0;-16922.5561246434   9919.6908494144  47.4092123995151;
1525870920753783865;-0.0864044868947336 -0.0251846112627893                  -0;-16922.4794605645  9919.82858325844  47.1805989248617;
1525870921229340954;-0.0864044868947336 -0.0251846112627893                  -0;-16922.4683994853  9919.99618886032  46.9146154925251;
1525870921691149874;-0.0864044868947336 -0.0251846112627893                  -0;-16922.5216227561  9920.15599861054  46.6128635206778;
1525870922152924939;-0.0864044868947336 -0.0251846112627893                  -0;-16922.5354486042  9920.18616242992  46.3549660789604;
1525870922618059798;-0.0864044868947336 -0.0251846112627893                  -0;-16922.5853386488  9920.10361090256  46.0731258903343;
1525870923082409783;-0.0864044868947336 -0.0251846112627893                  -0;-16922.6801063504  9919.94765891239  45.8231388555278;
1525870923544667883;-0.0864044868947336 -0.0251846112627893                  -0;-16922.7697781726   9919.7707262365  45.5788778896722;
1525870924010390921;-0.0864044868947336 -0.0251846112627893                  -0;-16922.7698873201  9919.68389656498  45.2999843421589;
1525870924467463894;-0.0864044868947336 -0.0251846112627893                  -0;-16922.8015606572  9919.56346573134   44.988012236603;
1525870924929856940;-0.0285430002568661 0.00923564487929994                   0; -16922.86662641 9919.49046651269 44.6838248116364;
1525870925860146923;-0.0285430002568661 0.00923564487929994                   0;-16923.1202043224   9919.4242413305  44.1268880738389;
1525870926328540011;-0.0285430002568661 0.00923564487929994                   0;-16923.1715906029   9919.4719496855  43.8737947159066;
1525870926793778820;-0.0285430002568661 0.00923564487929994                   0;-16923.1827400016  9919.51731836221  43.6258478149657;
1525870927255650921;-0.0285430002568661 0.00923564487929994                   0;-16923.2160882724   9919.5611961471  43.4297394982131;
1525870927717160864;-0.0285430002568661 0.00923564487929994                   0;-16923.2681526523  9919.61721603191   43.240733078811;
1525870928185999794;-0.0285430002568661 0.00923564487929994                   0;-16923.2046906454  9919.65030270583  43.0866542637375;
1525870928645535870;-0.0285430002568661 0.00923564487929994                   0;-16923.1712161325   9919.7106364299  42.8662160136901;
1525870929115380926;-0.0285430002568661 0.00923564487929994                   0;-16923.1711869224   9919.8289188173  42.6366327088297;
1525870929571778937;-0.00951433341895538  0.00307854829309998                    0;-16923.1439496623  9919.94110037257  42.4221292320826;
1525870930034062786;-0.00951433341895538  0.00307854829309998                    0;-16923.0935273917  9920.07392239745  42.2070128481701;
1525870930503145857;-0.00951433341895538  0.00307854829309998                    0;-16923.038795488 9920.10732241009 41.9942977475557;
