SM_Time;Status;
1455210079935057043;0;
1455210080036269734;0;
1455210080137204061;0;
1455210080238386426;0;
1455210080339317720;0;
1455210080440252120;0;
1455210080541204885;0;
1455210080642484589;0;
1455210080743531365;0;
1455210080834470551;0;
1455210080935687637;0;
1455210081036796435;0;
1455210081137792569;0;
1455210081238590698;0;
1455210081339542187;0;
1455210081440809349;0;
1455210081541792426;0;
1455210081642971604;0;
1455210081733860795;0;
1455210081834761546;0;
1455210081935673238;0;
1455210082036809500;0;
1455210082137681975;0;
1455210082238797593;0;
1455210082339792307;0;
1455210082440791231;0;
1455210082541704048;0;
1455210082642692556;0;
1455210082743463757;0;
1455210082834253071;0;
1455210082935231429;0;
1455210083036343984;0;
1455210083137327584;0;
1455210083238264121;0;
1455210083339195155;0;
1455210083440253457;0;
1455210083541377192;0;
1455210083642556259;0;
1455210083743541404;0;
1455210083834553524;0;
1455210083935532100;0;
1455210084036441273;0;
1455210084137282525;0;
1455210084238080003;0;
1455210084339073771;0;
1455210084440106453;0;
1455210084541343383;0;
1455210084642395394;0;
1455210084743434498;0;
1455210084834452757;0;
1455210084935347807;0;
1455210085036365704;0;
1455210085137426500;0;
1455210085238288189;0;
1455210085339211413;0;
1455210085440350965;0;
1455210085541577159;0;
1455210085642579354;0;
1455210085743534751;0;
1455210085834561120;0;
1455210085935447173;0;
1455210086036733178;0;
1455210086137637417;0;
1455210086238815307;0;
1455210086339919374;0;
1455210086441015705;0;
1455210086541938002;0;
1455210086642978103;0;
1455210086733779586;0;
1455210086836849764;0;
1455210086938015112;0;
1455210087047590585;0;
1455210087138268322;0;
1455210087237349810;0;
1455210087338205354;0;
1455210087439376300;0;
1455210087540417883;0;
1455210087641428306;0;
1455210087742537774;0;
1455210087833595563;0;
1455210088035655903;0;
1455210088035655903;0;
1455210088136517854;0;
1455210088237618351;0;
1455210088338556975;0;
1455210088439583346;0;
1455210088540708169;0;
1455210088641762381;0;
1455210088742918134;0;
1455210088833830125;0;
1455210088934866150;0;
1455210089035847576;0;
1455210089136784904;0;
1455210089237830235;0;
1455210089338890510;0;
1455210089440039477;0;
1455210089541155338;0;
1455210089642276883;0;
1455210089743505202;0;
1455210089834461512;0;
1455210089935283537;0;
1455210090036507631;0;
1455210090137379240;0;
1455210090238514899;0;
1455210090339625647;0;
1455210090440710386;0;
1455210090541674497;0;
1455210090642775973;0;
1455210090733742301;0;
1455210090834695944;0;
1455210090935799337;0;
1455210091036834576;0;
1455210091137914316;0;
1455210091239094683;0;
1455210091340025936;0;
1455210091440972675;0;
1455210091541919731;0;
1455210091643049421;0;
1455210091734014321;0;
1455210091835138680;0;
1455210091936160319;0;
1455210092037231141;0;
1455210092138268930;0;
1455210092239273703;0;
1455210092340138535;0;
1455210092441183362;0;
1455210092542337729;0;
1455210092643475401;0;
1455210092734401810;0;
1455210092835336592;0;
1455210092936324754;0;
1455210093037392697;0;
1455210093138191140;0;
1455210093239235213;0;
1455210093340287196;0;
1455210093441383950;0;
1455210093542306322;0;
1455210093643193011;0;
1455210093734025952;0;
1455210093835127221;0;
1455210093936313291;0;
1455210094037329219;0;
1455210094138155716;0;
1455210094239260054;0;
1455210094340310183;0;
1455210094441415960;0;
1455210094542733038;0;
1455210094633534698;0;
1455210094734533239;0;
1455210094835548608;0;
1455210094936419547;0;
1455210095037590396;0;
1455210095138471967;0;
1455210095239429362;0;
1455210095340350339;0;
1455210095441307110;0;
1455210095542345736;0;
1455210095643480889;0;
1455210095734263704;0;
1455210095835323829;0;
1455210095936367734;0;
1455210096037444759;0;
1455210096138327436;0;
1455210096239377583;0;
1455210096340259787;0;
1455210096441245592;0;
1455210096542190338;0;
1455210096643107534;0;
1455210096734095264;0;
1455210096835230604;0;
1455210096936174130;0;
1455210097037307477;0;
1455210097138233879;0;
1455210097239325143;0;
1455210097340420861;0;
1455210097441516507;0;
1455210097542498951;0;
1455210097643583333;0;
1455210097734674640;0;
1455210097835761924;0;
1455210097936920830;0;
1455210098038072245;0;
