KF_ArUco_Time;KF_ArUco_pos_NED;
1525076232019879847; -7.81571165178034 -0.520438102218236   19.2767495984674;
1525076232219879457; -7.53964473002561 -0.610808482802674   19.6418353343279;
1525076232419836909;-7.03839809656882 -0.66152590993736  19.2851499834531;
1525076232619873545; -6.74170309628327 -0.777457771548128   19.5910447563857;
1525076232819838331; -6.74170309628327 -0.777457771548128   19.5910447563857;
1525076233019852742; -5.88455674778615 -0.859840629422833   19.4417894594805;
1525076233220810671; -5.59614801726783 -0.865174237949442   19.4852647768295;
1525076233419886082;-5.10681000857582 -0.90762276890299  19.4915906127704;
1525076233619840091;-4.69002202459283 -1.01511248700478  19.5675591861209;
1525076233819852038;-4.69002202459283 -1.01511248700478  19.5675591861209;
1525076234019866021;-3.57428871192513 -1.04191673847381  18.6406185155245;
1525076234219869514;-3.43840456119744 -1.22779027728428   19.122857791684;
1525076234419854403;-2.91894796279756 -1.21214477620257  19.4177401550088;
1525076234620505168;-2.88041393454285 -1.31426823998906   19.486287579764;
1525076234819855798;-2.88041393454285 -1.31426823998906   19.486287579764;
1525076235019859141;-2.03196562059974 -1.34443648430452  19.2391182289265;
1525076235219864374;-1.52235599524758 -1.38851789119527  19.2310140589517;
1525076235419905324;-1.07714846720818 -1.37672088019277  19.1738988508164;
1525076235619850874;-0.640274699660718  -1.50155738948221   19.3592501359119;
1525076235819836203;-0.640274699660718  -1.50155738948221   19.3592501359119;
1525076236019854987;0.0734088775177897  -1.50749314976527   19.3602728134645;
1525076236219851190;0.522859870555357 -1.53879372384053  19.0963233382624;
1525076236419868133;0.916571315515715 -1.55879161136906  19.4899212424026;
1525076236619905958;  1.3838869664163 -1.54058317943423  19.5214255741942;
1525076236819853845;  1.3838869664163 -1.54058317943423  19.5214255741942;
1525076237019858623; 2.16098864924982 -1.53127231895823  19.3927339214606;
1525076237219847183; 2.58378434317995 -1.53897593619501  19.5700015265515;
1525076237419876663;2.98595332482016 -1.6011513553059 19.3930876862677;
1525076237619850754;3.47720851857402 -1.6064052073423 19.3992650776065;
1525076237819846380;3.47720851857402 -1.6064052073423 19.3992650776065;
1525076238019842195; 3.94928752643765 -1.48755661883311  19.3402464130496;
1525076238219840739; 4.34142448303272 -1.46634353935148  19.5495093350606;
1525076239019853967;  5.0855646710224 -3.30536862266351  19.2776327989679;
1525076239219857028; 5.19411644387155 -3.62465475314613  19.4044127599263;
1525076239419841295;  4.9116747648601 -4.15615176695227  19.3040464896606;
1525076239619848924; 4.99036918528538 -4.55568161304197   19.429608527214;
1525076239819825668; 4.99036918528538 -4.55568161304197   19.429608527214;
1525076240219850174; 4.92650185438614 -5.90058646462731  19.4292953604595;
1525076240619859295; 5.15157106321752 -6.96114176368347  19.5257878617101;
1525076240819862619; 5.15157106321752 -6.96114176368347  19.5257878617101;
1525076241019842577; 5.41169679091684 -7.65673219852075  19.2187001146741;
1525076241219833046; 5.66336296083703 -8.35916198554416   19.179022635037;
1525076241419862850; 5.53565237142081 -8.76993076197578  19.1232730454741;
1525076246019843762; 1.24469929260899 -6.16946406439279  19.6463117208107;
1525076246220551293; 1.39216781641953 -5.11519217460173   19.529847351513;
1525076246419869305;  1.3396293662538 -4.47666283719237  19.4255238933806;
1525076246619853181;0.951482944722145  -4.1765148298088  19.2522784523584;
1525076246819847733;0.951482944722145  -4.1765148298088  19.2522784523584;
1525076247019860869;-0.316028073039766  -3.27592215674496   19.2834543047744;
1525076247219889091;-0.990439712078601  -2.65547350643135   19.3503637727351;
1525076247419867169; -1.4888449230727 -1.90915715386385  18.9752542155181;
1525076247619834894; -2.2193355880988 -1.37509896769884  19.2818017874162;
1525076247819846582; -2.2193355880988 -1.37509896769884  19.2818017874162;
1525076248019848482; -3.95744057633224 -0.260741618562245   19.4251911780336;
1525076249019835741;-5.30876050984961   1.7943372211649  19.4540187712453;
1525076250219866703; -7.80420697566861 -0.475633553070016   19.2903253588822;
1525076250419908932; -8.29860041340749 -0.978033201664982   19.2800240879862;
1525076250619865879;-9.00559954976001 -1.38655684495992   19.163975261164;
1525076250819871919;-9.00559954976001 -1.38655684495992   19.163975261164;
1525076251419852830;-9.83351646617713 -3.28775258623238   19.304662311301;
1525076251619851511;-10.1987890666131 -3.95965765183252  19.3390467226023;
1525076251819842635;-10.1987890666131 -3.95965765183252  19.3390467226023;
