KF_Time;KF_States;KF_Covariance;
1527250306861184410; 5 -1 16  0  0  0  6  1 42; 0.144101256340575  0.144101256340575   0.41410125216825 0.0224000001326203 0.0224000001326203 0.0224000001326203 0.0281000008617411 0.0281000008617411   0.61000002361834;
1527250306931821428; 5 -1 16  0  0  0  6  1 42; 0.148330651842907  0.148330651842907  0.418330647670582 0.0323999999091029 0.0323999999091029 0.0323999999091029 0.0282000008592149 0.0282000008592149  0.620000023394823;
1527250307032891458; 5 -1 16  0  0  0  6  1 42; 0.153106686540719  0.153106686540719  0.423106682368394 0.0423999996855855 0.0423999996855855 0.0423999996855855 0.0283000008566887 0.0283000008566887  0.630000023171306;
1527250307133918203;    5.10850214094838   -0.990615357120237     16.0172882058269 -0.00990965421509823  0.00549174897361861  0.00760462825030157     6.01952058775043      1.0009780980569     42.0267062199897; 0.152810955019164  0.152810948219741  0.419291149384744 0.0126954637424204 0.0126952505922717  0.016020819781986 0.0282645077653673 0.0282645078718701  0.623076499657342;
1527250307234913707;     5.21509245084684    -0.984350910500088       16.031600221792  -0.00248304475311199 -0.000900148617115528   0.00740915709941436       6.0379814867029      1.00186281684091      42.0515113323724; 0.153021800894865  0.153021795581251  0.416342843545004 0.0123464534347592 0.0123462846268432 0.0148798602645998 0.0282362226170199 0.0282362228178859   0.61709814687997;
1527250307335833929;     5.4106873112505   -0.975046962764248     16.0566085950931 -0.00308129057173345 -0.00522557821796061  0.00653408962921912     6.07170285363875     1.00346963905287     42.0959331764937; 0.149598015730844  0.149598016179017  0.407728037920387 0.0113026017848342 0.0113025032192314 0.0128596200812944 0.0281006959104715 0.0281006962807961  0.598090035210302;
1527250307436822937;    5.50400605649324   -0.973248918673963     16.0670870334707 -0.00430356621818806 -0.00520019233759657  0.00445851048291214     6.08714995433656     1.00420193895666     42.1160155342467;  0.15008069500448  0.150080696095351  0.406146719006428 0.0123157540097203 0.0123155970798963 0.0145660299293957  0.028092195450682 0.0280921958908699  0.594815832329159;
1527250307527752137;    5.67554029915136   -0.968500734828692     16.0880926063146 -0.00642592193337847 -0.00735969821961373 0.000783002439282272     6.11552890112483     1.00555434651325     42.1525242786929; 0.147118652500766  0.147118658201111  0.399804007287102 0.0113022594662511 0.0113021610758303 0.0128478294377365 0.0279917614927565 0.0279917620479052  0.580321631033551;
1527250307628706737;     5.7577221275819   -0.969607724748009     16.0951532610856 -0.00774842164500224 -0.00718655544592857 -0.00224986560331634      6.1285801763566     1.00617669654909     42.1691871626792; 0.147807660003369  0.147807665938236  0.399184428391416 0.0123157396838307 0.0123155827630424 0.0145645428823169 0.0279990564268503 0.0279990570289008  0.578960487151147;
1527250307729653657;    5.83738028905096   -0.970664087260299     16.1013256255769  -0.0101573659620231  -0.0065131583538276 -0.00500691224009292     6.14095017694156     1.00677892147655     42.1850581141529; 0.148491944643224  0.148491950594147  0.398793150021719 0.0123554543656131 0.0123552905501306 0.0147640427177512 0.0280107082715947 0.0280107089145734  0.577974064186734;
1527250307830539058;    5.98566906137552   -0.971407189470842     16.1167896910554  -0.0115662903434406 -0.00292062189967929 -0.00857852962356527     6.16375889649301     1.00788730728977     42.2143032723618; 0.145889446993816  0.145889456492276  0.394502442852921 0.0113027020333124  0.011302603510742 0.0128553163695384 0.0279468367750215 0.0279468374836777  0.567404239313433;
1527250307931537796;    6.05699350280357   -0.975522101345946     16.1219673213554  -0.0124279591044782 0.000416076053447295  -0.0108752956204078     6.17428510562655     1.00840995865913     42.2278006247045; 0.146737531897546  0.146737541229785  0.394769137151047 0.0123157582298911 0.0123156013013713 0.0145654873788137 0.0279707454878836 0.0279707462224377  0.567732663347998;
1527250308032506441;   6.12549991565103  -0.980861855138049    16.1282504689997 -0.0165328226433514  0.0031317338647831 -0.0114739715830335    6.18428491099575    1.00892512283826    42.2407409092862; 0.147570331536084  0.147570340554787  0.395188819293268 0.0123554550334205 0.0123552912175817 0.0147641436879111 0.0279980305591276 0.0279980313156629  0.568292229736554;
1527250308133405311;    6.1923913113876  -0.986443479658728    16.1340244245231 -0.0168178435008768 0.00310434642540289 -0.0107632622678944    6.19381623370851    1.00943835107898    42.2531446855756; 0.148380308793956  0.148380317427318  0.395740067037332  0.012334542852271  0.012334381241475 0.0147564229017262 0.0280283938616152 0.0280283946338737  0.569048615547894;
1527250308234188063;    6.31790215523779   -0.989424952090916     16.1449118519243  -0.0161588745884149  0.00444213401938602 -0.00918328605565459     6.21148843238253     1.01041368193342     42.2761146747486; 0.146005926528507  0.146005938140694   0.39310842411247 0.0112956025315637 0.0112955035200874  0.012844716417517 0.0279988807315582 0.0279988815298936  0.561528836294651;
1527250308335080129;    6.37783680114961   -0.995938569223895     16.1481694460194  -0.0165649582421341  0.00442167500472825 -0.00828986255418268     6.21969412503439      1.0108842159036     42.2868169986585; 0.146957581404469   0.14695759263696  0.394108861167503 0.0123154313630885  0.012315269886255 0.0145640345570727 0.0280385840700521 0.0280385848790637  0.563196197488027;
1527250308435869501;    6.43699664524005    -1.00341863159947     16.1512142919776  -0.0161850379256829  0.00718991799037051 -0.00624604430554286      6.2275117318063     1.01136701293383     42.2971643751255; 0.147886598780748  0.147886609497868  0.395208152168415 0.0123554133819985 0.0123552446793618 0.0147638627845192 0.0280808068069554 0.0280808076241663  0.564992014286745;
1527250308536837725;    6.54716296412119    -1.00800042507886     16.1619744213813  -0.0206359143540463   0.0111728980724045 -0.00239578112796641     6.24201689157162     1.01235168763672     42.3166089383552; 0.145718945083225  0.145718958529822  0.393546740236707  0.011302683409969 0.0113025819448333 0.0128552194729749 0.0280729121160367 0.0280729129428113  0.559292413230708;
