KF_ArUco_Time;KF_ArUco_pos_NED;
1527250349851939760; 7.76758743167534 -2.57502693236561  17.1485737328403;
1527250350185247859; 7.40137777272122 -2.46903096289711  17.0867925904898;
1527250350851864060; 6.83426902481489 -3.03294517187685  17.2333332899431;
1527250351518480259;  5.7398586447018 -1.35505809586389  16.8907909737597;
1527250352185096359; 5.31069846310203 -1.19121918278199  16.7439373506323;
1527250354184944859;3.68712505642551 0.65353899833561  15.606782271737;
1527250356518101460;    3.87002447655386 -0.00188709590495151      15.149967524582;
1527250356518101460;    3.87002447655386 -0.00188709590495151      15.149967524582;
1527250356851409459;    3.8132358930429 -0.0602711039573159    14.8662896331538;
1527250357518025659;   3.98354683365961 -0.0995790281115531    14.6300719952275;
1527250358517949859;   3.02327793164278 -0.0828244400626991    14.7362318065006;
1527250362850954960; 4.14208435991568 0.375829048233923  15.2332175997009;
1527250367517268159; 4.79502834057171 0.465616121083585  14.9409567904505;
1527250369850424659;  4.5361420125292 0.125757684174608  15.1480495233439;
1527250370183732760; 4.53960490275383 0.222051865267571  14.9125413835851;
1527250370517040859; 4.51517882975697 0.134989421499546  14.9703883986299;
1527250374516737859; 4.08447446692862 0.800515801180382  14.7778155390509;
1527250377183202459; 4.07031186287067 0.245062279231901  13.4870860079666;
1527250377516510559; 3.89162665255307 0.180237443760017  13.3582421384352;
1527250377849818659; 3.87263563702423 0.305555380938359  13.3102524088492;
1527250379849667160; 2.56163266889357 0.383787004169696   12.441914446121;
1527250380182975259; 2.70751457355332 0.433513245136929   12.251467546012;
1527250381182899459; 3.3105646967367 0.59744510203228 11.7306964224081;
1527250383182747959; 2.63911520659668 0.621922407622574  11.2273821300349;
1527250383182747959; 2.63911520659668 0.621922407622574  11.2273821300349;
1527250383516056059; 2.72512905050304 0.553938731170863  10.9178066121263;
1527250384515980259;  3.0346388824264 0.508550122732608    10.61273079435;
1527250385182596459; 2.52701066607116 0.392892891041313  10.5728066739746;
1527250385182596459; 2.52701066607116 0.392892891041313  10.5728066739746;
1527250385515904560; 2.47672837851644 0.364068693861359  10.2264376202255;
1527250386182520660; 2.39349032472279 0.508789133810068  9.91709753322658;
1527250386515828759; 2.21888065349034 0.476600837762715  9.63632269545245;
1527250386849136859;1.87097661579407  0.4157514622339 9.54344632674147;
1527250386849136859;1.87097661579407  0.4157514622339 9.54344632674147;
1527250387182444960; 1.96535853762316 0.614751983539588  9.48750092539383;
1527250387515753059; 1.93165601180586 0.602382868814328  9.28565122239418;
1527250387849061060; 1.83237860679418 0.565083426324993  9.26572058521282;
1527250388182369159;1.65913305505922 0.53468733467523 8.99504436169562;
1527250388515677259; 1.85748610409615 0.646495031834998   8.9011581290682;
1527250389848909559; 1.65039671566893 0.513579692068895  8.37875481128131;
1527250390182217659; 1.95682868288248 0.534958261122759  8.96571737431673;
1527250391515450059; 2.25226982953808 0.482642336982642  7.74598611261845;
1527250391848758060; 2.46794637357638 0.458915150486872  8.08869897663216;
1527250393848606559; 1.72395673305844 0.428424288967668  6.86750203454818;
1527250412180551059; 0.293981190850242 -0.196747472252017   1.24066999729657;
1527250412180551059; 0.293981190850242 -0.196747472252017   1.24066999729657;
