KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1455208220702780961;-0.0378794486736962 -0.0128509675969095                  -0;-0.668704799793237   1.25665657577693   2.47722235319161;
1455208221174058914;-0.0378794486736962 -0.0128509675969095                  -0;-0.613023663078116   1.26380087452679   2.61216574481602;
1455208221628356933;-0.0378794486736962 -0.0128509675969095                  -0;-0.569653796023475   1.27284969973618   2.79647546484657;
1455208222095469951;-0.0378794486736962 -0.0128509675969095                  -0;-0.526073423498948   1.27982071345453   2.92724804672483;
1455208222562973976;-0.0378794486736962 -0.0128509675969095                  -0;-0.492814932951644   1.27368257503516   2.96139410283724;
1455208223023396015;-0.0378794486736962 -0.0128509675969095                  -0;-0.45894460736022  1.27959473927864  2.95327331210994;
1455208223491852998;-0.0378794486736962 -0.0128509675969095                  -0;-0.46940400278157  1.36317813409388  3.37125150730558;
1455208223954566955;-0.00946986216842404 -0.00321274189922737                   -0;-0.546955797176622    1.3634208726577   4.15515113863982;
1455208224410532951;-0.00946986216842404 -0.00321274189922737                   -0;-0.791968215217942   1.22914926212204   5.55919455679308;
1455208224879246950;-0.00946986216842404 -0.00321274189922737                   -0;-1.48320454324342 0.994655762938415  6.82922121479126;
1455208225345331907;-0.00946986216842404 -0.00321274189922737                   -0;-2.11824477374868 0.626732971022873  7.63405464390711;
1455208225810923099;-0.00946986216842404 -0.00321274189922737                   -0;  -3.1764151277866 -0.181611027766015   8.72867289731433;
1455208226267179965;-0.00946986216842404 -0.00321274189922737                   -0;-4.14462651076762 -1.05251578455631  9.87547243476448;
1455208226728543043;-0.00946986216842404 -0.00321274189922737                   -0;-4.54533812067089 -1.80034660161327  10.6522956819532;
1455208227194093942;-0.00946986216842404 -0.00321274189922737                   -0;-5.00210507376649 -2.93339873161175  11.5131157954519;
1455208227655512094;-0.00946986216842404 -0.00321274189922737                   -0;-5.56004014692126 -4.09945935433221  12.4339060766716;
1455208228127928972;-0.00946986216842404 -0.00321274189922737                   -0;-6.12847540675137 -4.99352876621438  13.2330298339189;
1455208228592283010;-0.0791315579840581 -0.0117557020639201                  -0; -6.9747544852475 -6.07881446261695  14.2553945651639;
1455208229049313068;-0.0791315579840581 -0.0117557020639201                  -0;-7.89905764016546 -7.11829838236577   15.254498138221;
1455208229516890048;-0.0791315579840581 -0.0117557020639201                  -0;-8.72363204025867 -7.81605718354139  15.9094150398229;
1455208229982888936;-0.0791315579840581 -0.0117557020639201                  -0;-9.73736837490979 -8.67156722542975  16.3016278942597;
1455208230445988893;-0.0791315579840581 -0.0117557020639201                  -0;-10.3722641545347 -9.17059038139534  16.2310641945697;
1455208230912790060;-0.0791315579840581 -0.0117557020639201                  -0;-10.4832823155894 -9.15973432146426  16.1980980871207;
1455208231369740962;-0.0791315579840581 -0.0117557020639201                  -0;-10.4269992255639 -9.02056356197329  16.2321481450796;
1455208231836920022;-0.0791315579840581 -0.0117557020639201                  -0;-10.3487838555051 -8.90346492416482   16.297170420777;
1455208232294517993;-0.0791315579840581 -0.0117557020639201                  -0;-10.2481526889662 -8.81464036683657  16.3962604936206;
1455208232766376018;-0.0791315579840581 -0.0117557020639201                  -0;-10.1589709358742 -8.77045530769514   16.449371415411;
1455208233231010913;  -0.039565778992029 -0.00587785103196006                   -0;-10.0248273973006 -8.74214533639739   16.483237198896;
1455208233686391115;  -0.039565778992029 -0.00587785103196006                   -0; -9.8353163285912 -8.78696777703709  16.5362592781384;
1455208234156056880;  -0.039565778992029 -0.00587785103196006                   -0;-9.64637310759686 -8.92081260001255  16.6302586366814;
1455208234622817039;  -0.039565778992029 -0.00587785103196006                   -0;-9.42368110925028 -9.12144426621893  16.6811702558692;
1455208235080571889;  -0.039565778992029 -0.00587785103196006                   -0;-9.22298664063902 -9.26026754985052  16.7339665944805;
1455208235545530080;  -0.039565778992029 -0.00587785103196006                   -0;-9.12294736657814 -9.31574031526721  16.7889012801566;
1455208236008217096;  -0.039565778992029 -0.00587785103196006                   -0;-9.06740411023841 -9.31563454675484  16.8758929901612;
