SM_Time;Status;
1455208220385514074;0;
1455208220486562951;0;
1455208220577557121;0;
1455208220678590545;0;
1455208220779483697;0;
1455208220880676095;0;
1455208220981909469;0;
1455208221083136989;0;
1455208221184327151;0;
1455208221285498890;0;
1455208221376536281;0;
1455208221477682988;0;
1455208221578692672;0;
1455208221679957540;0;
1455208221781016001;0;
1455208221882147725;0;
1455208221983156800;0;
1455208222084262435;0;
1455208222185406492;0;
1455208222286415645;0;
1455208222377457861;0;
1455208222478494481;0;
1455208222579525791;0;
1455208222680668698;0;
1455208222781635745;0;
1455208222882734276;0;
1455208222983808586;0;
1455208223084951914;0;
1455208223185505222;0;
1455208223276523607;0;
1455208223377425545;0;
1455208223478590689;0;
1455208223579619721;0;
1455208223680946781;0;
1455208223782256404;0;
1455208223883184430;0;
1455208223984252344;0;
1455208224085299696;0;
1455208224186453477;0;
1455208224277336311;0;
1455208224378389931;0;
1455208224479498113;0;
1455208224580546188;0;
1455208224681760432;0;
1455208224782753620;0;
1455208224883829797;0;
1455208224984733866;0;
1455208225085869143;0;
1455208225176833343;0;
1455208225277981598;0;
1455208225379002068;0;
1455208225480117281;0;
1455208225581048323;0;
1455208225681999849;0;
1455208225782924998;0;
1455208225883921271;0;
1455208225984963840;0;
1455208226085964165;0;
1455208226176718768;0;
1455208226277777207;0;
1455208226378789854;0;
1455208226480010951;0;
1455208226581206526;0;
1455208226682367436;0;
1455208226783458053;0;
1455208226884495696;0;
1455208226985347935;0;
1455208227086415089;0;
1455208227177193576;0;
1455208227278374277;0;
1455208227379470156;0;
1455208227480413664;0;
1455208227581408112;0;
1455208227682443473;0;
1455208227783761263;0;
1455208227884846957;0;
1455208227985751534;0;
1455208228076686448;0;
1455208228177505366;0;
1455208228278381426;0;
1455208228379378641;0;
1455208228480478826;0;
1455208228581526230;0;
1455208228682580223;0;
1455208228783623431;0;
1455208228884777391;0;
1455208228986928672;0;
1455208229077824099;0;
1455208229178902850;0;
1455208229279949414;0;
1455208229380957588;0;
1455208229481913758;0;
1455208229583036984;0;
1455208229684070832;0;
1455208229785090464;0;
1455208229886157678;0;
1455208229976997015;0;
1455208230078267331;0;
1455208230179315141;0;
1455208230280338157;0;
1455208230381372281;0;
1455208230482623490;0;
1455208230583680351;0;
1455208230684786138;0;
1455208230785917245;0;
1455208230876908917;0;
1455208230978044824;0;
1455208231079038654;0;
1455208231180243027;0;
1455208231281280543;0;
1455208231382280785;0;
1455208231483574865;0;
1455208231584539453;0;
1455208231685526849;0;
1455208231776601235;0;
1455208231877534606;0;
1455208231978531820;0;
1455208232079568172;0;
1455208232180569043;0;
1455208232281678118;0;
1455208232382712683;0;
1455208232483948383;0;
1455208232585066419;0;
1455208232686260417;0;
1455208232777088444;0;
1455208232877953551;0;
1455208232979007847;0;
1455208233079968031;0;
1455208233180942502;0;
1455208233282057552;0;
1455208233383016886;0;
1455208233484303104;0;
1455208233585483124;0;
1455208233676597169;0;
1455208233777511223;0;
1455208233878610911;0;
1455208233979553981;0;
1455208234080606962;0;
1455208234181719891;0;
1455208234282951742;0;
1455208234383864656;0;
1455208234484987868;0;
1455208234586098050;0;
1455208234676986944;0;
1455208234778031119;0;
1455208234879083479;0;
1455208234979991054;0;
1455208235080934981;0;
1455208235181851882;0;
1455208235282974447;0;
1455208235383982666;0;
1455208235484978147;0;
1455208235586073678;0;
1455208235676928424;0;
1455208235778058026;0;
1455208235879053140;0;
1455208235979768906;0;
1455208236080753217;0;
1455208236176851784;0;
1455208236285201965;0;
1455208236386251742;0;
1455208236477158290;0;
1455208236578254800;0;
1455208236689961067;0;
1455208236780991327;0;
1455208236882012589;0;
1455208236982853208;0;
1455208237083826468;0;
1455208237184897787;0;
1455208237285983243;0;
1455208237377036739;0;
1455208237477945564;0;
1455208237579013301;0;
1455208237679815456;0;
1455208237780806795;0;
1455208237881731677;0;
1455208237982757959;0;
1455208238083678432;0;
1455208238184686357;0;
1455208238285545966;0;
1455208238386570407;0;
1455208238477536533;0;
1455208238578561420;0;
1455208238679533941;0;
1455208238780600088;0;
1455208238881867418;0;
